#-BEGIN HEADER-
#NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
#Dates (month/day/year): 06/01/2014 through 12/31/2014 
#Location: Latitude  39.952   Longitude -75.164 
#Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.88 meters
#The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
#Parameter(s): 
#T2M     MERRA-2 Temperature at 2 Meters (C) 
#-END HEADER-
YEAR,MO,DY,T2M
2014,6,1,16.79
2014,6,2,18.08
2014,6,3,22.35
2014,6,4,22.68
2014,6,5,19.79
2014,6,6,18.3
2014,6,7,20.05
2014,6,8,20.88
2014,6,9,21.3
2014,6,10,23.37
2014,6,11,19.57
2014,6,12,20.01
2014,6,13,22.01
2014,6,14,19.15
2014,6,15,19.19
2014,6,16,22.3
2014,6,17,25.71
2014,6,18,26.62
2014,6,19,22.55
2014,6,20,19.95
2014,6,21,20.62
2014,6,22,20.87
2014,6,23,21.09
2014,6,24,21.83
2014,6,25,24.01
2014,6,26,24.46
2014,6,27,22.59
2014,6,28,22.83
2014,6,29,21.94
2014,6,30,22.99
2014,7,1,25.48
2014,7,2,26.64
2014,7,3,26.53
2014,7,4,20.82
2014,7,5,19.35
2014,7,6,20.83
2014,7,7,24.77
2014,7,8,26.22
2014,7,9,24.8
2014,7,10,22.73
2014,7,11,23.15
2014,7,12,23.64
2014,7,13,25.05
2014,7,14,25.87
2014,7,15,25.84
2014,7,16,22.31
2014,7,17,21.04
2014,7,18,21.35
2014,7,19,20.87
2014,7,20,21.47
2014,7,21,22.33
2014,7,22,23.58
2014,7,23,25.77
2014,7,24,22.79
2014,7,25,21.56
2014,7,26,22.4
2014,7,27,24.85
2014,7,28,23.44
2014,7,29,19.77
2014,7,30,19.88
2014,7,31,22.06
2014,8,1,21.91
2014,8,2,20.5
2014,8,3,21.5
2014,8,4,22.94
2014,8,5,24.49
2014,8,6,22.62
2014,8,7,21.92
2014,8,8,21.25
2014,8,9,22.48
2014,8,10,23.14
2014,8,11,22.62
2014,8,12,21.79
2014,8,13,23.15
2014,8,14,19.67
2014,8,15,18.67
2014,8,16,19.32
2014,8,17,20.92
2014,8,18,21.11
2014,8,19,22.32
2014,8,20,23.24
2014,8,21,22.97
2014,8,22,22.23
2014,8,23,20.26
2014,8,24,20.3
2014,8,25,22.22
2014,8,26,23.36
2014,8,27,24.34
2014,8,28,22.63
2014,8,29,19.6
2014,8,30,21.47
2014,8,31,25.73
2014,9,1,25.96
2014,9,2,26.94
2014,9,3,23.98
2014,9,4,23.91
2014,9,5,25.8
2014,9,6,26.48
2014,9,7,22.16
2014,9,8,19.99
2014,9,9,20.4
2014,9,10,21.53
2014,9,11,23.96
2014,9,12,20.19
2014,9,13,18.51
2014,9,14,15.08
2014,9,15,15.73
2014,9,16,17.65
2014,9,17,16.94
2014,9,18,17.83
2014,9,19,15.99
2014,9,20,20.04
2014,9,21,21.7
2014,9,22,17.69
2014,9,23,14.69
2014,9,24,16.75
2014,9,25,16.06
2014,9,26,17.78
2014,9,27,19.18
2014,9,28,20.26
2014,9,29,18.85
2014,9,30,19.47
2014,10,1,17.58
2014,10,2,17.05
2014,10,3,17.32
2014,10,4,16.5
2014,10,5,10.2
2014,10,6,14.3
2014,10,7,18.45
2014,10,8,18.11
2014,10,9,14.13
2014,10,10,12.54
2014,10,11,11.77
2014,10,12,11.33
2014,10,13,15.76
2014,10,14,20.43
2014,10,15,21.72
2014,10,16,17.67
2014,10,17,15.79
2014,10,18,14.68
2014,10,19,8.87
2014,10,20,9.69
2014,10,21,13.8
2014,10,22,11.69
2014,10,23,10.42
2014,10,24,12.55
2014,10,25,12.4
2014,10,26,12.28
2014,10,27,10.52
2014,10,28,14.62
2014,10,29,14.07
2014,10,30,8.94
2014,10,31,7.66
2014,11,1,6.83
2014,11,2,4.99
2014,11,3,6.16
2014,11,4,11.78
2014,11,5,11.77
2014,11,6,9.94
2014,11,7,7.13
2014,11,8,3.96
2014,11,9,7.98
2014,11,10,7.9
2014,11,11,12.52
2014,11,12,12.51
2014,11,13,4.26
2014,11,14,1.43
2014,11,15,0.33
2014,11,16,2.89
2014,11,17,5.87
2014,11,18,-2.67
2014,11,19,-3.11
2014,11,20,0.65
2014,11,21,-2.41
2014,11,22,0.04
2014,11,23,4.61
2014,11,24,16.12
2014,11,25,9.67
2014,11,26,2.18
2014,11,27,-1.24
2014,11,28,-2.52
2014,11,29,-1.95
2014,11,30,5.58
2014,12,1,9.68
2014,12,2,2.77
2014,12,3,5.03
2014,12,4,0.85
2014,12,5,3.69
2014,12,6,6.4
2014,12,7,1.56
2014,12,8,-1.64
2014,12,9,2.69
2014,12,10,1.59
2014,12,11,-0.03
2014,12,12,-0.66
2014,12,13,-0.25
2014,12,14,1.19
2014,12,15,1.9
2014,12,16,4.91
2014,12,17,5.6
2014,12,18,0.53
2014,12,19,-0.35
2014,12,20,-1.39
2014,12,21,-0.57
2014,12,22,1.16
2014,12,23,7.48
2014,12,24,10.43
2014,12,25,8.02
2014,12,26,2.79
2014,12,27,4.48
2014,12,28,6.55
2014,12,29,2.51
2014,12,30,-1.65
2014,12,31,-2.88
