V1	V2	day_diff	year_diff	same.locale	same.season	pop1	pop2	samp1	samp2	comp.set
1	2	56	0	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_16_m09d02	time.cville
1	3	70	0	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_16_m09d16	time.cville
1	4	98	0	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_16_m10d14	time.cville
1	5	112	0	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_16_m10d28	time.cville
1	6	126	0	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_16_m11d11	time.cville
1	7	148	0	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_16_m12d03	time.cville
1	8	349	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_17_m06d22	time.cville
1	9	364	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_17_m07d07	time.cville
1	10	377	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_17_m07d20	time.cville
1	11	405	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_17_m08d17	time.cville
1	12	419	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_17_m08d31	time.cville
1	13	433	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_17_m09d14	time.cville
1	14	447	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_17_m09d28	time.cville
1	15	461	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_17_m10d12	time.cville
1	16	475	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_17_m10d26	time.cville
1	17	489	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_17_m11d09	time.cville
1	18	517	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m07d08	VA_ch_17_m12d07	time.cville
2	3	14	0	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m09d02	VA_ch_16_m09d16	time.cville
2	4	42	0	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m09d02	VA_ch_16_m10d14	time.cville
2	5	56	0	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m09d02	VA_ch_16_m10d28	time.cville
2	6	70	0	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m09d02	VA_ch_16_m11d11	time.cville
2	7	92	0	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m09d02	VA_ch_16_m12d03	time.cville
2	8	293	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m09d02	VA_ch_17_m06d22	time.cville
2	9	308	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m09d02	VA_ch_17_m07d07	time.cville
2	10	321	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m09d02	VA_ch_17_m07d20	time.cville
2	11	349	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m09d02	VA_ch_17_m08d17	time.cville
2	12	363	1	yes	NA	Charlottesville	Charlottesville	VA_ch_16_m09d02	VA_ch_17_m08d31	time.cville
