city	PC	r	r2	p_val	sig_sym
Broggingen	1	-0.57756567	0.333582104	2.30E-01	NS
Broggingen	2	-0.54739837	0.299644976	2.61E-01	NS
Broggingen	3	-0.10366402	0.010746229	8.45E-01	NS
Munich	1	-0.89904887	0.808288866	1.48E-02	S
Munich	2	-0.76631573	0.587239793	7.55E-02	NS
Munich	3	-0.51323598	0.263411175	2.98E-01	NS
Gimenells	1	-0.71625421	0.513020091	1.09E-01	NS
Gimenells	2	-0.77863014	0.606264894	6.81E-02	NS
Gimenells	3	0.57219863	0.327411278	2.35E-01	NS
Akaa	1	-0.21709206	0.047128964	6.79E-01	NS
Akaa	2	0.02505613	0.00062781	9.62E-01	NS
Akaa	3	-0.72949999	0.532170231	9.99E-02	NS
Linvilla	1	0.83879235	0.703572605	9.31E-05	S
Linvilla	2	0.84147793	0.70808511	8.40E-05	S
Linvilla	3	0.77842946	0.605952427	6.30E-04	S
Yesiloz	1	-0.60339525	0.36408583	2.23E-02	S
Yesiloz	2	-0.38411234	0.147542286	1.75E-01	NS
Yesiloz	3	0.05260306	0.002767082	8.58E-01	NS
Kyiv	1	-0.33402408	0.111572083	4.64E-01	NS
Kyiv	2	-0.8693019	0.755685791	1.10E-02	S
Kyiv	3	0.17360702	0.030139398	7.10E-01	NS
Odessa	1	-0.81493241	0.664114834	1.24E-03	S
Odessa	2	0.63903739	0.408368783	2.53E-02	S
Odessa	3	0.15511494	0.024060643	6.30E-01	NS
Charlottesville	1	-0.49425327	0.244286298	1.02E-03	S
Charlottesville	2	-0.56642864	0.320841404	1.13E-04	S
Charlottesville	3	-0.52050205	0.270922381	4.86E-04	S
Cross Plains	1	0.50861105	0.258685204	2.44E-01	NS
Cross Plains	2	0.80385812	0.64618787	2.94E-02	S
Cross Plains	3	0.81504501	0.664298366	2.55E-02	S
