Estimate,Std. Error,t value,P val,Var,chr,PC,signif
-2.75,0.80,-3.45,2.4E-03,year,2L,1,S
0.01,0.07,0.18,8.6E-01,MeanEC,2L,1,NS
1.01,0.58,1.74,9.6E-02,Month,2L,1,NS
100.13,16.76,5.97,6.3E-06,In(2L)t,2L,1,S
5.71,73.57,0.08,9.4E-01,In(2R)Ns,2L,1,NS
-408.78,425.01,-0.96,3.5E-01,In(3L)P,2L,1,NS
566.88,326.14,1.74,9.7E-02,In(3R)C,2L,1,NS
68.21,111.94,0.61,5.5E-01,In(3R)Mo,2L,1,NS
-60.00,61.64,-0.97,3.4E-01,In(3R)Payne,2L,1,NS
-2.76,0.73,-3.78,1.1E-03,year,2R,1,S
0.00,0.06,0.07,9.4E-01,MeanEC,2R,1,NS
0.67,0.53,1.27,2.2E-01,Month,2R,1,NS
5.04,15.31,0.33,7.5E-01,In(2L)t,2R,1,NS
62.04,67.21,0.92,3.7E-01,In(2R)Ns,2R,1,NS
542.58,388.25,1.40,1.8E-01,In(3L)P,2R,1,NS
299.63,297.93,1.01,3.3E-01,In(3R)C,2R,1,NS
17.69,102.25,0.17,8.6E-01,In(3R)Mo,2R,1,NS
-32.66,56.31,-0.58,5.7E-01,In(3R)Payne,2R,1,NS
-2.17,0.93,-2.33,3.0E-02,year,3L,1,S
-0.02,0.08,-0.19,8.5E-01,MeanEC,3L,1,NS
0.81,0.68,1.19,2.5E-01,Month,3L,1,NS
-3.82,19.51,-0.20,8.5E-01,In(2L)t,3L,1,NS
15.64,85.63,0.18,8.6E-01,In(2R)Ns,3L,1,NS
720.31,494.67,1.46,1.6E-01,In(3L)P,3L,1,NS
383.94,379.60,1.01,3.2E-01,In(3R)C,3L,1,NS
-68.19,130.28,-0.52,6.1E-01,In(3R)Mo,3L,1,NS
30.98,71.74,0.43,6.7E-01,In(3R)Payne,3L,1,NS
-3.26,0.81,-4.02,6.2E-04,year,3R,1,S
-0.01,0.07,-0.16,8.7E-01,MeanEC,3R,1,NS
0.65,0.59,1.10,2.9E-01,Month,3R,1,NS
-9.66,17.03,-0.57,5.8E-01,In(2L)t,3R,1,NS
-12.02,74.74,-0.16,8.7E-01,In(2R)Ns,3R,1,NS
606.71,431.79,1.41,1.7E-01,In(3L)P,3R,1,NS
233.49,331.34,0.70,4.9E-01,In(3R)C,3R,1,NS
-138.01,113.72,-1.21,2.4E-01,In(3R)Mo,3R,1,NS
52.66,62.62,0.84,4.1E-01,In(3R)Payne,3R,1,NS
-2.98,0.76,-3.90,8.3E-04,year,2L,2,S
0.00,0.06,-0.02,9.8E-01,MeanEC,2L,2,NS
0.54,0.56,0.97,3.4E-01,Month,2L,2,NS
-50.70,16.04,-3.16,4.7E-03,In(2L)t,2L,2,S
46.03,70.42,0.65,5.2E-01,In(2R)Ns,2L,2,NS
685.60,406.81,1.69,1.1E-01,In(3L)P,2L,2,NS
111.40,312.17,0.36,7.2E-01,In(3R)C,2L,2,NS
-109.54,107.14,-1.02,3.2E-01,In(3R)Mo,2L,2,NS
29.15,59.00,0.49,6.3E-01,In(3R)Payne,2L,2,NS
3.23,0.73,4.40,2.5E-04,year,2R,2,S
-0.01,0.06,-0.10,9.2E-01,MeanEC,2R,2,NS
0.26,0.53,0.49,6.3E-01,Month,2R,2,NS
-12.36,15.40,-0.80,4.3E-01,In(2L)t,2R,2,NS
-37.81,67.61,-0.56,5.8E-01,In(2R)Ns,2R,2,NS
604.40,390.55,1.55,1.4E-01,In(3L)P,2R,2,NS
259.39,299.70,0.87,4.0E-01,In(3R)C,2R,2,NS
-41.54,102.86,-0.40,6.9E-01,In(3R)Mo,2R,2,NS
76.29,56.64,1.35,1.9E-01,In(3R)Payne,2R,2,NS
2.88,0.81,3.54,2.0E-03,year,3L,2,S
0.06,0.07,0.84,4.1E-01,MeanEC,3L,2,NS
0.48,0.59,0.81,4.3E-01,Month,3L,2,NS
7.53,17.09,0.44,6.6E-01,In(2L)t,3L,2,NS
23.53,74.99,0.31,7.6E-01,In(2R)Ns,3L,2,NS
285.06,433.22,0.66,5.2E-01,In(3L)P,3L,2,NS
293.22,332.44,0.88,3.9E-01,In(3R)C,3L,2,NS
109.28,114.10,0.96,3.5E-01,In(3R)Mo,3L,2,NS
-72.38,62.83,-1.15,2.6E-01,In(3R)Payne,3L,2,NS
2.76,0.91,3.03,6.4E-03,year,3R,2,S
0.03,0.08,0.43,6.7E-01,MeanEC,3R,2,NS
0.60,0.66,0.90,3.8E-01,Month,3R,2,NS
6.08,19.13,0.32,7.5E-01,In(2L)t,3R,2,NS
29.62,83.98,0.35,7.3E-01,In(2R)Ns,3R,2,NS
511.74,485.16,1.05,3.0E-01,In(3L)P,3R,2,NS
313.83,372.29,0.84,4.1E-01,In(3R)C,3R,2,NS
80.00,127.78,0.63,5.4E-01,In(3R)Mo,3R,2,NS
-50.97,70.36,-0.72,4.8E-01,In(3R)Payne,3R,2,NS
2.88,0.92,3.12,5.2E-03,year,2L,3,S
-0.01,0.08,-0.07,9.4E-01,MeanEC,2L,3,NS
0.19,0.67,0.28,7.8E-01,Month,2L,3,NS
-5.96,19.39,-0.31,7.6E-01,In(2L)t,2L,3,NS
3.27,85.13,0.04,9.7E-01,In(2R)Ns,2L,3,NS
851.26,491.76,1.73,9.8E-02,In(3L)P,2L,3,NS
280.15,377.36,0.74,4.7E-01,In(3R)C,2L,3,NS
-24.28,129.52,-0.19,8.5E-01,In(3R)Mo,2L,3,NS
38.65,71.32,0.54,5.9E-01,In(3R)Payne,2L,3,NS
1.03,0.86,1.20,2.4E-01,year,2R,3,NS
0.07,0.07,0.90,3.8E-01,MeanEC,2R,3,NS
0.29,0.62,0.47,6.5E-01,Month,2R,3,NS
8.65,18.02,0.48,6.4E-01,In(2L)t,2R,3,NS
54.63,79.09,0.69,5.0E-01,In(2R)Ns,2R,3,NS
26.24,456.91,0.06,9.5E-01,In(3L)P,2R,3,NS
68.32,350.62,0.19,8.5E-01,In(3R)C,2R,3,NS
