Estimate	Std. Error	t value	Pr(>|t|)	Dim	terms	run_type	test_type	p.val.fdr	p.val.bonfe
-1.59597929982245	0.627806626451387	-2.54215109012717	0.0166185105336089	Dim.1	year	3R	year	0.249277658004134	0.498555316008268
2.32469759122013	0.368122870612184	6.31500451833971	6.73707897095266e-07	Dim.2	year	3R	year	2.0211236912858e-05	2.0211236912858e-05
1.08192669555902	0.488897104604756	2.21299468818431	0.0349245048845656	Dim.3	year	3R	year	0.349245048845656	1
0.422077448754357	0.479278486038022	0.880651773551282	0.385746675515511	Dim.4	year	3R	year	0.988713836175454	1
-0.390939403316775	0.464990389739541	-0.840747275520587	0.40736849836668	Dim.5	year	3R	year	0.988713836175454	1
0.273288286510228	0.463763736509804	0.589283432479958	0.560234234441886	Dim.6	year	3R	year	0.988713836175454	1
-0.226755611796745	0.453515577446085	-0.499995199886385	0.620851422535948	Dim.7	year	3R	year	0.988713836175454	1
-0.0364599259865241	0.449842801571186	-0.0810503710611327	0.935958682201013	Dim.8	year	3R	year	0.988713836175454	1
-0.0372959212662597	0.435945662444304	-0.0855517659176723	0.932410670471854	Dim.9	year	3R	year	0.988713836175454	1
0.124326093356789	0.428040088457621	0.290454321240749	0.773535686052419	Dim.10	year	3R	year	0.988713836175454	1
0.0829530827784936	0.427180317897068	0.194187511229114	0.847382957119033	Dim.11	year	3R	year	0.988713836175454	1
0.0276850699249887	0.423110484975187	0.0654322473871386	0.94827884105358	Dim.12	year	3R	year	0.988713836175454	1
-0.069947906877481	0.420022664388212	-0.166533648795748	0.868892720154491	Dim.13	year	3R	year	0.988713836175454	1
-0.0528681934418455	0.414325211664475	-0.127600715460827	0.899345684055133	Dim.14	year	3R	year	0.988713836175454	1
-0.0387717411338357	0.412685835681585	-0.0939497743357266	0.92579517079494	Dim.15	year	3R	year	0.988713836175454	1
0.0245926625151458	0.40783279560984	0.06030084578748	0.952329677008816	Dim.16	year	3R	year	0.988713836175454	1
-0.139696086045997	0.405429799548442	-0.344562945796257	0.732909295558543	Dim.17	year	3R	year	0.988713836175454	1
-0.011370765236206	0.401188250376822	-0.0283427174787043	0.977582962129157	Dim.18	year	3R	year	0.988713836175454	1
-0.0571263379862438	0.391153175995334	-0.146045952051595	0.884895581511558	Dim.19	year	3R	year	0.988713836175454	1
-0.0304486931135433	0.387487496518178	-0.0785798080896653	0.937906560548136	Dim.20	year	3R	year	0.988713836175454	1
-0.144821586971873	0.384565333376902	-0.376585132362769	0.70922332762711	Dim.21	year	3R	year	0.988713836175454	1
-0.0835913327343234	0.384149073816499	-0.217601286666784	0.829263604579622	Dim.22	year	3R	year	0.988713836175454	1
-0.0820388143171645	0.377419127785727	-0.217367929385234	0.82944374109476	Dim.23	year	3R	year	0.988713836175454	1
0.0136315614332306	0.374475731409103	0.0364017219004735	0.971211462536168	Dim.24	year	3R	year	0.988713836175454	1
0.0812360724220633	0.372058549855323	0.218342173439241	0.828691751241894	Dim.25	year	3R	year	0.988713836175454	1
-0.0525404866073364	0.361150582130739	-0.14548083045403	0.88533772956519	Dim.26	year	3R	year	0.988713836175454	1
0.0455811800596095	0.360278805523726	0.126516407184568	0.900196281675189	Dim.27	year	3R	year	0.988713836175454	1
-0.0180775383352793	0.353398997849427	-0.0511533378568935	0.959554056472426	Dim.28	year	3R	year	0.988713836175454	1
0.00471414691225197	0.330398756377621	0.0142680528339037	0.988713836175454	Dim.29	year	3R	year	0.988713836175454	1
-0.0536255008263807	0.302561924487247	-0.177238100654139	0.860553492399771	Dim.30	year	3R	year	0.988713836175454	1
10.8152348231088	12.0079811889677	0.90067053344864	0.375182666502888	Dim.1	In_2L_t	3R	inv	0.975679543839129	1
-39.4813279226802	63.2768952134736	-0.623945403602441	0.537541050381659	Dim.1	In_2R_Ns	3R	inv	0.975793833869054	1
771.895495853186	270.103403642584	2.8577777452764	0.00781606173594595	Dim.1	In_3L_P	3R	inv	0.316850132893459	1
443.227243081558	202.420088885883	2.18964059111462	0.0367441623031953	Dim.1	In_3R_C	3R	inv	0.633888068078836	1
-92.6663302311512	84.1184384976295	-1.1016173372472	0.279687468302935	Dim.1	In_3R_Mo	3R	inv	0.975679543839129	1
12.5520465012779	62.7728978537353	0.19995964708408	0.842907738115959	Dim.1	In_3R_Payne	3R	inv	0.996583349887132	1
-1.00526299192277	9.94742480928263	-0.101057611512146	0.920200195534428	Dim.2	In_2L_t	3R	inv	0.997807440940946	1
119.121716381339	47.1218875192483	2.52794874425777	0.0171764949905916	Dim.2	In_2R_Ns	3R	inv	0.441681299758069	1
54.2798900179347	249.678948061112	0.217398745226406	0.829419952745589	Dim.2	In_3L_P	3R	inv	0.996583349887132	1
-267.455039692461	171.522523188916	-1.55929982092139	0.129773092365226	Dim.2	In_3R_C	3R	inv	0.975679543839129	1
38.7674965787801	69.7945488789544	0.555451639153297	0.582845734423463	Dim.2	In_3R_Mo	3R	inv	0.975793833869054	1
-41.1848894107548	50.7602229580416	-0.811361475791748	0.423767691895024	Dim.2	In_3R_Payne	3R	inv	0.975793833869054	1
7.9124720166377	9.15217972388478	0.864545087110585	0.394383731048817	Dim.3	In_2L_t	3R	inv	0.975679543839129	1
42.4854078386333	47.8527459882228	0.887836360510836	0.381933513910852	Dim.3	In_2R_Ns	3R	inv	0.975679543839129	1
-291.44123050864	226.430732827016	-1.28710986741932	0.208234824670262	Dim.3	In_3L_P	3R	inv	0.975679543839129	1
296.896533702252	156.966324454813	1.89146643226472	0.0685880214283168	Dim.3	In_3R_C	3R	inv	0.906332303521796	1
-74.3347909456058	63.896634142493	-1.1633600414669	0.254166668049996	Dim.3	In_3R_Mo	3R	inv	0.975679543839129	1
58.1067293739757	46.5925505525052	1.24712488766837	0.222330062037679	Dim.3	In_3R_Payne	3R	inv	0.975679543839129	1
1.26097623434517	8.51341138070945	0.148116445682682	0.883275961950871	Dim.4	In_2L_t	3R	inv	0.996583349887132	1
110.982608863137	39.5080927949716	2.80911076723152	0.00880139258037387	Dim.4	In_2R_Ns	3R	inv	0.316850132893459	1
150.847846824291	212.060607113457	0.711343086665711	0.48255467247882	Dim.4	In_3L_P	3R	inv	0.975793833869054	1
151.476683731072	150.246450842128	1.00818809949951	0.321702719735207	Dim.4	In_3R_C	3R	inv	0.975679543839129	1
-160.650915583046	52.1295981118009	-3.08176010178522	0.00447967441269658	Dim.4	In_3R_Mo	3R	inv	0.316850132893459	0.806341394285384
