pop	tip	kar
AFR	CO14	inv
AFR	GU7	inv
AFR	ZI114N	inv
AFR	ZI117	inv
AFR	ZI118N	inv
AFR	ZI136	inv
AFR	ZI161	inv
AFR	GU10	std
AFR	GU2	std
AFR	GU6	std
AFR	GU9	std
AFR	ZI10	std
AFR	ZI103	std
VA	CM_017_0819	inv
VA	CM_025_0722	inv
VA	CM_029_0819	inv
VA	OW1_H6_CMspring	inv
VA	OW2_A7_CMspring	inv
VA	OW2_B10_CMfall	inv
VA	OW2_C12_CMfall	inv
VA	OW2_C8_CMfall	inv
VA	OW2_D9_CMfall	inv
VA	OW2_A10_CMfall	std
VA	OW2_A11_CMfall	std
VA	OW2_A12_CMfall	std
VA	OW2_A1_CMspring	std
VA	OW2_A2_CMspring	std
VA	OW2_A3_CMspring	std
VA	OW2_A5_CMspring	std
VA	OW2_A6_CMspring	std
out	Dyak.msp300	out
out	Dsim.Msp300	out
out	Dsech.Msp300	out
EU	FR180	inv
EU	Netherlands19	inv
EU	Netherlands22	inv
EU	Netherlands16	std
EU	Netherlands18	std
EU	Netherlands25	std
EU	Netherlands30	std
EU	FR14	std
EU	FR151	std
EU	FR207	std
EU	FR217	std
