Sample	SRR
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
maria_3	SRS2378281
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
Anro_B8	SRS2378279
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
LD8	SRS2378270
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
PNF4	SRS2378269
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
LD15	SRS2378267
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNF155	SRS2378226
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisNoni10	SRS2378232
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisDNJ6	SRS2378224
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisNoni60	SRS2378221
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisAT3	SRS2378223
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
DenisJT1	SRS2378222
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis124	SRS2378225
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
Denis7_2	SRS2378220
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF13	SRS2378219
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
DenisNF66	SRS2378218
