sampId	config	sp	SRR	readF	readR
mau12w	2	mau	SRR483621	SRR483621.sra_1.fastq	SRR483621.sra_2.fastq
R23_R21-L2	2	mau	SRR1560087	SRR1560087.sra_1.fastq	SRR1560087.sra_2.fastq
R23_R22-L2	2	mau	SRR1560089	SRR1560089.sra_1.fastq	SRR1560089.sra_2.fastq
R23_R25-L2	2	mau	SRR1560090	SRR1560090.sra_1.fastq	SRR1560090.sra_2.fastq
R31_R21-L3	2	mau	SRR1560095	SRR1560095.sra_1.fastq	SRR1560095.sra_2.fastq
R31_R22-L3	2	mau	SRR1560097	SRR1560097.sra_1.fastq	SRR1560097.sra_2.fastq
R31_R25-L3	2	mau	SRR1560098	SRR1560098.sra_1.fastq	SRR1560098.sra_2.fastq
R32_R21-L4	2	mau	SRR1560100	SRR1560100.sra_1.fastq	SRR1560100.sra_2.fastq
R32_R22-L4	2	mau	SRR1560102	SRR1560102.sra_1.fastq	SRR1560102.sra_2.fastq
R32_R25-L4	2	mau	SRR1560103	SRR1560103.sra_1.fastq	SRR1560103.sra_2.fastq
R39_R21-L5	2	mau	SRR1560108	SRR1560108.sra_1.fastq	SRR1560108.sra_2.fastq
R39_R22-L5	2	mau	SRR1560109	SRR1560109.sra_1.fastq	SRR1560109.sra_2.fastq
R39_R25-L5	2	mau	SRR1560110	SRR1560110.sra_1.fastq	SRR1560110.sra_2.fastq
R41_R30-L1	2	mau	SRR1560130	SRR1560130.sra_1.fastq	SRR1560130.sra_2.fastq
R41_R30-L4	2	mau	SRR1560131	SRR1560131.sra_1.fastq	SRR1560131.sra_2.fastq
R41_R30-L7	2	mau	SRR1560132	SRR1560132.sra_1.fastq	SRR1560132.sra_2.fastq
R44_R21-L6	2	mau	SRR1560133	SRR1560133.sra_1.fastq	SRR1560133.sra_2.fastq
R44_R22-L6	2	mau	SRR1560146	SRR1560146.sra_1.fastq	SRR1560146.sra_2.fastq
R44_R25-L6	2	mau	SRR1560147	SRR1560147.sra_1.fastq	SRR1560147.sra_2.fastq
R56_R21-L7	2	mau	SRR1560148	SRR1560148.sra_1.fastq	SRR1560148.sra_2.fastq
R56_R22-L7	2	mau	SRR1560149	SRR1560149.sra_1.fastq	SRR1560149.sra_2.fastq
R56_R25-L7	2	mau	SRR1560150	SRR1560150.sra_1.fastq	SRR1560150.sra_2.fastq
R61_R30-L2	2	mau	SRR1560267	SRR1560267.sra_1.fastq	SRR1560267.sra_2.fastq
R61_R30-L5	2	mau	SRR1560268	SRR1560268.sra_1.fastq	SRR1560268.sra_2.fastq
R61_R30-L8	2	mau	SRR1560269	SRR1560269.sra_1.fastq	SRR1560269.sra_2.fastq
R8_R22-L1	2	mau	SRR1560275	SRR1560275.sra_1.fastq	SRR1560275.sra_2.fastq
R8_R25-L1	2	mau	SRR1560276	SRR1560276.sra_1.fastq	SRR1560276.sra_2.fastq
