samp SRR
mau12_LargeInsert SRR1555246
mau12_RNAseq.female SRR1560444
mau12_RNAseq.male SRR1560430
mau12w SRR483621
R23_R21-L2 SRR1560087
R23_R22-L2 SRR1560089
R23_R25-L2 SRR1560090
R31_R21-L3 SRR1560095
R31_R22-L3 SRR1560097
R31_R25-L3 SRR1560098
R32_R21-L4 SRR1560100
R32_R22-L4 SRR1560102
R32_R25-L4 SRR1560103
R39_R21-L5 SRR1560108
R39_R22-L5 SRR1560109
R39_R25-L5 SRR1560110
R41_R30-L1 SRR1560130
R41_R30-L4 SRR1560131
R41_R30-L7 SRR1560132
R44_R21-L6 SRR1560133
R44_R22-L6 SRR1560146
R44_R25-L6 SRR1560147
R56_R21-L7 SRR1560148
R56_R22-L7 SRR1560149
R56_R25-L7 SRR1560150
R61_R30-L2 SRR1560267
R61_R30-L5 SRR1560268
R61_R30-L8 SRR1560269
R8_R22-L1 SRR1560275
R8_R25-L1 SRR1560276
