samp	SRR
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	SRR5860570
maria_3	
maria_3	
maria_3	
maria_3	
maria_3	
maria_3	
maria_3	
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	SRR5860573
Anro_B8	
Anro_B8	
Anro_B8	
Anro_B8	
Anro_B8	
Anro_B8	
Anro_B8	
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	SRR5860582
LD8	
LD8	
LD8	
LD8	
LD8	
LD8	
LD8	
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	SRR5860583
PNF4	
PNF4	
PNF4	
PNF4	
PNF4	
PNF4	
PNF4	
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	SRR5860584
LD15	
LD15	
LD15	
LD15	
LD15	
LD15	
LD15	
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	SRR5860625
DenisNF155	
DenisNF155	
DenisNF155	
DenisNF155	
DenisNF155	
DenisNF155	
DenisNF155	
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	SRR5860626
DenisNoni10	
DenisNoni10	
DenisNoni10	
DenisNoni10	
DenisNoni10	
DenisNoni10	
DenisNoni10	
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	SRR5860627
DenisDNJ6	
DenisDNJ6	
DenisDNJ6	
DenisDNJ6	
DenisDNJ6	
DenisDNJ6	
DenisDNJ6	
DenisNoni60	SRR5860628
DenisNoni60	SRR5860628
DenisNoni60	SRR5860628
DenisNoni60	SRR5860628
