samp	SRR
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	SRR5860574
SanTome_city_14_26	
SanTome_city_14_26	
SanTome_city_14_26	
SanTome_city_14_26	
SanTome_city_14_26	
SanTome_city_14_26	
SanTome_city_14_26	
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	SRR5860575
SJ_1	
SJ_1	
SJ_1	
SJ_1	
SJ_1	
SJ_1	
SJ_1	
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	SRR5860578
Cascade_21	
Cascade_21	
Cascade_21	
Cascade_21	
Cascade_21	
Cascade_21	
Cascade_21	
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	SRR5860579
BAR_1000_2	
BAR_1000_2	
BAR_1000_2	
BAR_1000_2	
BAR_1000_2	
BAR_1000_2	
BAR_1000_2	
SN7	SRR5860580
SN7	SRR5860580
SN7	SRR5860580
SN7	SRR5860580
SN7	SRR5860580
SN7	SRR5860580
SN7	SRR5860580
SN7	SRR5860580
SN7	SRR5860580
SN7	SRR5860580
SN7	SRR5860580
SN7	SRR5860580
SN7	SRR5860580
SN7	SRR5860580
SN7	
SN7	
SN7	
SN7	
SN7	
SN7	
SN7	
SN_Cascade_22	SRR5860581
SN_Cascade_22	SRR5860581
SN_Cascade_22	SRR5860581
SN_Cascade_22	SRR5860581
SN_Cascade_22	SRR5860581
SN_Cascade_22	SRR5860581
SN_Cascade_22	SRR5860581
