Year	CollectionDate	species	Count	JulianCollectionDate
2017	20170615	Zaprionus indianus	1	166
2017	20170615	Chymomyza amoena	5	166
2017	20170615	Drosophila melanogaster	7	166
2017	20170615	unknown	5	166
2017	20170615	unknown	2	166
2017	20170615	Drosophila tripunctata	1	166
2017	20170622	Drosophila suzukii	46	173
2017	20170622	Drosophila suzukii	19	173
2017	20170622	Drosophila immigrans	47	173
2017	20170622	Drosophila immigrans	40	173
2017	20170622	Drosophila immigrans	37	173
2017	20170622	unknown	2	173
2017	20170622	unknown	5	173
2017	20170622	unknown	1	173
2017	20170622	unknown	24	173
2017	20170622	Drosophila hydei	18	173
2017	20170622	Zaprionus indianus	7	173
2017	20170622	unknown	1	173
2017	20170622	Drosophila tripunctata	68	173
2017	20170622	unknown	2	173
2017	20170622	Chymomyza amoena	37	173
2017	20170622	unknown	1	173
2017	20170622	unknown	14	173
2017	20170622	Drosophila melanogaster	80	173
2017	20170707	Chymomyza amoena	3	188
2017	20170707	Drosophila tripunctata	60	188
2017	20170707	Drosophila hydei	65	188
2017	20170707	Drosophila hydei	6	188
2017	20170707	unknown	12	188
2017	20170707	unknown	3	188
2017	20170707	Zaprionus indianus	15	188
2017	20170707	Drosophila immigrans	68	188
2017	20170707	Drosophila immigrans	19	188
2017	20170707	Drosophila immigrans	79	188
2017	20170707	Drosophila immigrans	57	188
2017	20170707	Drosophila suzukii	98	188
2017	20170707	Drosophila suzukii	25	188
2017	20170707	unknown	3	188
2017	20170707	unknown	12	188
2017	20170707	Drosophila melanogaster	145	188
2017	20170720	Drosophila suzukii	69	201
2017	20170720	Drosophila suzukii	15	201
2017	20170720	Drosophila suzukii	21	201
2017	20170720	Zaprionus indianus	60	201
2017	20170720	Zaprionus indianus	28	201
2017	20170720	Drosophila immigrans	50	201
2017	20170720	Drosophila immigrans	17	201
2017	20170720	Drosophila immigrans	60	201
2017	20170720	Drosophila immigrans	64	201
2017	20170720	Drosophila hydei	51	201
2017	20170720	Drosophila hydei	25	201
2017	20170720	Chymomyza amoena	3	201
2017	20170720	Drosophila tripunctata	7	201
2017	20170720	unknown	2	201
2017	20170720	unknown	1	201
2017	20170720	unknown	4	201
2017	20170720	unknown	1	201
2017	20170720	Drosophila simulans	5	201
2017	20170720	Drosophila melanogaster	117	201
2017	20170720	Drosophila melanogaster	16	201
2017	20170803	Zaprionus indianus	67	215
2017	20170803	Zaprionus indianus	79	215
2017	20170803	Zaprionus indianus	23	215
2017	20170803	Drosophila suzukii	123	215
2017	20170803	Drosophila suzukii	28	215
2017	20170803	Drosophila suzukii	19	215
2017	20170803	Drosophila immigrans	55	215
2017	20170803	Drosophila immigrans	23	215
2017	20170803	Drosophila hydei	9	215
2017	20170803	Drosophila tripunctata	1	215
2017	20170803	Chymomyza amoena	5	215
2017	20170803	unknown	2	215
2017	20170803	unknown	9	215
2017	20170803	unknown	2	215
2017	20170803	unknown	9	215
2017	20170803	Drosophila simulans	6	215
2017	20170803	Drosophila melanogaster	37	215
2017	20170803	Drosophila suzukii	101	215
2017	20170803	Drosophila suzukii	18	215
2017	20170803	Zaprionus indianus	22	215
2017	20170803	Chymomyza amoena	19	215
2017	20170803	Drosophila immigrans	1	215
2017	20170803	unknown	1	215
2017	20170803	unknown	1	215
2017	20170803	unknown	1	215
2017	20170803	unknown	1	215
2017	20170803	unknown	1	215
2017	20170803	unknown	1	215
2017	20170803	Drosophila melanogaster	16	215
2017	20170817	Zaprionus indianus	79	229
2017	20170817	Zaprionus indianus	88	229
2017	20170817	Zaprionus indianus	88	229
2017	20170817	Zaprionus indianus	86	229
2017	20170817	Drosophila immigrans	60	229
2017	20170817	Drosophila immigrans	30	229
2017	20170817	Drosophila suzukii	81	229
2017	20170817	Drosophila suzukii	12	229
2017	20170817	unknown	19	229
2017	20170817	unknown	9	229
2017	20170817	unknown	3	229
2017	20170817	unknown	1	229
2017	20170817	unknown	1	229
2017	20170817	Drosophila tripunctata	2	229
2017	20170817	Chymomyza amoena	3	229
2017	20170817	unknown	5	229
2017	20170817	Drosophila hydei	10	229
2017	20170817	Drosophila simulans	5	229
2017	20170817	Drosophila melanogaster	54	229
2017	20170817	unknown	6	229
2017	20170817	unknown	4	229
2017	20170817	unknown	3	229
2017	20170817	unknown	2	229
2017	20170817	unknown	1	229
2017	20170817	unknown	3	229
2017	20170817	Drosophila tripunctata	6	229
2017	20170817	Chymomyza amoena	41	229
2017	20170817	Drosophila hydei	2	229
2017	20170817	Drosophila immigrans	3	229
2017	20170817	Drosophila immigrans	2	229
2017	20170817	Zaprionus indianus	84	229
2017	20170817	Drosophila suzukii	113	229
2017	20170817	Drosophila suzukii	21	229
2017	20170817	Drosophila simulans	8	229
2017	20170817	Drosophila melanogaster	32	229
2017	20170831	unknown	6	243
2017	20170831	unknown	2	243
2017	20170831	unknown	1	243
2017	20170831	unknown	1	243
2017	20170831	unknown	2	243
2017	20170831	Drosophila suzukii	8	243
2017	20170831	Drosophila suzukii	38	243
2017	20170831	Drosophila immigrans	9	243
2017	20170831	Drosophila immigrans	3	243
2017	20170831	Drosophila tripunctata	1	243
2017	20170831	Drosophila hydei	18	243
2017	20170831	Zaprionus indianus	134	243
2017	20170831	Zaprionus indianus	122	243
2017	20170831	Zaprionus indianus	115	243
2017	20170831	Zaprionus indianus	100	243
2017	20170831	Zaprionus indianus	93	243
2017	20170831	Drosophila simulans	20	243
2017	20170831	Drosophila melanogaster	97	243
2017	20170831	Zaprionus indianus	90	243
2017	20170831	Zaprionus indianus	26	243
2017	20170831	Drosophila suzukii	47	243
2017	20170831	Drosophila suzukii	65	243
2017	20170831	Chymomyza amoena	13	243
2017	20170831	Drosophila hydei	1	243
2017	20170831	unknown	18	243
2017	20170831	Drosophila tripunctata	6	243
2017	20170831	unknown	5	243
2017	20170831	unknown	2	243
2017	20170831	unknown	1	243
2017	20170831	Drosophila simulans	7	243
2017	20170831	Drosophila melanogaster	28	243
2017	20170914	Zaprionus indianus	126	257
2017	20170914	Zaprionus indianus	134	257
2017	20170914	Zaprionus indianus	91	257
2017	20170914	Drosophila suzukii	72	257
2017	20170914	Drosophila suzukii	43	257
2017	20170914	Chymomyza amoena	8	257
2017	20170914	Drosophila immigrans	1	257
2017	20170914	Drosophila hydei	7	257
2017	20170914	Drosophila tripunctata	2	257
2017	20170914	unknown	3	257
2017	20170914	unknown	2	257
2017	20170914	unknown	2	257
2017	20170914	unknown	11	257
2017	20170914	unknown	3	257
2017	20170914	Drosophila simulans	11	257
2017	20170914	Drosophila melanogaster	43	257
2017	20170914	Zaprionus indianus	103	257
2017	20170914	Zaprionus indianus	111	257
2017	20170914	Drosophila suzukii	58	257
2017	20170914	Drosophila suzukii	44	257
2017	20170914	Drosophila hydei	10	257
2017	20170914	unknown	3	257
2017	20170914	unknown	1	257
2017	20170914	unknown	15	257
2017	20170914	Drosophila tripunctata	2	257
2017	20170914	unknown	10	257
2017	20170914	Drosophila immigrans	1	257
2017	20170914	Chymomyza amoena	10	257
2017	20170914	Drosophila simulans	16	257
2017	20170914	Drosophila melanogaster	51	257
2017	20170928	Zaprionus indianus	178	271
2017	20170928	Drosophila immigrans	2	271
2017	20170928	Drosophila suzukii	20	271
2017	20170928	Drosophila suzukii	10	271
2017	20170928	Drosophila hydei	4	271
2017	20170928	unknown	1	271
2017	20170928	Chymomyza amoena	1	271
2017	20170928	unknown	1	271
2017	20170928	Drosophila simulans	14	271
2017	20170928	Drosophila melanogaster	116	271
2017	20170928	Zaprionus indianus	91	271
2017	20170928	unknown	1	271
2017	20170928	Drosophila hydei	4	271
2017	20170928	Drosophila suzukii	5	271
2017	20170928	Drosophila suzukii	1	271
2017	20170928	unknown	1	271
2017	20170928	Drosophila simulans	10	271
2017	20170928	Drosophila melanogaster	88	271
2017	20171012	Zaprionus indianus	109	285
2017	20171012	Zaprionus indianus	129	285
2017	20171012	Drosophila suzukii	40	285
2017	20171012	Drosophila suzukii	16	285
2017	20171012	unknown	1	285
2017	20171012	unknown	1	285
2017	20171012	Drosophila hydei	4	285
2017	20171012	unknown	1	285
2017	20171012	unknown	1	285
2017	20171012	Drosophila simulans	16	285
2017	20171012	Drosophila melanogaster	99	285
2017	20171012	Zaprionus indianus	74	285
2017	20171012	Drosophila suzukii	39	285
2017	20171012	Drosophila suzukii	16	285
2017	20171012	unknown	1	285
2017	20171012	Drosophila immigrans	1	285
2017	20171012	unknown	1	285
2017	20171012	Drosophila simulans	7	285
2017	20171012	Drosophila melanogaster	50	285
2017	20171012	Zaprionus indianus	132	285
2017	20171012	Drosophila hydei	6	285
2017	20171012	Drosophila suzukii	2	285
2017	20171012	Drosophila suzukii	1	285
2017	20171012	Drosophila immigrans	1	285
2017	20171012	unknown	1	285
2017	20171012	Drosophila simulans	3	285
2017	20171012	Drosophila melanogaster	44	285
2017	20171026	Zaprionus indianus	73	299
2017	20171026	Drosophila hydei	37	299
2017	20171026	Drosophila suzukii	1	299
2017	20171026	Drosophila simulans	25	299
2017	20171026	Drosophila melanogaster	168	299
2017	20171026	Zaprionus indianus	53	299
2017	20171026	Drosophila hydei	2	299
2017	20171026	Drosophila suzukii	1	299
2017	20171026	Drosophila suzukii	1	299
2017	20171026	unknown	6	299
2017	20171026	Drosophila simulans	42	299
2017	20171026	Drosophila melanogaster	165	299
2017	20171109	Zaprionus indianus	13	313
2017	20171109	Drosophila hydei	5	313
2017	20171109	Drosophila melanogaster	78	313
2017	20171109	Drosophila simulans	27	313
2017	20171109	Zaprionus indianus	14	313
2017	20171109	Drosophila hydei	14	313
2017	20171109	Drosophila melanogaster	43	313
2017	20171109	Drosophila simulans	25	313
2017	20171109	Zaprionus indianus	8	313
2017	20171109	Drosophila hydei	2	313
2017	20171109	Drosophila melanogaster	109	313
2017	20171109	Drosophila simulans	65	313
2017	20171124	Drosophila hydei	7	328
2017	20171124	Drosophila immigrans	2	328
2017	20171124	Drosophila suzukii	1	328
2017	20171124	Chymomyza amoena	1	328
2017	20171124	Drosophila melanogaster	1	328
2017	20171124	Drosophila simulans	1	328
2017	20171124	Drosophila hydei	3	328
2017	20171124	Drosophila immigrans	1	328
2017	20171124	Drosophila suzukii	2	328
2017	20171124	Drosophila tripunctata	1	328
2017	20171124	Drosophila melanogaster	17	328
2017	20171124	Drosophila simulans	2	328
2017	20171124	Drosophila melanogaster	10	328
2017	20171124	Drosophila simulans	7	328
2017	20171207	Drosophila suzukii	1	341
2017	20171207	Drosophila hydei	1	341
2017	20171207	Drosophila melanogaster	12	341
2017	20171207	Drosophila simulans	9	341
2018	20180628	Chymomyza amoena	12	179
2018	20180628	Drosophila immigrans	16	179
2018	20180628	Drosophila hydei	95	179
2018	20180628	Drosophila suzukii	1	179
2018	20180628	Drosophila tripunctata	1	179
2018	20180628	Drosophila simulans	5	179
2018	20180628	Drosophila melanogaster	10	179
2018	20180705	Drosophila hydei	41	186
2018	20180705	Drosophila immigrans	17	186
2018	20180705	Drosophila tripunctata	19	186
2018	20180705	Drosophila suzukii	3	186
2018	20180705	Chymomyza amoena	3	186
2018	20180705	Drosophila simulans	43	186
2018	20180705	Drosophila simulans	49	186
2018	20180705	Drosophila tripunctata	5	186
2018	20180705	Drosophila hydei	23	186
2018	20180705	Drosophila immigrans	10	186
2018	20180705	Chymomyza amoena	4	186
2018	20180705	Drosophila suzukii	1	186
2018	20180705	Drosophila suzukii	1	186
2018	20180705	Zaprionus indianus	2	186
2018	20180712	Drosophila hydei	58	193
2018	20180712	Drosophila immigrans	84	193
2018	20180712	Drosophila tripunctata	21	193
2018	20180712	Drosophila suzukii	23	193
2018	20180712	Drosophila suzukii	19	193
2018	20180712	Chymomyza amoena	3	193
2018	20180712	Drosophila simulans	157	193
2018	20180712	Zaprionus indianus	1	193
2018	20180712	Drosophila simulans	63	193
2018	20180712	Drosophila suzukii	4	193
2018	20180712	Drosophila suzukii	9	193
2018	20180712	Drosophila immigrans	23	193
2018	20180712	Chymomyza amoena	2	193
2018	20180712	Drosophila hydei	141	193
2018	20180719	Drosophila suzukii	2	200
2018	20180719	Drosophila immigrans	7	200
2018	20180719	Drosophila hydei	6	200
2018	20180719	Drosophila simulans	90	200
2018	20180719	Drosophila hydei	108	200
2018	20180719	Drosophila hydei	108	200
2018	20180719	Drosophila hydei	95	200
2018	20180719	Drosophila hydei	90	200
2018	20180719	Chymomyza amoena	3	200
2018	20180719	Drosophila suzukii	13	200
