"hot" "cold"
"1" "4Week-Non-acclimationSurvival_NegativeSixDegrees_F" "1-HexanolAttraction_standard_female"
"2" "BenzaldehydeResponse_standard_male" "1-HexanolAttraction_standard_male"
"3" "DayAverageBoutLength_standard_Female" "2-HeptanoneAttraction_standard_female"
"4" "DayBoutNumber_standard_Male" "ActivityLevel_Standard-BasalActivity_F"
"5" "DaySleep_standard_Female" "HexanalAttraction_standard_male"
"6" "DaySleep_standard_Male" "l-CarvoneAttraction_standard_female"
"7" "EugenolAttraction_standard_female" "Lifespan_TwentyFiveDegreesC_F"
"8" "ForagingBehavior_Standard_M" "Lifespan_TwentyFiveDegreesC_M"
"9" "FreeGlycerolLevels_HighGlucoseDiet_male" "MenadioneSodiumBisulfite(MSB)Resistance_standard_male"
"10" "FreeGlycerolLevels_LowGlucoseDiet_male" "Movement_-100ppm_Mixed"
"11" "HelionalAttraction_standard_male" "NegativeGeotaxis_MSB_Treatment_female"
"12" "InternocularDistance_standard_F" "NegativeGeotaxis_MSB_Treatment_male"
"13" "InterocularDistance_standard_female" "NegativeGeotaxis_standard_female"
"14" "Lifespan_ProvidenciaRettgeriInfection_F" "NegativeGeotaxis_standard_male"
"15" "MeanElutionTime_DevelopmentofTolerance_female" "NightAverageBoutLength_standard_Female"
"16" "MeanElutionTime_DevelopmentofTolerance_male" "SolubleProteinLevels_HighGlucoseDiet_male"
"17" "StarvationResistance_standard_male" "StartleResponse_MSB_Treatment_female"
"18" "TimeOfDeath_MonocytogenesInfection_male" "StartleResponse_standard_female"
"19" NA "StartleResponse_standard_Female"
"20" NA "TriglycerideLevels_LowGlucoseDiet_male"
