phenotype,nStrains,collecter,category.specific,group.general
AggressionScore_standard_male,196,cynthia,natural behavior,behavior
FoodIntake_standard_female,179,cynthia,natural behavior,behavior
FoodIntake_standard_male,178,cynthia,natural behavior,behavior
Lifespan_standard_female,193,cynthia,pending,life-history
MeanElutionTime_DevelopmentofTolerance_female,201,cynthia,chemical resistance,stress-resistance
MeanElutionTime_DevelopmentofTolerance_male,201,cynthia,chemical resistance,stress-resistance
MeanElutionTime_RepeatedEthanolExposures_female,201,cynthia,chemical resistance,stress-resistance
MeanElutionTime_RepeatedEthanolExposures_male,201,cynthia,chemical resistance,stress-resistance
MeanElutionTime_SingleEthanolExposure_female,201,cynthia,chemical resistance,stress-resistance
MeanElutionTime_SingleEthanolExposure_male,201,cynthia,chemical resistance,stress-resistance
StartleResponse_standard_female,197,cynthia,natural behavior,behavior
StartleResponse_standard_male,378,cynthia,natural behavior,behavior
StarvationResistance_standard_female,193,cynthia,env-resistance,stress-resistance
StarvationResistance_standard_male,193,cynthia,env-resistance,stress-resistance
1-HexanolAttraction_standard_female,182,cynthia,chemical-attraction,behavior
1-HexanolAttraction_standard_male,182,cynthia,chemical-attraction,behavior
2-HeptanoneAttraction_standard_female,182,cynthia,chemical-attraction,behavior
2-HeptanoneAttraction_standard_male,182,cynthia,chemical-attraction,behavior
2-PhenylEthylAlcoholAttraction_standard_female,182,cynthia,chemical-attraction,behavior
30%ResponseStrength_standard_F,148,cynthia,chemical-attraction,behavior
30%ResponseStrength_standard_M,148,cynthia,chemical-attraction,behavior
90%ResponseStrength_standard_F,148,cynthia,chemical-attraction,behavior
90%ResponseStrength_standard_M,148,cynthia,chemical-attraction,behavior
AcetophenoneAttraction_standard_female,182,cynthia,chemical-attraction,behavior
AcetophenoneAttraction_standard_male,182,cynthia,chemical-attraction,behavior
BenzaldehydeAttraction_standard_female,182,cynthia,chemical-attraction,behavior
BenzaldehydeAttraction_standard_male,182,cynthia,chemical-attraction,behavior
BenzaldehydeResponse_standard_female,160,cynthia,pending,behavior
BenzaldehydeResponse_standard_male,160,cynthia,pending,behavior
ChillComaRecoveryTime_standard_female,170,cynthia,env-resistance,stress-resistance
ChillComaRecoveryTime_standard_male,170,cynthia,env-resistance,stress-resistance
CitralAttraction_standard_female,182,cynthia,chemical-attraction,behavior
CitralAttraction_standard_male,182,cynthia,chemical-attraction,behavior
DCVLifespan_standard_male,151,cynthia,immune-response,life-history
DMelSV_standard_female,171,cynthia,immune-response,life-history
DayAverageBoutLength_standard_Female,163,cynthia,natural behavior,behavior
DayAverageBoutLength_standard_Male,163,cynthia,natural behavior,behavior
DayBoutNumber_standard_Female,163,cynthia,natural behavior,behavior
DayBoutNumber_standard_Male,163,cynthia,natural behavior,behavior
DaySleep_standard_Female,163,cynthia,natural behavior,behavior
DaySleep_standard_Male,163,cynthia,natural behavior,behavior
EthylAcetateAttraction_standard_female,182,cynthia,chemical-attraction,behavior
EthylAcetateAttraction_standard_male,182,cynthia,chemical-attraction,behavior
EthylButyrateAttraction_standard_female,182,cynthia,chemical-attraction,behavior
EthylButyrateAttraction_standard_male,182,cynthia,chemical-attraction,behavior
EugenolAttraction_standard_female,182,cynthia,chemical-attraction,behavior
EugenolAttraction_standard_male,182,cynthia,chemical-attraction,behavior
FreeGlucoseLevels_HighGlucoseDiet_male,136,cynthia,physiology,life-history
FreeGlucoseLevels_LowGlucoseDiet_male,140,cynthia,physiology,life-history
FreeGlucoseLevels_PooledDiets_male,136,cynthia,physiology,life-history
FreeGlycerolLevels_HighGlucoseDiet_male,137,cynthia,physiology,life-history
FreeGlycerolLevels_LowGlucoseDiet_male,140,cynthia,physiology,life-history
FreeGlycerolLevels_PooledDiets_male,135,cynthia,physiology,life-history
GlycogenLevels_HighGlucoseDiet_male,137,cynthia,physiology,life-history
GlycogenLevels_LowGlucoseDiet_male,140,cynthia,physiology,life-history
GlycogenLevels_PooledDiets_male,135,cynthia,physiology,life-history
HazardRatio_TMSupplementedDiet/None_male,108,cynthia,chemical-resistance,stress-resistance
HelionalAttraction_standard_female,182,cynthia,chemical-attraction,behavior
HelionalAttraction_standard_male,182,cynthia,chemical-attraction,behavior
HexanalAttraction_standard_female,182,cynthia,chemical-attraction,behavior
HexanalAttraction_standard_male,182,cynthia,chemical-attraction,behavior
IntensityOfResponse_standard_F,148,cynthia,chemical-resistance,stress-resistance
IntensityOfResponse_standard_M,148,cynthia,chemical-resistance,stress-resistance
InterocularDistance_standard_female,142,cynthia,adult morphology,morphology
InterocularDistance_standard_male,142,cynthia,adult morphology,morphology
InterpulseInterval_standard_male,175,cynthia,natural behavior,behavior
LeftEyeArea_standard_female,170,cynthia,adult morphology,morphology
LifeShortened_MonocytogenesInfection_male,110,cynthia,immune-response,life-history
LifeSpan_HighYeast_female,172,cynthia,longevity,life-history
LifeSpan_LowYeast_female,172,cynthia,longevity,life-history
LifeTimeFecundity_HighYeast_female,172,cynthia,fecundity,life-history
LifeTimeFecundity_LowYeast_female,172,cynthia,fecundity,life-history
LocationRatio_standard_F,148,cynthia,natural behavior,behavior
LocationRatio_standard_M,148,cynthia,natural behavior,behavior
MenadioneSodiumBisulfite(MSB)Resistance_standard_female,163,cynthia,chemical-resistance,stress-resistance
MenadioneSodiumBisulfite(MSB)Resistance_standard_male,163,cynthia,chemical-resistance,stress-resistance
MethylSalicylateAttraction_standard_female,182,cynthia,chemical-attraction,behavior
MethylSalicylateAttraction_standard_male,182,cynthia,chemical-attraction,behavior
NegativeGeotaxis_MSB_Treatment_female,181,cynthia,natural behavior,behavior
NegativeGeotaxis_MSB_Treatment_male,181,cynthia,natural behavior,behavior
NegativeGeotaxis_standard_female,181,cynthia,natural behavior,behavior
NegativeGeotaxis_standard_male,181,cynthia,natural behavior,behavior
NightAverageBoutLength_standard_Female,163,cynthia,natural behavior,behavior
NightAverageBoutLength_standard_Male,163,cynthia,natural behavior,behavior
NightBoutNumber_standard_Female,163,cynthia,natural behavior,behavior
NightBoutNumber_standard_Male,163,cynthia,natural behavior,behavior
NightSleep_standard_Female,163,cynthia,natural behavior,behavior
NightSleep_standard_Male,163,cynthia,natural behavior,behavior
ParaquatResistance_standard_female,163,cynthia,chemical-resistance,stress-resistance
ParaquatResistance_standard_male,163,cynthia,chemical-resistance,stress-resistance
SolubleProteinLevels_HighGlucoseDiet_male,137,cynthia,physiology,life-history
SolubleProteinLevels_LowGlucoseDiet_male,140,cynthia,physiology,life-history
SolubleProteinLevels_PooledDiets_male,135,cynthia,physiology,life-history
StartleResponse_MSB_Treatment_female,181,cynthia,natural behavior,behavior
StartleResponse_MSB_Treatment_male,181,cynthia,natural behavior,behavior
StartleResponse_standard_Female,181,cynthia,natural behavior,behavior
StrengthOfResponse_standard_F,148,cynthia,chemical-attraction,behavior
StrengthOfResponse_standard_M,148,cynthia,chemical-attraction,behavior
SurvivalValues_Radiation_male,154,cynthia,chemical-resistance,stress-resistance
Tergite5Pigmentation_standard_female,171,cynthia,adult morphology,morphology
Tergite6Pigmentation_standard_female,171,cynthia,adult morphology,morphology
ThoraxLength_standard_female,172,cynthia,adult morphology,morphology
TriglycerideLevels_HighGlucoseDiet_male,137,cynthia,physiology,life-history
TriglycerideLevels_LowGlucoseDiet_male,140,cynthia,physiology,life-history
TriglycerideLevels_PooledDiets_male,135,cynthia,physiology,life-history
WalkingActivity_standard_Female,163,cynthia,natural behavior,behavior
WalkingActivity_standard_Male,163,cynthia,natural behavior,behavior
Week1Fecundity_HighYeast_female,172,cynthia,fecundity,life-history
Week1Fecundity_LowYeast_female,172,cynthia,fecundity,life-history
Week3Fecundity_HighYeast_female,169,cynthia,fecundity,life-history
Week3Fecundity_LowYeast_female,172,cynthia,fecundity,life-history
Week5Fecundity_HighYeast_female,149,cynthia,fecundity,life-history
