"","V1","wells","fly.geno","flyids"
"1",1,"M.1.11","k5b-ds3.D.1",NA
"2",2,"M.1.12","k5b-ds3.D.2",NA
"3",3,"M.1.13","k5b-ds3.D.3",NA
"4",4,"M.1.14","k5b-ds3.D.4",NA
"5",5,"M.1.15","k5b-ds3.D.5",NA
"6",6,"M.1.16","k5b-ds3.D.6",NA
"7",7,"M.1.17","k5b-ds3.D.7",NA
"8",8,"M.1.18","k5b-ds3.D.8",NA
"9",9,"M.1.19","k5b-ds3.D.9",NA
"10",10,"M.1.20","k5b-ds3.B.1",NA
"11",11,"M.1.21","k5b-ds3.B.2",NA
"12",12,"M.1.22","k5b-ds3.B.3",NA
"13",13,"M.1.23","k5b-ds3.B.4",NA
"14",14,"M.1.24","k5b-ds3.B.5",NA
"15",15,"M.1.25","k5b-ds3.B.6",NA
"16",16,"M.1.26","k5b-ds3.B.7",NA
"17",17,"M.1.27","k5b-ds3.B.8",NA
"18",18,"M.1.28","k5b-ds3.B.9",NA
"19",19,"M.1.29","k5b-ds3.B.10",NA
"20",20,"M.1.30","k2a-ds4.D.1",NA
"21",21,"M.1.31","k2a-ds4.D.2",NA
"22",22,"M.1.32","k2a-ds4.D.3",NA
"23",23,"M.1.33","k2a-ds4.B.1",NA
"24",24,"M.1.34","k2a-ds4.B.2",NA
"25",25,"M.1.35","k2a-ds4.B.3",NA
"26",26,"M.1.36","k2a-ds2.B.1",NA
"27",27,"M.1.37","k2a-ds2.B.2",NA
"28",28,"M.1.38","k2a-ds2.B.3",NA
"29",29,"M.1.39","k2a-di6.B.1",NA
"30",30,"M.1.40","k2a-di6.B.2",NA
"31",31,"M.1.41","k2a-di6.B.3",NA
"32",32,"M.1.42","k2a-di5.D.1",NA
"33",33,"M.2.11","k2a-di5.D.2",NA
"34",34,"M.2.12","k2a-di5.B.1",NA
"35",35,"M.2.13","k2a-di5.B.2",NA
"36",36,"M.2.14","k2a-di5.B.3",NA
"37",37,"M.2.15","k2a-di5.B.4",NA
