"","wells","fly.geno"
"1","M.1.11","k5b-ds3.D1"
"2","M.1.12","k5b-ds3.D2"
"3","M.1.13","k5b-ds3.D3"
"4","M.1.14","k5b-ds3.D4"
"5","M.1.15","k5b-ds3.D5"
"6","M.1.16","k5b-ds3.D6"
"7","M.1.17","k5b-ds3.D7"
"8","M.1.18","k5b-ds3.D8"
"9","M.1.19","k5b-ds3.D9"
"10","M.1.20","k5b-ds3.B1"
"11","M.1.21","k5b-ds3.B2"
"12","M.1.22","k5b-ds3.B3"
"13","M.1.23","k5b-ds3.B4"
"14","M.1.24","k5b-ds3.B5"
"15","M.1.25","k5b-ds3.B6"
"16","M.1.26","k5b-ds3.B7"
"17","M.1.27","k5b-ds3.B8"
"18","M.1.28","k5b-ds3.B9"
"19","M.1.29","k5b-ds3.B10"
"20","M.1.30","k2a-ds4.D1"
"21","M.1.31","k2a-ds4.D2"
"22","M.1.32","k2a-ds4.D3"
"23","M.1.33","k2a-ds4.B1"
"24","M.1.34","k2a-ds4.B2"
"25","M.1.35","k2a-ds4.B3"
"26","M.1.36","k2a-ds2.B1"
"27","M.1.37","k2a-ds2.B2"
"28","M.1.38","k2a-ds2.B3"
"29","M.1.39","k2a-di6.B1"
"30","M.1.40","k2a-di6.B2"
"31","M.1.41","k2a-di6.B3"
"32","M.1.42","k2a-di5.D1"
"33","M.2.11","k2a-di5.D2"
"34","M.2.12","k2a-di5.B1"
"35","M.2.13","k2a-di5.B2"
"36","M.2.14","k2a-di5.B3"
"37","M.2.15","k2a-di5.B4"
