row,author,species,numInd,p/i,continent,country,state,city,lat,long,year,month,day,biosamp,sra,identifier
1, Barghi,Drosophila_simulans,1000,P,North_America,USA,Florida,Tallahassee,30.4383,-84.2807,2010,Nov,NA,SAMEA104069544,ERR1980726,Barghi:Tallahassee:Florida:North_America:Nov:NA:2010:Dsim_Fl_Base_1
2, Jackson,Drosophila_simulans,25,I,Africa,Kenya,NA,Nairobi,-1.2921,36.8219,2006,NA,NA,SAMEA3110339,ERR668305,Jackson:Nairobi:NA:Africa:NA:NA:2006:NS11
3, Jackson,Drosophila_simulans,25,I,Africa,Kenya,NA,Nairobi,-1.2921,36.8219,2006,NA,NA,SAMEA3110340,ERR668306,Jackson:Nairobi:NA:Africa:NA:NA:2006:NS19
4, Jackson,Drosophila_simulans,25,I,Africa,Kenya,NA,Nairobi,-1.2921,36.8219,2006,NA,NA,SAMEA3110341,ERR668307,Jackson:Nairobi:NA:Africa:NA:NA:2006:NS37
5, Jackson,Drosophila_simulans,25,I,Africa,Kenya,NA,Nairobi,-1.2921,36.8219,2006,NA,NA,SAMEA3110342,ERR668308,Jackson:Nairobi:NA:Africa:NA:NA:2006:NS49
6, Jackson,Drosophila_simulans,25,I,Africa,Kenya,NA,Nairobi,-1.2921,36.8219,2006,NA,NA,SAMEA3110343,ERR668309,Jackson:Nairobi:NA:Africa:NA:NA:2006:NS63
7, Jackson,Drosophila_simulans,25,I,Africa,Kenya,NA,Nairobi,-1.2921,36.8219,2006,NA,NA,SAMEA3110344,ERR668310,Jackson:Nairobi:NA:Africa:NA:NA:2006:NS64
8, Jackson,Drosophila_simulans,25,I,Africa,Kenya,NA,Nairobi,-1.2921,36.8219,2006,NA,NA,SAMEA3110345,ERR668311,Jackson:Nairobi:NA:Africa:NA:NA:2006:NS89
9, Jackson,Drosophila_simulans,25,I,Africa,Kenya,NA,Nairobi,-1.2921,36.8219,2006,NA,NA,SAMEA3110346,ERR668312,Jackson:Nairobi:NA:Africa:NA:NA:2006:NS95
10, Jackson,Drosophila_simulans,25,I,Africa,Kenya,NA,Nairobi,-1.2921,36.8219,2006,NA,NA,SAMEA3110347,ERR668313,Jackson:Nairobi:NA:Africa:NA:NA:2006:NS96
11, Jackson,Drosophila_simulans,25,I,Africa,Kenya,NA,Nairobi,-1.2921,36.8219,2006,NA,NA,SAMEA3110348,ERR668314,Jackson:Nairobi:NA:Africa:NA:NA:2006:NS111
12, Jackson,Drosophila_simulans,25,I,Africa,Kenya,NA,Nairobi,-1.2921,36.8219,2006,NA,NA,SAMEA3110349,ERR668315,Jackson:Nairobi:NA:Africa:NA:NA:2006:NS116
13, Jackson,Drosophila_simulans,25,I,Africa,Madagascar,NA,Joffreville,-12.4938,49.2056,2002,NA,NA,SAMEA3110350,ERR668316,Jackson:Joffreville:NA:Africa:NA:NA:2002:MD03
14, Jackson,Drosophila_simulans,25,I,Africa,Madagascar,NA,Joffreville,-12.4938,49.2056,2002,NA,NA,SAMEA3110351,ERR668317,Jackson:Joffreville:NA:Africa:NA:NA:2002:MD72
15, Jackson,Drosophila_simulans,25,I,Africa,Madagascar,NA,Joffreville,-12.4938,49.2056,2002,NA,NA,SAMEA3110352,ERR668318,Jackson:Joffreville:NA:Africa:NA:NA:2002:MD146
16, Jackson,Drosophila_simulans,25,I,Africa,Madagascar,NA,Joffreville,-12.4938,49.2056,2002,NA,NA,SAMEA3110353,ERR668319,Jackson:Joffreville:NA:Africa:NA:NA:2002:MD197
17, Jackson,Drosophila_simulans,25,I,Africa,Madagascar,NA,Joffreville,-12.4938,49.2056,2002,NA,NA,SAMEA3110354,ERR668320,Jackson:Joffreville:NA:Africa:NA:NA:2002:MD201
18, Jackson,Drosophila_simulans,25,I,Africa,Madagascar,NA,Joffreville,-12.4938,49.2056,2002,NA,NA,SAMEA3110355,ERR668321,Jackson:Joffreville:NA:Africa:NA:NA:2002:MD224
19, Jackson,Drosophila_simulans,25,I,Africa,Madagascar,NA,Joffreville,-12.4938,49.2056,2002,NA,NA,SAMEA3110356,ERR668322,Jackson:Joffreville:NA:Africa:NA:NA:2002:MD225a
20, Jackson,Drosophila_simulans,25,I,Africa,Madagascar,NA,Joffreville,-12.4938,49.2056,2002,NA,NA,SAMEA3110357,ERR668323,Jackson:Joffreville:NA:Africa:NA:NA:2002:ERS577585
