mod	var	chr	inv	cluster	prop.real	totalN	prop.perm.mu	prop.perm.lci	prop.perm.uci	prop.perm.med	prop.rr	prop.sd	rr	en	p	sig	modRank	label	year	start	end	model.name
8	humidity.ave	2L	Inside Inversion	1.Europe_W	0.00193661910728106	576262	0.000359211608608584	0.000200776730029049	0.00115725138912509	0.000359211608608584	2.43063435432986	0.523891128723179	5.39130434782609	4.39130434782609	1.74559708829003e-06	TRUE	69	J	1	15	45	humidity.ave_15_45
5	temp.max	2L	Inside Inversion	1.Europe_W	0.00165029101346263	576262	0.000327108155665305	0.00016640000555303	0.00272190427270929	0.000327108155665305	2.33488589291121	0.833752230386723	5.04509283819629	4.04509283819629	0.00255152833825309	FALSE	59	G	1	15	30	temp.max_15_30
8	temp.var	2L	Inside Inversion	1.Europe_W	0.00808139353280279	576262	0.00172664517181421	0.00100572309123281	0.00395311507612857	0.00172664517181421	2.22684305199706	0.474308505161729	4.68040201005025	3.68040201005025	1.33352013741756e-06	TRUE	86	J	1	15	45	temp.var_15_45
3	humidity.ave	2L	Inside Inversion	1.Europe_W	0.000315828564090639	576262	0.000107589950404504	4.49274809027838e-05	0.000319871863839712	0.000107589950404504	1.55359832981182	0.61436104323809	2.93548387096774	1.93548387096774	0.00572260495033875	FALSE	94	E	1	0	30	humidity.ave_0_30
10	humidity.ave	2L	Inside Inversion	1.Europe_W	0.0003314464601171	576262	0.00011800188108881	6.41721994509442e-05	0.000335038576203185	0.00011800188108881	1.48996598678541	0.527681664724901	2.80882352941176	1.80882352941176	0.00237432378240988	FALSE	89	L	1	0	60	humidity.ave_0_60
3	temp.max	2L	Inside Inversion	1.Europe_W	0.000487625420381701	576262	0.000190017734988599	0.00010398048110061	0.00121475995293807	0.000190017734988599	1.35965430107013	0.79403513249099	2.5662100456621	1.5662100456621	0.043417457398554	FALSE	103	E	1	0	30	temp.max_0_30
7	temp.max	2L	Inside Inversion	1.Europe_W	0.00181514658263082	576262	0.000727967487011116	0.00038838236774245	0.00258205469040124	0.000727967487011116	1.3181493586733	0.598077769297697	2.49344457687723	1.49344457687723	0.0137629978210656	FALSE	99	I	1	60	90	temp.max_60_90
5	humidity.ave	2L	Inside Inversion	1.Europe_W	0.000994339380351299	576262	0.000407800618468683	0.000273677598037004	0.00108533965453214	0.000407800618468683	1.28599194953915	0.463744002769318	2.43829787234043	1.43829787234043	0.00277655714802854	FALSE	79	G	1	15	30	humidity.ave_15_30
6	humidity.ave	2L	Inside Inversion	1.Europe_W	0.0013847867810128	576262	0.000593480049005487	0.000355168308859512	0.00199322530376808	0.000593480049005487	1.22241709080245	0.537494713547685	2.33333333333333	1.33333333333333	0.0114743764540386	FALSE	10	H	1	30	60	humidity.ave_30_60
5	temp.ave	2L	Inside Inversion	1.Europe_W	0.000241209727519774	576262	0.000109325272185221	5.02722719873946e-05	0.00034874761827086	0.000109325272185221	1.14166114922359	0.684423498420093	2.20634920634921	1.20634920634921	0.0476516634786112	FALSE	83	G	1	15	30	temp.ave_15_30
