sample,location,longitude,latitude,FASTQ_file,file_loc
21_36,birmingham_al,-86.8,33.51,SRR1820252_1.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_36/SRR1820252_1.fastq.gz
21_39,birmingham_al,-86.8,33.51,SRR1820253_1.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820253_1.fastq.gz
21_39,birmingham_al,-86.8,33.51,SRR1820254_1.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820254_1.fastq.gz
21_39,birmingham_al,-86.8,33.51,SRR1820255_1.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820255_1.fastq.gz
21_39,birmingham_al,-86.8,33.51,SRR1820256_1.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820256_1.fastq.gz
21_39,birmingham_al,-86.8,33.51,SRR1820257_1.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820257_1.fastq.gz
21_39,birmingham_al,-86.8,33.51,SRR1820258_1.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820258_1.fastq.gz
21_39,birmingham_al,-86.8,33.51,SRR1820259_1.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820259_1.fastq.gz
21_39,birmingham_al,-86.8,33.51,SRR1820260_1.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820260_1.fastq.gz
21_39,birmingham_al,-86.8,33.51,SRR1820261_1.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820261_1.fastq.gz
12BME10-209,bowdoin_me,-69.96,44,N704-N517_S1_L001_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N517_S1_L001_R1_001.fastq.gz
12BME10-209,bowdoin_me,-69.96,44,N704-N517_S1_L001_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N517_S1_L001_R2_001.fastq.gz
12BME10-209,bowdoin_me,-69.96,44,N704-N517_S1_L002_R1_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N517_S1_L002_R1_001.fastq.gz
12BME10-209,bowdoin_me,-69.96,44,N704-N517_S1_L002_R2_001.fastq.gz,/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N704-N517_S1_L002_R2_001.fastq.gz
