sampleId	country	city	collectionDate	lat	long	season	locality	type	continent	set	nFlies	SRA_accession	SRA_experiment	SeqPlatform	collector	sampleType	year	yday	stationId	dist_km	MeanEC	Month	In(2L)t	In(2R)Ns	In(3L)P	In(3R)C	In(3R)Mo	In(3R)Payne
VA_ch_16_m07d08	USA	Charlottesville	7/8/16	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	36	NA	NA	illumina novaseq	A._Bangerter	Wild	2016	188	USW00003759	0.475773345	33.0947934796581	7	0.309278350515464	0.0206661316211878	0.00419695247281454	0.0069533078461112	0	0.0459558823529412
VA_ch_16_m09d02	USA	Charlottesville	9/2/16	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	146	NA	NA	illumina novaseq	A._Bangerter	Wild	2016	244	USW00003759	0.475773345	67.940946964021	9	0.239583333333333	0	0	0.00540540540540541	0.00813286950895944	0.033459595959596
VA_ch_16_m09d16	USA	Charlottesville	9/16/16	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	113	NA	NA	illumina novaseq	A._Bangerter	Wild	2016	258	USW00003759	0.475773345	57.1914513789951	9	0.135135135135135	0.0207267689684569	0.00185528756957328	0.00524872698785742	0.00156494522691706	0.0254182754182754
VA_ch_16_m10d14	USA	Charlottesville	10/14/16	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	150	NA	NA	illumina novaseq	A._Bangerter	Wild	2016	286	USW00003759	0.475773345	60.8481570255329	10	0.132075471698113	0.00657894736842105	0	0.00891089108910891	0.00437609402350588	0.0524967989756722
VA_ch_16_m10d28	USA	Charlottesville	10/28/16	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	118	NA	NA	illumina novaseq	A._Bangerter	Wild	2016	300	USW00003759	0.475773345	114.187444052436	10	0.152046783625731	0.0147634813224475	0.00202020202020202	0.0031247993146539	0.00194931773879142	0.0250689135070474
VA_ch_16_m11d11	USA	Charlottesville	11/11/16	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	86	NA	NA	illumina novaseq	A._Bangerter	Wild	2016	314	USW00003759	0.475773345	89.0247858648297	11	0.133587786259542	0.002	0	0.00595549307649325	0.0029203692777152	0.0503971611205114
VA_ch_16_m12d03	USA	Charlottesville	12/3/16	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	70	NA	NA	illumina novaseq	A._Bangerter	Wild	2016	336	USW00003759	0.475773345	60.505066368204	12	0.183098591549296	0.00242718446601942	0.00142045454545455	0.00198675496688742	0.0116343351637469	0.0181234088980482
VA_ch_17_m06d22	USA	Charlottesville	6/22/17	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	39	NA	NA	illumina novaseq	A._Bangerter	Wild	2017	172	USW00003759	0.475773345	54.5325796013111	6	0.20059880239521	0.0198116221069139	0	0.00402746074565954	0.00444734173547733	0.0287523599748269
VA_ch_17_m07d07	USA	Charlottesville	7/7/17	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	45	NA	NA	illumina novaseq	A._Bangerter	Wild	2017	187	USW00003759	0.475773345	41.4665537299202	7	0.206185567010309	0.041984475369177	0	0.00241374786829332	0	0.0107159142726858
VA_ch_17_m07d20	USA	Charlottesville	7/20/17	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	69	NA	NA	illumina novaseq	A._Bangerter	Wild	2017	200	USW00003759	0.475773345	56.1815382906452	7	0.0933333333333333	0	0	0.00477624784853701	0.0311402190567761	0.0101268412438625
VA_ch_17_m08d17	USA	Charlottesville	8/17/17	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	32	NA	NA	illumina novaseq	A._Bangerter	Wild	2017	228	USW00003759	0.475773345	52.8313800736413	8	0.173441734417344	0.0493605760879011	0.00265988946360101	0.00350119991053564	0	0.0249166236891869
VA_ch_17_m08d31	USA	Charlottesville	8/31/17	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	87	NA	NA	illumina novaseq	A._Bangerter	Wild	2017	242	USW00003759	0.475773345	83.1689566443678	8	0.115740740740741	0.0131222943722944	0.00213903743315508	0.0038986013986014	0.0189530543805782	0.0172413793103448
VA_ch_17_m09d14	USA	Charlottesville	9/14/17	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	92	NA	NA	illumina novaseq	A._Bangerter	Wild	2017	256	USW00003759	0.475773345	56.1302708683248	9	0.245901639344262	0.0160751638465807	0	0.00672410192147034	0.0180260072125389	0.0255984502559845
VA_ch_17_m09d28	USA	Charlottesville	9/28/17	38	-78.47	NA	VA_ch	pooled	NorthAmerica	CvilleSet	136	NA	NA	illumina novaseq	A._Bangerter	Wild	2017	270	USW00003759	0.475773345	67.7935647597844	9	0.283018867924528	0.0105993023621109	0.00454545454545455	0	0.00977902321173135	0.0353942652329749
