GO id		FDR	Nobs	of_interest	GO term	Supercategory	Supracategory	Genes
GO:0042753	0.00002	0.000198393	4	1	positive regulation of circadian rhythm	Circadian Clock	At-Large	cg33304,cg10593,cg11324,cg13094
GO:0010841	0.00001	0.000102566	2	1	positive regulation of circadian sleep/wake cycle, wakefulness	Circadian Clock	Wakefulness	cg33304,cg13094
GO:0045187	0.00065	0.004212454	4	1	regulation of circadian sleep/wake cycle, sleep	Circadian Clock	Sleep	cg3234,cg10593,cg11324,cg4379
GO:0010840	0.00001	0.000102566	2	1	regulation of circadian sleep/wake cycle, wakefulness	Circadian Clock	Wakefulness	cg33304,cg13094
GO:0030431	0.00097	0.005887122	18	1	sleep	Circadian Clock	Sleep	cg5973,cg4180,cg42281,cg33304,cg10679,cg2822,cg4501,cg4500,cg15433,cg11050,cg3234,cg10593,cg11822,cg4427,cg18362,cg4709,cg4715,cg3022
GO:0010378	0.00024	0.001848325	2	1	temperature compensation of the circadian clock	Circadian Clock	Temperature	cg33955,cg15627
GO:0048589	0.00001	0.000102566	34	1	developmental growth	Growth	At-Large	cg9075,cg3762,cg4636,cg11199,cg16857,cg11181,cg13772,cg3352,cg42281,cg12437,cg9885,cg5092,cg3664,cg15433,cg15444,cg4579,cg1099,cg7100,cg10123,cg5371,cg9326,cg14026,cg14472,cg13109,cg4379,cg10443,cg13968,cg3935,cg33526,cg42829,cg5680,cg16975,cg5686,cg31641
GO:0040007	0.00001	0.000102566	37	1	growth	Growth	At-Large	cg9075,cg3762,cg4636,cg11199,cg16857,cg11181,cg13772,cg3352,cg42281,cg12437,cg9885,cg10697,cg10652,cg5092,cg3664,cg15433,cg15444,cg4579,cg1099,cg7100,cg10123,cg5371,cg4033,cg9326,cg14026,cg14472,cg13109,cg4379,cg10443,cg13968,cg3935,cg33526,cg42829,cg5680,cg16975,cg5686,cg31641
GO:0043231	0.00002	0.000198393	453	1	intracellular membrane-bounded organelle	Mitochondria	Organelle	cg9088,cg4621,cg4629,cg9078,cg9075,cg17301,cg17302,cg3766,cg4644,cg9092,cg17329,cg17328,cg4636,cg17320,cg3736,cg13387,cg13391,cg4600,cg3753,cg3752,cg4602,cg18619,cg5924,cg6405,cg4220,cg16840,cg3365,cg4212,cg4215,cg4214,cg9934,cg4233,cg6415,cg11181,cg6412,cg11188,cg10268,cg13778,cg13775,cg3338,cg10262,cg16812,cg2478,cg3326,cg5041,cg8552,cg9883,cg5034,cg5037,cg9870,cg4185,cg4184,cg9866,cg42281,cg6388,cg7235,cg7236,cg5052,cg9894,cg5045,cg7224,cg9887,cg33304,cg4152,cg4148,cg17294,cg18144,cg10679,cg4132,cg6794,cg3289,cg10203,cg5020,cg4170,cg7664,cg4158,cg10692,cg32463,cg10691,cg9481,cg17257,cg2848,cg10631,cg10639,cg2830,cg18591,cg18124,cg9019,cg10653,cg2851,cg2855,cg2859,cg7263,cg17219,cg11924,cg17221,cg10604,cg10603,cg10600,cg2819,cg5091,cg7277,cg5092,cg10619,cg7269,cg5838,cg31957,cg31956,cg5828,cg3647,cg31989,cg3675,cg3662,cg4993,cg3664,cg5846,cg17610,cg17612,cg2762,cg15436,cg15435,cg15433,cg31917,cg34183,cg4930,cg13263,cg13271,cg13270,cg4968,cg13279,cg4965,cg2788,cg5813,cg16784,cg3639,cg11098,cg2774,cg4952,cg4957,cg5803,cg3262,cg4592,cg3254,cg4584,cg4105,cg16738,cg3242,cg3248,cg4579,cg6750,cg1099,cg5458,cg5446,cg4594,cg5442,cg4598,cg12399,cg12396,cg12393,cg5876,cg6713,cg3688,cg5869,cg6716,cg11015,cg4567,cg3234,cg34132,cg3238,cg10178,cg3227,cg7578,cg14941,cg5395,cg4063,cg7115,cg10123,cg7111,cg4079,cg6258,cg5362,cg5363,cg3178,cg5353,cg18024,cg5352,cg3166,cg5343,cg8853,cg33650,cg6230,cg5384,cg7562,cg8885,cg8409,cg14938,cg5366,cg5367,cg17137,cg11840,cg7171,cg1864,cg17161,cg18013,cg31884,cg10947,cg10949,cg9319,cg9314,cg15390,cg7138,cg31874,cg31875,cg9310,cg7134,cg9302,cg8455,cg17597,cg17593,cg43860,cg9328,cg9324,cg31842,cg14029,cg14028,cg14026,cg15356,cg3539,cg4851,cg5705,cg4881,cg5734,cg14040,cg14043,cg17568,cg12287,cg12299,cg13142,cg17996,cg14001,cg31811,cg9296,cg5313,cg8825,cg6647,cg17932,cg12245,cg11397,cg3139,cg13109,cg5790,cg6634,cg8817,cg18806,cg4494,cg8844,cg6667,cg5336,cg7516,cg5337,cg8843,cg3157,cg8849,cg10084,cg3151,cg5325,cg33196,cg13123,cg12205,cg6601,cg4422,cg10021,cg4427,cg6604,cg6605,cg10034,cg17912,cg6627,cg17928,cg6618,cg11328,cg11324,cg6122,cg5271,cg6116,cg11322,cg34421,cg7480,cg9660,cg13994,cg10481,cg33122,cg34440,cg33113,cg4385,cg4389,cg8749,cg7885,cg10431,cg5229,cg18398,cg10449,cg13969,cg6582,cg7428,cg3069,cg12630,cg7061,cg9241,cg17018,cg3938,cg1759,cg17010,cg11723,cg33526,cg9267,cg7085,cg42448,cg18362,cg10895,cg7074,cg9252,cg9247,cg10890,cg31762,cg6167,cg18780,cg31753,cg15283,cg18317,cg9222,cg31776,cg9207,cg31729,cg10800,cg6944,cg3433,cg4764,cg31731,cg4758,cg5604,cg9159,cg3851,cg4701,cg3858,cg42830,cg45074,cg9175,cg4713,cg15636,cg5680,cg5682,cg3497,cg15634,cg15632,cg3018,cg5671,cg3491,cg7840,cg16975,cg3008,cg11289,cg5216,cg6549,cg7870,cg5204,cg5686,cg11236,cg4785,cg7818,cg10387,cg10399,cg4775,cg34345,cg5655,cg3473,cg15626,cg16957,cg4799,cg5640,cg16954,cg11266,cg5648,cg8669,cg8668,cg5155,cg8667,cg9994,cg10354,cg11201,cg10366,cg5181,cg7361,cg5182,cg5183,cg9539,cg9536,cg33002,cg2903,cg10360,cg10377,cg8683,cg9531,cg8680,cg9527,cg9528,cg8676,cg10376,cg4272,cg9958,cg5118,cg6443,cg5105,cg42366,cg6464,cg7311,cg10334,cg10336,cg12512,cg42373,cg43227,cg9962,cg5125,cg6098,cg6093,cg6094,cg2960,cg31682,cg10757,cg31679,cg31671,cg3838,cg8282,cg9131,cg31694,cg15150,cg17331,cg9554,cg5198,cg5193,cg7371,cg9547,cg15168,cg2914,cg31666,cg9100,cg10726,cg15173,cg31651,cg2939,cg9573,cg7392,cg31650
GO:0043229	0.00001	0.000102566	531	1	intracellular organelle	Mitochondria	Organelle	cg31605,cg9088,cg4621,cg4629,cg9078,cg9075,cg17301,cg17302,cg3766,cg4644,cg9092,cg17329,cg17328,cg4636,cg17320,cg3736,cg13389,cg13387,cg13391,cg4600,cg3753,cg3752,cg4602,cg18619,cg17768,cg5924,cg6405,cg4220,cg16840,cg3365,cg4212,cg4215,cg4214,cg9934,cg4233,cg6415,cg11181,cg6412,cg11188,cg10268,cg13778,cg10263,cg13775,cg3338,cg10262,cg16812,cg4651,cg2478,cg3326,cg5041,cg8552,cg9883,cg5034,cg5037,cg9870,cg4185,cg4184,cg9866,cg42281,cg6392,cg6388,cg7235,cg7236,cg5052,cg9894,cg5045,cg7224,cg9887,cg33304,cg4152,cg4148,cg17294,cg17295,cg18144,cg10679,cg4132,cg6794,cg3289,cg10206,cg10203,cg5020,cg4170,cg5022,cg7664,cg4158,cg10692,cg32463,cg10691,cg9481,cg17257,cg18109,cg2848,cg10631,cg10639,cg2830,cg18591,cg18124,cg2863,cg9019,cg10653,cg10652,cg9493,cg2851,cg2855,cg2859,cg7263,cg17219,cg11924,cg17221,cg10602,cg10604,cg10603,cg10600,cg2819,cg5091,cg7277,cg5092,cg10619,cg7269,cg1962,cg17652,cg5838,cg31957,cg31956,cg15481,cg5827,cg5828,cg3647,cg5825,cg31989,cg3675,cg3662,cg4993,cg3664,cg5846,cg17610,cg17612,cg2762,cg15436,cg15435,cg15433,cg31917,cg34183,cg4930,cg13263,cg13271,cg13270,cg4968,cg13279,cg4965,cg2788,cg5813,cg16784,cg3639,cg11098,cg17642,cg2774,cg4952,cg4957,cg5803,cg3262,cg4592,cg3254,cg4584,cg4105,cg11030,cg16738,cg3242,cg3241,cg3248,cg4579,cg6750,cg5427,cg15415,cg1099,cg5458,cg5446,cg4594,cg5442,cg4598,cg4114,cg12399,cg12396,cg12393,cg5876,cg8902,cg6712,cg6713,cg3688,cg4539,cg5869,cg6716,cg11015,cg4567,cg3234,cg34132,cg3238,cg10178,cg3227,cg14946,cg7578,cg14941,cg5395,cg4063,cg7115,cg10123,cg7111,cg4087,cg4079,cg6258,cg5362,cg5363,cg3178,cg5353,cg18024,cg5352,cg3166,cg5343,cg8853,cg33650,cg6230,cg5384,cg7562,cg8885,cg8409,cg14938,cg5366,cg5367,cg17137,cg4901,cg11840,cg7171,cg1864,cg17161,cg4916,cg18013,cg31884,cg10947,cg10949,cg9319,cg9314,cg15390,cg7138,cg31874,cg31875,cg9310,cg7134,cg9302,cg8455,cg17597,cg17593,cg43860,cg9328,cg9324,cg31842,cg14029,cg14028,cg14025,cg14026,cg15356,cg3539,cg14030,cg4851,cg5705,cg31860,cg4881,cg5734,cg14040,cg14043,cg17568,cg9282,cg31802,cg12287,cg3966,cg12299,cg14472,cg2637,cg13142,cg17996,cg3994,cg14001,cg31811,cg9296,cg5313,cg8825,cg6647,cg17932,cg12245,cg11397,cg3139,cg13109,cg5790,cg6634,cg8817,cg18806,cg4494,cg8844,cg6667,cg5336,cg7516,cg5337,cg8843,cg3157,cg8849,cg10084,cg3151,cg5325,cg33196,cg13123,cg12205,cg6601,cg4422,cg10021,cg4427,cg6604,cg6605,cg3561,cg4897,cg10034,cg17912,cg6620,cg6627,cg17928,cg6618,cg5277,cg11328,cg11324,cg11323,cg6122,cg5271,cg6116,cg11322,cg34421,cg7480,cg9660,cg13994,cg10481,cg33122,cg6141,cg6137,cg34440,cg33113,cg4385,cg4389,cg8749,cg7885,cg10431,cg5229,cg18398,cg10449,cg13969,cg6582,cg7428,cg7424,cg3069,cg12630,cg9246,cg7061,cg9242,cg9241,cg17018,cg3938,cg1759,cg17493,cg17010,cg11723,cg31794,cg33979,cg10874,cg7082,cg33526,cg9265,cg9267,cg7085,cg42448,cg18362,cg10895,cg9253,cg7074,cg9252,cg9247,cg10890,cg31762,cg6176,cg6167,cg18780,cg31753,cg15283,cg18317,cg9222,cg31776,cg6181,cg9207,cg17489,cg31729,cg10800,cg6944,cg3433,cg4764,cg31731,cg4758,cg5604,cg9159,cg3851,cg4701,cg3858,cg42830,cg45074,cg4722,cg9175,cg4713,cg15636,cg5680,cg5682,cg3497,cg15634,cg15632,cg3018,cg5671,cg3491,cg7840,cg16975,cg3008,cg11289,cg4364,cg5216,cg6549,cg7870,cg5204,cg5686,cg11236,cg4785,cg10385,cg7818,cg10387,cg10399,cg4775,cg34345,cg5655,cg3473,cg15629,cg15626,cg16957,cg4799,cg5640,cg16954,cg11266,cg5648,cg8669,cg7337,cg8668,cg5155,cg8667,cg9994,cg10354,cg11201,cg10366,cg5181,cg7361,cg5182,cg5183,cg9539,cg9536,cg33002,cg2903,cg10360,cg10377,cg8683,cg9531,cg8680,cg9527,cg9528,cg8676,cg13400,cg10376,cg10305,cg4274,cg4272,cg9958,cg5118,cg6443,cg5105,cg4258,cg42366,cg6464,cg7311,cg10334,cg10333,cg10336,cg12512,cg42373,cg43227,cg9962,cg5125,cg6098,cg6093,cg6094,cg2960,cg31682,cg10757,cg31679,cg9595,cg31671,cg2986,cg3838,cg8282,cg9131,cg31694,cg15150,cg17331,cg9554,cg5198,cg9553,cg5193,cg7371,cg15161,cg9547,cg15168,cg2914,cg31666,cg9100,cg10726,cg10728,cg15173,cg42768,cg31651,cg2939,cg31658,cg9573,cg7392,cg31650
