sampleId	country	city	locality	collectionDate	nFlies	SRA_accession	Seq_strategy	sample_type	PCA.set	FST.set	GLM.set	IND.set	Source_Data	Notes
VA_ch_16_m06d24	USA	Charlottesville	VA_ch	6/24/16	37	SRR14475045	pooled	G1 males	FALSE	FALSE	TRUE	FALSE	This Study	peaches
VA_ch_16_m07d08	USA	Charlottesville	VA_ch	7/8/16	36	SRR14475044	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	peaches
VA_ch_16_m07d22	USA	Charlottesville	VA_ch	7/22/16	22	SRR14475033	pooled	G1 males	FALSE	FALSE	TRUE	FALSE	This Study	peaches
VA_ch_16_m08d19	USA	Charlottesville	VA_ch	8/19/16	23	SRR14475022	pooled	G1 males	FALSE	FALSE	TRUE	FALSE	This Study	peaches
VA_ch_16_m09d02	USA	Charlottesville	VA_ch	9/2/16	146	SRR14475014	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	peaches and apples
VA_ch_16_m09d16	USA	Charlottesville	VA_ch	9/16/16	113	SRR14475013	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_16_m10d03	USA	Charlottesville	VA_ch	10/3/16	40	SRR14475012	pooled	G1 males	FALSE	FALSE	TRUE	FALSE	This Study	apples
VA_ch_16_m10d14	USA	Charlottesville	VA_ch	10/14/16	150	SRR14475011	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_16_m10d28	USA	Charlottesville	VA_ch	10/28/16	118	SRR14475010	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_16_m11d11	USA	Charlottesville	VA_ch	11/11/16	86	SRR14475009	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_16_m12d03	USA	Charlottesville	VA_ch	12/3/16	70	SRR14475043	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_17_m06d22	USA	Charlottesville	VA_ch	6/22/17	39	SRR14475042	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	peaches
VA_ch_17_m07d07	USA	Charlottesville	VA_ch	7/7/17	45	SRR14475041	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	peaches
VA_ch_17_m07d20	USA	Charlottesville	VA_ch	7/20/17	69	SRR14475040	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	peaches
VA_ch_17_m08d03	USA	Charlottesville	VA_ch	8/3/17	29	SRR14475039	pooled	G1 males	FALSE	FALSE	TRUE	FALSE	This Study	peaches and apples
VA_ch_17_m08d17	USA	Charlottesville	VA_ch	8/17/17	32	SRR14475038	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	peaches and apples
VA_ch_17_m08d31	USA	Charlottesville	VA_ch	8/31/17	87	SRR14475037	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	peaches and apples
VA_ch_17_m09d14	USA	Charlottesville	VA_ch	9/14/17	92	SRR14475036	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_17_m09d28	USA	Charlottesville	VA_ch	9/28/17	136	SRR14475035	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_17_m10d12	USA	Charlottesville	VA_ch	10/12/17	107	SRR14475034	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_17_m10d26	USA	Charlottesville	VA_ch	10/26/17	120	SRR14475032	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_17_m11d09	USA	Charlottesville	VA_ch	11/9/17	122	SRR14475031 	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_17_m11d24	USA	Charlottesville	VA_ch	11/24/17	21	SRR14475030	pooled	G1 males	FALSE	FALSE	TRUE	FALSE	This Study	apples
VA_ch_17_m12d07	USA	Charlottesville	VA_ch	12/7/17	24	SRR14475029	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_18_m06d28	USA	Charlottesville	VA_ch	6/28/18	10	SRR14475028	pooled	G1 males	FALSE	FALSE	TRUE	FALSE	This Study	peaches
VA_ch_18_m07d05	USA	Charlottesville	VA_ch	7/5/18	26	SRR14475027	pooled	G1 males	FALSE	FALSE	TRUE	FALSE	This Study	peaches
VA_ch_18_m07d12	USA	Charlottesville	VA_ch	7/12/18	58	SRR14475026	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	peaches
VA_ch_18_m07d26	USA	Charlottesville	VA_ch	7/26/18	70	SRR14475025	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	peaches
VA_ch_18_m08d09	USA	Charlottesville	VA_ch	8/9/18	84	SRR14475024	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	peaches
VA_ch_18_m08d23	USA	Charlottesville	VA_ch	8/23/18	69	SRR14475023	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	peaches and apples
VA_ch_18_m09d06	USA	Charlottesville	VA_ch	9/6/18	60	SRR14475021	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	peaches and apples
VA_ch_18_m09d20	USA	Charlottesville	VA_ch	9/20/18	77	SRR14475020	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_18_m10d04	USA	Charlottesville	VA_ch	10/4/18	108	SRR14475019	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_18_m10d18	USA	Charlottesville	VA_ch	10/18/18	136	SRR14475018	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_18_m10d25	USA	Charlottesville	VA_ch	10/25/18	122	SRR14475017	pooled	G1 males	TRUE	TRUE	TRUE	FALSE	This Study	apples
VA_ch_18_m11d01	USA	Charlottesville	VA_ch	11/1/18	103	SRR14475016	pooled	G1 males	TRUE	FALSE	TRUE	FALSE	This Study	apples
VA_ch_18_m11d29	USA	Charlottesville	VA_ch	11/29/18	16	SRR14475015	pooled	G1 males	FALSE	FALSE	TRUE	FALSE	This Study	apples
AT_Mau_14_01	Austria	Mauternbach	AT_Mau	7/20/14	40	SRR5647751	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
AT_Mau_14_02	Austria	Mauternbach	AT_Mau	10/19/14	40	SRR5647750	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
AT_Mau_15_50	Austria	Mauternbach	AT_Mau	7/20/15	40	SRR8439127	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
AT_Mau_15_51	Austria	Mauternbach	AT_Mau	10/19/15	40	SRR8439143	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
AT_See_14_44	Austria	Seeboden	AT_See	8/17/14	40	SRR5647746	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
AT_See_16_1	Austria	Seeboden	AT_See	8/1/16	40	SRR8494439	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
BY_Bre_15_13	Belarus	Brest	BY_Bre	9/11/15	40	SRR8439157	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
CH_Cha_14_42	Switzerland	Chalet_Gobet	CH_Cha	7/24/14	40	SRR5647754	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
CH_Cha_14_43	Switzerland	Chalet_Gobet	CH_Cha	10/5/14	40	SRR5647758	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
CH_Cha_15_39	Switzerland	Chalet_Gobet	CH_Cha	8/1/15	40	SRR8439166	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
CH_Cha_16_38	Switzerland	Chalet_Gobet	CH_Cha	8/15/16	40	SRR8494459	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
CY_Nic_14_11	Cyprus	Nicosia	CY_Nic	8/10/14	40	SRR5647756	pooled	wild_caught_and_G1	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
DE_Bro_14_14	Germany	Broggingen	DE_Bro	6/26/14	40	SRR5647762	pooled	wild	TRUE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
DE_Bro_14_15	Germany	Broggingen	DE_Bro	10/15/14	40	SRR5647761	pooled	wild	TRUE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
DE_Bro_15_53	Germany	Broggingen	DE_Bro	6/30/15	40	SRR8439148	pooled	wild	TRUE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
DE_Bro_15_54	Germany	Broggingen	DE_Bro	10/25/15	40	SRR8439144	pooled	wild	TRUE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
