Run	Collection_Date	Sample.Name	sex
SRR14481537	12/3/16	CM_012_1203	male
SRR14481538	8/19/16	CM_005_0819	male
SRR14481539	10/3/16	CM_033_1003	male
SRR14481540	9/2/16	CM_033_0902	male
SRR14481541	8/19/16	CM_033_0819	male
SRR14481542	7/8/16	CM_033_0708	male
SRR14481543	6/24/16	CM_033_0624	male
SRR14481544	12/3/16	CM_032_1203	male
SRR14481545	9/16/16	CM_032_0916	male
SRR14481546	8/19/16	CM_032_0819	male
SRR14481547	6/24/16	CM_032_0624	male
SRR14481549	7/22/16	CM_005_0722	male
SRR14481550	8/19/16	CM_031_0819	male
SRR14481551	7/8/16	CM_031_0708	male
SRR14481552	6/24/16	CM_031_0624	male
SRR14481553	9/16/16	CM_030_0916	male
SRR14481554	7/8/16	CM_030_0708	male
SRR14481555	6/24/16	CM_030_0624	male
SRR14481556	10/3/16	CM_029_1003	male
SRR14481557	8/19/16	CM_029_0819	male
SRR14481558	6/24/16	CM_029_0624	male
SRR14481559	11/11/16	CM_004_1111	male
SRR14481560	8/19/16	CM_001_0819	male
SRR14481562	9/16/16	CM_028_0916	male
SRR14481563	7/22/16	CM_030_0722	male
SRR14481564	8/19/16	CM_028_0819	male
SRR14481566	6/24/16	CM_028_0624	male
SRR14481567	12/3/16	CM_027_1203	male
SRR14481568	7/22/16	CM_027_0722	male
SRR14481569	12/3/16	CM_026_1203	male
SRR14481570	10/14/16	CM_026_1014	male
SRR14481571	9/2/16	CM_026_0902	male
SRR14481574	12/3/16	CM_025_1203	male
SRR14481575	10/3/16	CM_025_1003	male
SRR14481576	7/22/16	CM_025_0722	male
SRR14481577	7/8/16	CM_025_0708	male
SRR14481578	6/24/16	CM_025_0624	male
SRR14481579	11/11/16	CM_024_1111	male
SRR14481580	10/28/16	CM_024_1028	male
SRR14481581	10/14/16	CM_024_1014	male
SRR14481583	8/19/16	CM_024_0819	male
SRR14481584	10/3/16	CM_004_1003	male
SRR14481587	7/8/16	CM_023_0708	male
SRR14481588	7/22/16	CM_022_0722	male
SRR14481589	6/24/16	CM_022_0624	male
SRR14481590	10/3/16	CM_021_1003	male
SRR14481591	7/22/16	CM_021_0722	male
SRR14481592	6/24/16	CM_021_0624	male
SRR14481593	7/22/16	CM_020_0722	male
SRR14481594	6/24/16	CM_020_0624	male
SRR14481595	8/19/16	CM_004_0819	male
SRR14481596	10/3/16	CM_019_1003	male
SRR14481598	7/8/16	CM_019_0708	male
SRR14481599	6/24/16	CM_019_0624	male
SRR14481600	10/3/16	CM_018_1003	male
SRR14481601	9/2/16	CM_018_0902	male
SRR14481602	7/22/16	CM_018_0722	male
SRR14481603	7/8/16	CM_018_0708	male
SRR14481604	6/24/16	CM_018_0624	male
SRR14481605	12/3/16	CM_017_1203	male
SRR14481606	7/22/16	CM_004_0722	male
SRR14481607	10/28/16	CM_017_1028	male
SRR14481608	8/19/16	CM_017_0819	male
SRR14481609	7/8/16	CM_017_0708	male
SRR14481610	6/24/16	CM_017_0624	male
SRR14481613	10/28/16	CM_015_1028	male
SRR14481615	8/19/16	CM_015_0819	male
SRR14481616	7/8/16	CM_015_0708	male
SRR14481617	8/19/16	CM_003_0819	male
SRR14481618	6/24/16	CM_015_0624	male
SRR14481619	10/3/16	CM_014_1003	male
SRR14481621	7/8/16	CM_014_0708	male
SRR14481622	6/24/16	CM_014_0624	male
SRR14481623	12/3/16	CM_013_1203	male
SRR14481624	7/22/16	CM_013_0722	male
SRR14481625	7/8/16	CM_013_0708	male
SRR14481626	12/3/16	CM_034_1203	male
SRR14481627	9/2/16	CM_079_0902	male
SRR14481628	10/28/16	CM_078_1028	male
SRR14481630	10/14/16	CM_077_1014	male
SRR14481632	9/2/16	CM_077_0902	male
SRR14481633	11/11/16	CM_076_1111	male
SRR14481635	10/3/16	CM_076_1003	male
SRR14481636	11/11/16	CM_075_1111	male
SRR14481638	12/3/16	CM_074_1203	male
SRR14481639	12/3/16	CM_073_1203	male
SRR14481640	10/3/16	CM_073_1003	male
SRR14481641	9/2/16	CM_073_0902	male
SRR14481642	10/28/16	CM_072_1028	male
SRR14481643	9/2/16	CM_072_0902	male
SRR14481644	11/11/16	CM_071_1111	male
SRR14481645	9/16/16	CM_071_0916	male
SRR14481646	10/3/16	CM_070_1003	male
SRR14481647	9/2/16	CM_070_0902	male
SRR14481648	7/22/16	CM_006_0722	male
SRR14481649	11/11/16	CM_068_1111	male
SRR14481650	10/3/16	CM_068_1003	male
SRR14481651	9/2/16	CM_067_0902	male
SRR14481652	10/3/16	CM_066_1003	male
SRR14481653	9/2/16	CM_066_0902	male
SRR14481654	12/3/16	CM_065_1203	male
SRR14481655	10/3/16	CM_064_1003	male
SRR14481656	10/3/16	CM_062_1003	male
SRR14481657	12/3/16	CM_061_1203	male
SRR14481658	10/3/16	CM_061_1003	male
SRR14481659	7/8/16	CM_006_0708	male
SRR14481660	10/28/16	CM_060_1028	male
SRR14481661	10/3/16	CM_060_1003	male
SRR14481662	10/3/16	CM_058_1003	male
SRR14481663	9/16/16	CM_058_0916	male
