sampleId	pop	well	etc	read1	read2	address1	address2
OW1_F10_CMspring	OW1	F10	CMspring	OW1_F10_CKDL200161681-1a-AK27974-AK17373_HK3KHDSXY_L2_1.fq.gz	OW1_F10_CKDL200161681-1a-AK27974-AK17373_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F10/OW1_F10_CKDL200161681-1a-AK27974-AK17373_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F10/OW1_F10_CKDL200161681-1a-AK27974-AK17373_HK3KHDSXY_L2_2.fq.gz
OW1_F11_CMspring	OW1	F11	CMspring	OW1_F11_CKDL200161681-1a-AK3150-AK17373_HK3KHDSXY_L2_1.fq.gz	OW1_F11_CKDL200161681-1a-AK3150-AK17373_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F11/OW1_F11_CKDL200161681-1a-AK3150-AK17373_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F11/OW1_F11_CKDL200161681-1a-AK3150-AK17373_HK3KHDSXY_L2_2.fq.gz
OW1_F12_CMspring	OW1	F12	CMspring	OW1_F12_CKDL200161681-1a-AK12787-AK17373_HK3KHDSXY_L2_1.fq.gz	OW1_F12_CKDL200161681-1a-AK12787-AK17373_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F12/OW1_F12_CKDL200161681-1a-AK12787-AK17373_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F12/OW1_F12_CKDL200161681-1a-AK12787-AK17373_HK3KHDSXY_L2_2.fq.gz
OW1_F1_CMspring	OW1	F1	CMspring	OW1_F1_CKDL200161681-1a-AK3141-AK17373_HK3KHDSXY_L2_1.fq.gz	OW1_F1_CKDL200161681-1a-AK3141-AK17373_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F1/OW1_F1_CKDL200161681-1a-AK3141-AK17373_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F1/OW1_F1_CKDL200161681-1a-AK3141-AK17373_HK3KHDSXY_L2_2.fq.gz
OW1_F2_CMspring	OW1	F2	CMspring	OW1_F2_CKDL200161681-1a-AK3153-AK17373_HK3KHDSXY_L2_1.fq.gz	OW1_F2_CKDL200161681-1a-AK3153-AK17373_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F2/OW1_F2_CKDL200161681-1a-AK3153-AK17373_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F2/OW1_F2_CKDL200161681-1a-AK3153-AK17373_HK3KHDSXY_L2_2.fq.gz
OW1_F3_CMspring	OW1	F3	CMspring	OW1_F3_CKDL200161681-1a-7UDI1239-AK17373_HK3KHDSXY_L2_1.fq.gz	OW1_F3_CKDL200161681-1a-7UDI1239-AK17373_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F3/OW1_F3_CKDL200161681-1a-7UDI1239-AK17373_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F3/OW1_F3_CKDL200161681-1a-7UDI1239-AK17373_HK3KHDSXY_L2_2.fq.gz
OW1_F4_CMspring	OW1	F4	CMspring	OW1_F4_CKDL200161681-1a-AK3743-AK17373_HK3KHDSXY_L2_1.fq.gz	OW1_F4_CKDL200161681-1a-AK3743-AK17373_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F4/OW1_F4_CKDL200161681-1a-AK3743-AK17373_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F4/OW1_F4_CKDL200161681-1a-AK3743-AK17373_HK3KHDSXY_L2_2.fq.gz
OW1_F5_CMspring	OW1	F5	CMspring	OW1_F5_CKDL200161681-1a-AK4913-AK17373_HK3KHDSXY_L2_1.fq.gz	OW1_F5_CKDL200161681-1a-AK4913-AK17373_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F5/OW1_F5_CKDL200161681-1a-AK4913-AK17373_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F5/OW1_F5_CKDL200161681-1a-AK4913-AK17373_HK3KHDSXY_L2_2.fq.gz
OW1_F6_CMspring	OW1	F6	CMspring	OW1_F6_CKDL200161681-1a-AK23195-AK17373_HK3KHDSXY_L2_1.fq.gz	OW1_F6_CKDL200161681-1a-AK23195-AK17373_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F6/OW1_F6_CKDL200161681-1a-AK23195-AK17373_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F6/OW1_F6_CKDL200161681-1a-AK23195-AK17373_HK3KHDSXY_L2_2.fq.gz
OW1_F7_CMspring	OW1	F7	CMspring	OW1_F7_CKDL200161681-1a-AK27975-AK17373_HK3KHDSXY_L2_1.fq.gz	OW1_F7_CKDL200161681-1a-AK27975-AK17373_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F7/OW1_F7_CKDL200161681-1a-AK27975-AK17373_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F7/OW1_F7_CKDL200161681-1a-AK27975-AK17373_HK3KHDSXY_L2_2.fq.gz
OW1_F8_CMspring	OW1	F8	CMspring	OW1_F8_CKDL200161681-1a-AK27976-AK17373_HK3KHDSXY_L2_1.fq.gz	OW1_F8_CKDL200161681-1a-AK27976-AK17373_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F8/OW1_F8_CKDL200161681-1a-AK27976-AK17373_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F8/OW1_F8_CKDL200161681-1a-AK27976-AK17373_HK3KHDSXY_L2_2.fq.gz
OW1_F9_CMspring	OW1	F9	CMspring	OW1_F9_CKDL200161681-1a-AK22540-AK17373_HK3KHDSXY_L2_1.fq.gz	OW1_F9_CKDL200161681-1a-AK22540-AK17373_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F9/OW1_F9_CKDL200161681-1a-AK22540-AK17373_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_F9/OW1_F9_CKDL200161681-1a-AK22540-AK17373_HK3KHDSXY_L2_2.fq.gz
OW1_G10_CMspring	OW1	G10	CMspring	OW1_G10_CKDL200161681-1a-AK27974-AK24717_HK3KHDSXY_L2_1.fq.gz	OW1_G10_CKDL200161681-1a-AK27974-AK24717_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G10/OW1_G10_CKDL200161681-1a-AK27974-AK24717_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G10/OW1_G10_CKDL200161681-1a-AK27974-AK24717_HK3KHDSXY_L2_2.fq.gz
OW1_G11_CMspring	OW1	G11	CMspring	OW1_G11_CKDL200161681-1a-AK3150-AK24717_HK3KHDSXY_L2_1.fq.gz	OW1_G11_CKDL200161681-1a-AK3150-AK24717_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G11/OW1_G11_CKDL200161681-1a-AK3150-AK24717_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G11/OW1_G11_CKDL200161681-1a-AK3150-AK24717_HK3KHDSXY_L2_2.fq.gz
OW1_G12_CMspring	OW1	G12	CMspring	OW1_G12_CKDL200161681-1a-AK12787-AK24717_HK3KHDSXY_L2_1.fq.gz	OW1_G12_CKDL200161681-1a-AK12787-AK24717_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G12/OW1_G12_CKDL200161681-1a-AK12787-AK24717_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G12/OW1_G12_CKDL200161681-1a-AK12787-AK24717_HK3KHDSXY_L2_2.fq.gz
OW1_G1_CMspring	OW1	G1	CMspring	OW1_G1_CKDL200161681-1a-AK3141-AK24717_HK3KHDSXY_L2_1.fq.gz	OW1_G1_CKDL200161681-1a-AK3141-AK24717_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G1/OW1_G1_CKDL200161681-1a-AK3141-AK24717_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G1/OW1_G1_CKDL200161681-1a-AK3141-AK24717_HK3KHDSXY_L2_2.fq.gz
OW1_G2_CMspring	OW1	G2	CMspring	OW1_G2_CKDL200161681-1a-AK3153-AK24717_HK3KHDSXY_L2_1.fq.gz	OW1_G2_CKDL200161681-1a-AK3153-AK24717_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G2/OW1_G2_CKDL200161681-1a-AK3153-AK24717_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G2/OW1_G2_CKDL200161681-1a-AK3153-AK24717_HK3KHDSXY_L2_2.fq.gz
OW1_G3_CMspring	OW1	G3	CMspring	OW1_G3_CKDL200161681-1a-7UDI1239-AK24717_HK3KHDSXY_L2_1.fq.gz	OW1_G3_CKDL200161681-1a-7UDI1239-AK24717_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G3/OW1_G3_CKDL200161681-1a-7UDI1239-AK24717_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G3/OW1_G3_CKDL200161681-1a-7UDI1239-AK24717_HK3KHDSXY_L2_2.fq.gz
OW1_G4_CMspring	OW1	G4	CMspring	OW1_G4_CKDL200161681-1a-AK3743-AK24717_HK3KHDSXY_L2_1.fq.gz	OW1_G4_CKDL200161681-1a-AK3743-AK24717_HK3KHDSXY_L2_2.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G4/OW1_G4_CKDL200161681-1a-AK3743-AK24717_HK3KHDSXY_L2_1.fq.gz	/project/berglandlab/Dmel_Single_Individuals/Overwintering_2018_2019/raw_data/usftp21.novogene.com/raw_data/OW1_G4/OW1_G4_CKDL200161681-1a-AK3743-AK24717_HK3KHDSXY_L2_2.fq.gz
