Plate,Well,Date,Location,sample ID,Cage,Population,Swarm,Season
OW1,A1,11.27.2018,indoor A,1,NA,Indoor,A,fall
OW1,A2,11.27.2018,indoor A,2,NA,Indoor,A,fall
OW1,A3,11.27.2018,indoor A,3,NA,Indoor,A,fall
OW1,A4,11.27.2018,indoor A,4,NA,Indoor,A,fall
OW1,A5,11.27.2018,indoor A,5,NA,Indoor,A,fall
OW1,A6,11.27.2018,indoor A,6,NA,Indoor,A,fall
OW1,A7,11.27.2018,indoor A,7,NA,Indoor,A,fall
OW1,A8,11.27.2018,indoor A,8,NA,Indoor,A,fall
OW1,A9,11.27.2018,indoor A,9,NA,Indoor,A,fall
OW1,A10,11.27.2018,indoor A,10,NA,Indoor,A,fall
OW1,A11,11.27.2018,indoor A,11,NA,Indoor,A,fall
OW1,A12,11.27.2018,indoor A,12,NA,Indoor,A,fall
OW1,B1,11.27.2018,indoor A,13,NA,Indoor,A,fall
OW1,B2,11.27.2018,indoor A,14,NA,Indoor,A,fall
OW1,B3,11.27.2018,indoor A,15,NA,Indoor,A,fall
OW1,B4,11.27.2018,indoor B,1,NA,Indoor,B,fall
OW1,B5,11.27.2018,indoor B,2,NA,Indoor,B,fall
OW1,B6,11.27.2018,indoor B,3,NA,Indoor,B,fall
OW1,B7,11.27.2018,indoor B,4,NA,Indoor,B,fall
OW1,B8,11.27.2018,indoor B,5,NA,Indoor,B,fall
OW1,B9,11.27.2018,indoor B,6,NA,Indoor,B,fall
OW1,B10,11.27.2018,indoor B,7,NA,Indoor,B,fall
OW1,B11,11.27.2018,indoor B,8,NA,Indoor,B,fall
OW1,B12,11.27.2018,indoor B,9,NA,Indoor,B,fall
OW1,C1,11.27.2018,indoor B,10,NA,Indoor,B,fall
OW1,C2,11.27.2018,indoor B,11,NA,Indoor,B,fall
OW1,C3,11.27.2018,indoor B,12,NA,Indoor,B,fall
OW1,C4,11.27.2018,indoor B,13,NA,Indoor,B,fall
OW1,C5,11.27.2018,indoor B,14,NA,Indoor,B,fall
OW1,C6,11.27.2018,indoor B,15,NA,Indoor,B,fall
OW1,C7,6.11.2019,indoor A,1,NA,Indoor,A,spring
OW1,C8,6.11.2019,indoor A,2,NA,Indoor,A,spring
OW1,C9,6.11.2019,indoor A,3,NA,Indoor,A,spring
OW1,C10,6.11.2019,indoor A,4,NA,Indoor,A,spring
OW1,C11,6.11.2019,indoor A,5,NA,Indoor,A,spring
OW1,C12,6.11.2019,indoor A,6,NA,Indoor,A,spring
OW1,D1,6.11.2019,indoor A,7,NA,Indoor,A,spring
OW1,D2,6.11.2019,indoor A,8,NA,Indoor,A,spring
OW1,D3,6.11.2019,indoor A,9,NA,Indoor,A,spring
OW1,D4,6.11.2019,indoor A,10,NA,Indoor,A,spring
OW1,D5,6.11.2019,indoor A,11,NA,Indoor,A,spring
OW1,D6,6.11.2019,indoor A,12,NA,Indoor,A,spring
OW1,D7,6.11.2019,indoor A,13,NA,Indoor,A,spring
OW1,D8,6.11.2019,indoor A,14,NA,Indoor,A,spring
OW1,D9,6.11.2019,indoor A,15,NA,Indoor,A,spring
OW1,D10,6.11.2019,indoor B,1,NA,Indoor,B,spring
OW1,D11,6.11.2019,indoor B,2,NA,Indoor,B,spring
OW1,D12,6.11.2019,indoor B,3,NA,Indoor,B,spring
OW1,E1,6.11.2019,indoor B,4,NA,Indoor,B,spring
OW1,E2,6.11.2019,indoor B,5,NA,Indoor,B,spring
OW1,E3,6.11.2019,indoor B,6,NA,Indoor,B,spring
OW1,E4,6.11.2019,indoor B,7,NA,Indoor,B,spring
OW1,E5,6.11.2019,indoor B,8,NA,Indoor,B,spring
OW1,E6,6.11.2019,indoor B,9,NA,Indoor,B,spring
OW1,E7,6.11.2019,indoor B,10,NA,Indoor,B,spring
OW1,E8,6.11.2019,indoor B,11,NA,Indoor,B,spring
OW1,E9,6.11.2019,indoor B,12,NA,Indoor,B,spring
OW1,E10,6.11.2019,indoor B,13,NA,Indoor,B,spring
OW1,E11,6.11.2019,indoor B,14,NA,Indoor,B,spring
OW1,E12,6.11.2019,indoor B,15,NA,Indoor,B,spring
OW1,F1,6.14.2019,Carter Moutain Isofemale,1,NA,CM,NA,spring
OW1,F2,6.14.2019,Carter Moutain Isofemale,2,NA,CM,NA,spring
OW1,F3,6.14.2019,Carter Moutain Isofemale,3,NA,CM,NA,spring
OW1,F4,6.14.2019,Carter Moutain Isofemale,4,NA,CM,NA,spring
OW1,F5,6.14.2019,Carter Moutain Isofemale,5,NA,CM,NA,spring
OW1,F6,6.14.2019,Carter Moutain Isofemale,6,NA,CM,NA,spring
OW1,F7,6.14.2019,Carter Moutain Isofemale,7,NA,CM,NA,spring
OW1,F8,6.14.2019,Carter Moutain Isofemale,8,NA,CM,NA,spring
OW1,F9,6.14.2019,Carter Moutain Isofemale,9,NA,CM,NA,spring
OW1,F10,6.14.2019,Carter Moutain Isofemale,10,NA,CM,NA,spring
OW1,F11,6.14.2019,Carter Moutain Isofemale,11,NA,CM,NA,spring
OW1,F12,6.14.2019,Carter Moutain Isofemale,12,NA,CM,NA,spring
OW1,G1,6.14.2019,Carter Moutain Isofemale,13,NA,CM,NA,spring
OW1,G2,6.14.2019,Carter Moutain Isofemale,14,NA,CM,NA,spring
OW1,G3,6.14.2019,Carter Moutain Isofemale,15,NA,CM,NA,spring
OW1,G4,6.14.2019,Carter Moutain Isofemale,16,NA,CM,NA,spring
OW1,G5,6.14.2019,Carter Moutain Isofemale,17,NA,CM,NA,spring
OW1,G6,6.14.2019,Carter Moutain Isofemale,18,NA,CM,NA,spring
OW1,G7,6.14.2019,Carter Moutain Isofemale,19,NA,CM,NA,spring
OW1,G8,6.14.2019,Carter Moutain Isofemale,20,NA,CM,NA,spring
OW1,G9,6.14.2019,Carter Moutain Isofemale,21,NA,CM,NA,spring
OW1,G10,6.14.2019,Carter Moutain Isofemale,22,NA,CM,NA,spring
OW1,G11,6.14.2019,Carter Moutain Isofemale,23,NA,CM,NA,spring
OW1,G12,6.14.2019,Carter Moutain Isofemale,24,NA,CM,NA,spring
OW1,H1,6.14.2019,Carter Moutain Isofemale,25,NA,CM,NA,spring
OW1,H2,6.14.2019,Carter Moutain Isofemale,26,NA,CM,NA,spring
OW1,H3,6.14.2019,Carter Moutain Isofemale,28,NA,CM,NA,spring
OW1,H4,6.14.2019,Carter Moutain Isofemale,29,NA,CM,NA,spring
OW1,H5,6.14.2019,Carter Moutain Isofemale,30,NA,CM,NA,spring
OW1,H6,6.14.2019,Carter Moutain Isofemale,31,NA,CM,NA,spring
OW1,H7,6.14.2019,Carter Moutain Isofemale,32,NA,CM,NA,spring
OW1,H8,6.14.2019,Carter Moutain Isofemale,33,NA,CM,NA,spring
OW1,H9,6.14.2019,Carter Moutain Isofemale,34,NA,CM,NA,spring
OW1,H10,6.14.2019,Carter Moutain Isofemale,36,NA,CM,NA,spring
OW1,H11,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
OW1,H12,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
OW2,A1,6.14.2019,Carter Moutain Isofemale,37,NA,CM,NA,spring
OW2,A2,6.14.2019,Carter Moutain Isofemale,38,NA,CM,NA,spring
OW2,A3,6.14.2019,Carter Moutain Isofemale,39,NA,CM,NA,spring
OW2,A4,6.14.2019,Carter Moutain Isofemale,40,NA,CM,NA,spring
OW2,A5,6.14.2019,Carter Moutain Isofemale,42,NA,CM,NA,spring
OW2,A6,6.14.2019,Carter Moutain Isofemale,41,NA,CM,NA,spring
OW2,A7,6.14.2019,Carter Moutain Isofemale,43,NA,CM,NA,spring
OW2,A8,11.29.2018,Carter Mountain wild Male ASB,1,NA,CM,NA,fall
OW2,A9,11.29.2018,Carter Mountain wild Male ASB,2,NA,CM,NA,fall
OW2,A10,11.29.2018,Carter Mountain wild Male ASB,3,NA,CM,NA,fall
