sampleId	In(2L)t	propSimNorm	sex
AT_Mau_14_01	0.19	0.00460092100582419	male
AT_Mau_14_02	0.18	0.00562178583187509	male
AT_Mau_15_50	0.2	0.00414769957952095	male
AT_Mau_15_51	0.28	0.00332260278046581	male
AT_See_14_44	0.32	0.0060271890705486	male
AT_See_16_1	0.28	0.00436717007125169	male
BY_Bre_15_13	0.15	0.00374765454746054	male
CH_Cha_14_42	0.47	0.00627988820863328	male
CH_Cha_14_43	0.37	0.0309937190232618	male
CH_Cha_15_39	0.32	0.00371921546398174	male
CH_Cha_16_38	0.44	0.00406973192924817	male
CY_Nic_14_11	0.32	0.00336846406288054	male
DE_Bro_14_14	0.2	0.00322314969787144	male
DE_Bro_14_15	0.1	0.00329691395974512	male
DE_Bro_15_53	0.29	0.00323190455643582	male
DE_Bro_15_54	0.19	0.00325487937469412	male
DE_Bro_16_10	0.06	0.00379253894334217	male
DE_Bro_16_11	0.11	0.00366153014240144	male
DE_Mun_14_31	0.36	0.00346278078362313	male
DE_Mun_14_32	0.5	0.00604785174849417	male
DE_Mun_15_45	0.35	0.00342406698184813	male
DE_Mun_15_46	0.18	0.00352267807463372	male
DE_Mun_16_12	0.15	0.00370808284653362	male
DE_Mun_16_13	0.29	0.00413206696256505	male
DK_Kar_14_39	0.07	0.00458425049511233	male
DK_Kar_14_41	0.05	0.00483507950171298	male
DK_Kar_16_2	0.36	0.00371526981419272	male
DK_Kar_16_3	0.15	0.00384809922748546	male
DK_Kar_16_4	0.13	0.00377581053663609	male
ES_Ben_16_32	0.1	0.0361316551967509	male
ES_Cor_15_33	0.31	0.0399725673060852	male
ES_Gim_14_34	0.17	0.180864646255475	male
ES_Gim_14_35	0.33	0.213492388602094	male
ES_Gim_15_30	0.26	0.00338186135820545	male
ES_Gim_15_31	0.23	0.0034667573654015	male
ES_Gim_16_33	0.3	0.707170140976698	male
ES_Gim_16_34	0.31	0.00411703481157811	male
ES_Gua_15_32	0.27	0.0304450954352773	male
ES_Pur_16_35	0.23	0.286031569955806	male
ES_Tom_15_28	0.2	0.00338091675310051	male
ES_Tom_15_29	0.33	0.0300087519796416	male
ES_Tom_16_36	0.15	0.0560972786090045	male
ES_Tom_16_37	0.23	0.00387660534164068	male
FI_Aka_14_36	0.24	0.00718115133339114	male
FI_Aka_14_37	0.27	0.00557689469041063	male
FI_Aka_15_34	0.29	0.00359029399072601	male
FI_Aka_15_35	0.35	0.00388226017640901	male
FI_Aka_16_5	0.26	0.00381308493815459	male
FI_Aka_16_6	0.28	0.00408688955931053	male
FI_Ves_14_38	0.31	0.00519656816253425	male
FI_Ves_16_7	0.28	0.00392344913942166	male
FR_Got_14_08	0.04	0.00489270121013387	male
FR_Got_15_47	0.06	0.0338542557254546	male
