variable	In(2L)t
VA_ch_16_m06d24	0.164536594627092
VA_ch_16_m07d08	0.259239216506855
VA_ch_16_m07d22	0.196356619570905
VA_ch_16_m08d19	0.157153292940709
VA_ch_16_m09d02	0.176130032767985
VA_ch_16_m09d16	0.132021791951135
VA_ch_16_m10d03	0.173555016412159
VA_ch_16_m10d14	0.178120731994512
VA_ch_16_m10d28	0.145885560775745
VA_ch_16_m11d11	0.160041668505429
VA_ch_16_m12d03	0.165216855791797
VA_ch_17_m06d22	0.203580209674947
VA_ch_17_m07d07	0.161076291155495
VA_ch_17_m07d20	0.15895731201681
VA_ch_17_m08d03	0.130924788955325
VA_ch_17_m08d17	0.162335603336941
VA_ch_17_m08d31	0.138492365804488
VA_ch_17_m09d14	0.241812729739276
VA_ch_17_m09d28	0.30034411712801
VA_ch_17_m10d12	0.307893655645263
VA_ch_17_m10d26	0.204989834326682
VA_ch_17_m11d09	0.229987843286798
VA_ch_17_m11d24	0.424330013173053
VA_ch_17_m12d07	0.265714876234446
VA_ch_18_m06d28	0.196224844372788
VA_ch_18_m07d05	0.18017469005942
VA_ch_18_m07d12	0.136534679788756
VA_ch_18_m07d26	0.247106012195622
VA_ch_18_m08d09	0.108266315452572
VA_ch_18_m08d23	0.156979667934644
VA_ch_18_m09d06	0.158239526506424
VA_ch_18_m09d20	0.253242937229574
VA_ch_18_m10d04	0.21057315929183
VA_ch_18_m10d18	0.271963182712187
VA_ch_18_m10d25	0.183169870114543
VA_ch_18_m11d01	0.242796860097798
VA_ch_18_m11d29	0.136930024170348
