sampleId	country	city	collectionDate	lat	long	season	locality	type	continent	set	nFlies	SRA_accession	SRA_experiment	SeqPlatform	collector	sampleType	year	yday	stationId	dist_km	MeanEC
PA_li_12_spring	USA	Linvilla	7/16/12	39.88	-75.41	spring	PA_li	pooled	NorthAmerica	DrosRTEC	115	SRR3590561	SRX1801506	Illumina HiSeq 2000	P._Schmidt_lab	wild	2012	198	USC00365390	6.272149199	48.7596190092413
PA_li_11_fall	USA	Linvilla	10/15/11	39.88	-75.41	fall	PA_li	pooled	NorthAmerica	DrosRTEC	47	SRR1525773	SRX661842	Illumina HiSeq 2000	P._Schmidt_lab	F1	2011	288	USC00365390	6.272149199	40.3622831410356
PA_li_09_fall	USA	Linvilla	11/15/09	39.88	-75.41	fall	PA_li	pooled	NorthAmerica	DrosRTEC	74	SRR1525769	SRX661838	Illumina HiSeq 2000	P._Schmidt_lab	F1	2009	319	USC00365390	6.272149199	43.258874263135
PA_li_10_fall	USA	Linvilla	11/15/10	39.88	-75.41	fall	PA_li	pooled	NorthAmerica	DrosRTEC	33	SRR1525771	SRX661840	Illumina HiSeq 2000	P._Schmidt_lab	F1	2010	319	USC00365390	6.272149199	34.800375188765
PA_li_11_frost	USA	Linvilla	11/15/11	39.88	-75.41	frost	PA_li	pooled	NorthAmerica	DrosRTEC	50	SRR1525774	SRX661843	Illumina HiSeq 2000	P._Schmidt_lab	F1	2011	319	USC00365390	6.272149199	36.574533979003
PA_li_09_spring	USA	Linvilla	7/15/09	39.88	-75.41	spring	PA_li	pooled	NorthAmerica	DrosRTEC	55	SRR1525768	SRX661837	Illumina HiSeq 2000	P._Schmidt_lab	F1	2009	196	USC00365390	6.272149199	67.7297639186899
PA_li_11_spring	USA	Linvilla	7/15/11	39.88	-75.41	spring	PA_li	pooled	NorthAmerica	DrosRTEC	75	SRR1525772	SRX661841	Illumina HiSeq 2000	P._Schmidt_lab	F1	2011	196	USC00365390	6.272149199	42.2904237905093
PA_li_12_sum	USA	Linvilla	9/13/12	39.88	-75.41	fall	PA_li	pooled	NorthAmerica	DrosRTEC	50	SRR3590563	SRX1801508	Illumina HiSeq 2000	P._Schmidt_lab	wild	2012	257	USC00365390	6.272149199	32.7274641533364
VA_ch_12_spring	USA	Charlottesville	7/18/12	38	-78.47	spring	VA_ch	pooled	NorthAmerica	DrosRTEC	95	SRR3590551	SRX1801496	Illumina HiSeq 2000	P._Schmidt	wild	2012	200	USW00003759	0.475773345	49.9891036865698
WI_cp_12_fall	USA	Cross Plains	9/11/12	43.11	-89.65	fall	WI_cp	pooled	NorthAmerica	DrosRTEC	164	SRR3590562	SRX1801507	Illumina HiSeq 2000	J._Pool	wild	2012	255	USC00471416	14.78484987	41.6579952239344
WI_cp_12_frost	USA	Cross Plains	10/20/12	43.11	-89.65	frost	WI_cp	pooled	NorthAmerica	DrosRTEC	100	SRR3590554	SRX1801499	Illumina HiSeq 2000	J._Pool	wild	2012	294	USC00471416	14.78484987	37.6255314245472
WI_cp_13_spring	USA	Cross Plains	7/2/13	43.11	-89.65	spring	WI_cp	pooled	NorthAmerica	DrosRTEC	130	SRR3939051	SRX1968280	Illumina HiSeq 4000	J._Pool	wild	2013	183	USC00471416	14.78484987	103.868251863392
WI_cp_13_fall	USA	Cross Plains	9/22/13	43.11	-89.65	fall	WI_cp	pooled	NorthAmerica	DrosRTEC	61	SRR3939052	SRX1968281	Illumina HiSeq 4000	J._Pool	wild	2013	265	USC00471416	14.78484987	40.2172923475939
