DGRP_line	inv2lt
DGRP_21	ST
DGRP_26	INV
DGRP_28	ST
DGRP_31	ST
DGRP_32	INV
DGRP_38	ST
DGRP_40	ST
DGRP_41	ST
DGRP_42	ST
DGRP_45	ST
DGRP_48	ST
DGRP_49	ST
DGRP_57	ST
DGRP_59	ST
DGRP_69	ST
DGRP_73	ST
DGRP_75	ST
DGRP_83	ST
DGRP_85	INV/ST
DGRP_88	INV/ST
DGRP_91	ST
DGRP_93	INV
DGRP_100	INV/ST
DGRP_101	INV/ST
DGRP_105	ST
DGRP_109	INV/ST
DGRP_129	ST
DGRP_136	ST
DGRP_138	ST
DGRP_142	ST
DGRP_149	ST
DGRP_153	ST
DGRP_158	ST
DGRP_161	INV
DGRP_176	ST
DGRP_177	ST
DGRP_181	ST
DGRP_189	ST
DGRP_195	ST
DGRP_208	ST
DGRP_217	ST
DGRP_223	ST
DGRP_227	ST
DGRP_228	ST
DGRP_229	ST
DGRP_233	INV
DGRP_235	ST
DGRP_237	INV/ST
DGRP_239	ST
DGRP_256	ST
DGRP_280	ST
DGRP_287	ST
DGRP_301	INV/ST
DGRP_303	INV/ST
DGRP_304	ST
DGRP_306	ST
DGRP_307	ST
DGRP_309	ST
DGRP_310	ST
DGRP_313	INV
DGRP_315	ST
DGRP_317	ST
DGRP_318	ST
DGRP_319	ST
DGRP_320	ST
DGRP_321	ST
DGRP_324	ST
DGRP_325	ST
DGRP_332	ST
DGRP_335	ST
DGRP_336	INV/ST
DGRP_338	INV/ST
DGRP_340	ST
DGRP_348	INV
DGRP_350	INV
DGRP_352	INV/ST
DGRP_354	ST
DGRP_355	ST
DGRP_356	ST
DGRP_357	ST
DGRP_358	INV
DGRP_359	INV
DGRP_360	ST
DGRP_361	ST
DGRP_362	ST
DGRP_365	ST
DGRP_367	ST
DGRP_370	ST
DGRP_371	ST
DGRP_373	ST
DGRP_374	ST
DGRP_375	ST
DGRP_377	INV/ST
DGRP_379	ST
DGRP_380	ST
DGRP_381	INV/ST
DGRP_382	ST
DGRP_383	INV
DGRP_385	ST
DGRP_386	INV
DGRP_390	INV
DGRP_391	ST
DGRP_392	ST
DGRP_395	ST
DGRP_397	ST
DGRP_399	ST
DGRP_405	INV/ST
DGRP_406	INV
DGRP_409	ST
DGRP_426	INV/ST
DGRP_427	ST
DGRP_437	ST
DGRP_439	ST
DGRP_440	ST
DGRP_441	ST
DGRP_443	INV/ST
DGRP_461	ST
DGRP_486	ST
DGRP_491	ST
DGRP_492	INV/ST
DGRP_502	INV/ST
DGRP_505	ST
DGRP_508	ST
DGRP_509	ST
DGRP_513	ST
DGRP_517	ST
DGRP_528	INV/ST
DGRP_530	ST
DGRP_531	ST
DGRP_535	ST
DGRP_551	ST
DGRP_555	ST
DGRP_559	ST
DGRP_563	INV/ST
DGRP_566	ST
DGRP_584	INV
DGRP_589	ST
DGRP_595	INV/ST
DGRP_596	ST
DGRP_627	INV
DGRP_630	INV
DGRP_634	ST
DGRP_639	ST
DGRP_642	ST
DGRP_646	ST
DGRP_703	ST
DGRP_705	ST
DGRP_707	ST
DGRP_712	ST
DGRP_714	ST
DGRP_716	ST
DGRP_721	ST
DGRP_727	ST
DGRP_730	ST
DGRP_732	ST
DGRP_737	ST
DGRP_738	ST
DGRP_748	INV
DGRP_757	ST
DGRP_761	ST
DGRP_765	ST
DGRP_774	ST
DGRP_776	ST
DGRP_783	ST
DGRP_786	ST
DGRP_787	ST
DGRP_790	ST
DGRP_796	ST
DGRP_799	ST
DGRP_801	ST
DGRP_802	INV/ST
DGRP_804	ST
DGRP_805	ST
DGRP_808	ST
DGRP_810	ST
DGRP_812	INV/ST
DGRP_818	ST
DGRP_819	ST
DGRP_820	ST
DGRP_821	ST
DGRP_822	ST
DGRP_832	ST
DGRP_837	INV
DGRP_843	ST
DGRP_849	INV/ST
DGRP_850	ST
DGRP_852	ST
DGRP_853	ST
DGRP_855	ST
DGRP_857	ST
DGRP_859	ST
DGRP_861	ST
DGRP_879	ST
DGRP_882	ST
DGRP_884	ST
DGRP_887	ST
DGRP_890	ST
DGRP_892	ST
DGRP_894	INV/ST
DGRP_897	ST
DGRP_900	ST
DGRP_907	ST
DGRP_908	ST
DGRP_911	ST
DGRP_913	ST
