x	phenoname
1	FreeGlycerolLevels_PooledDiets_male
2	NegativeGeotaxis_MSB_Treatment_male
3	2-HeptanoneAttraction_standard_female
4	StartleResponse_MSB_Treatment_female
5	StartleResponse_standard_female
6	StartleResponse_standard_Female
7	WingCentroidSize_standard_female
8	WingCentroidSize_standard_male
9	ActivityLevel_Standard-BasalActivity_F
10	CentroidSize_standard_F
11	CentroidSize_standard_M
12	DayBoutNumber_standard_Female
13	DayBoutNumber_standard_Male
14	StartleResponse_MSB_Treatment_male
15	StarvationResistance_standard_male
16	MeanElutionTime_DevelopmentofTolerance_male
17	DaySleep_standard_Male
18	FreeGlycerolLevels_HighGlucoseDiet_male
19	ResistanceToDDT_24HourExposureTo200Î¼lAcetone-DDTSolutionConcentration05Î¼g-ml_F
20	MenadioneSodiumBisulfite(MSB)Resistance_standard_male
21	NegativeGeotaxis_MSB_Treatment_female
22	NegativeGeotaxis_standard_female
23	Lifespan_TwentyFiveDegreesC_M
24	MeanElutionTime_DevelopmentofTolerance_female
25	MeanElutionTime_SingleEthanolExposure_female
26	InternocularDistance_standard_F
27	FreeGlycerolLevels_LowGlucoseDiet_male
28	DaySleep_standard_Female
29	MethylSalicylateAttraction_standard_male
30	MeanElutionTime_SingleEthanolExposure_male
31	SurvivalLength_Standard_M
32	BacterialLoad_ProvidenciaRettgeriInfection_F
33	1Week-Non-acclimationSurvival_NegativeSixDegrees_F
34	LifeSpan_LowYeast_female
35	AnoxiaTolerance_AnoxicEnvmnt-OtherwiseStandard_Larvae-mixed
36	ThoraxLength_standard_female
37	BenzaldehydeResponse_standard_female
38	l-CarvoneAttraction_standard_female
39	MethylSalicylateAttraction_standard_female
40	ResistanceToDDT_1HourExposureTo200Î¼lAcetone-DDTSolutionConcentration05Î¼g-ml_F
41	ResistanceToDDT_2HourExposureTo200Î¼lAcetone-DDTSolutionConcentration05Î¼g-ml_F
42	ResistanceToDDT_3HourExposureTo200Î¼lAcetone-DDTSolutionConcentration05Î¼g-ml_F
43	ResistanceToDDT_4HourExposureTo200Î¼lAcetone-DDTSolutionConcentration05Î¼g-ml_F
44	ResistanceToDDT_5HourExposureTo200Î¼lAcetone-DDTSolutionConcentration05Î¼g-ml_F
45	ResistanceToDDT_6HourExposureTo200Î¼lAcetone-DDTSolutionConcentration05Î¼g-ml_F
46	ResistanceToDDT_13HourExposureTo200Î¼lAcetone-DDTSolutionConcentration05Î¼g-ml_F
47	ResistanceToDDT_14HourExposureTo200Î¼lAcetone-DDTSolutionConcentration05Î¼g-ml_F
48	90%ResponseStrength_standard_M
49	Lifespan_DR-DietContained05percentYeast_F
50	Lifespan_Restricted-DR_F
51	Mortality_OneÎ¼g-vialForMalathionTenÎ¼g-vialForPermethrin_F
52	30%ResponseStrength_standard_F
53	AnoxiaTolerance_AnoxicEnvmnt-OtherwiseStandard_F
54	LarvaeSurvival_30Î¼g-mLChlorantraniliproleOn10mLFoodMedia_LarvaeMixed
55	LarvaeSurvival_40Î¼g-mLChlorantraniliproleOn10mLFoodMedia_LarvaeMixed
56	ClimbingHeight_ParaquatInsecticideExposure_F
57	ClimbingHeight_Standard_F
