pop	term	Estimate	Pr(>|t|)	Std_Error	t value
Akaa	(Intercept)	0.00190410431249456	0.313703231573649	0.00188864138257097	1.00818732982676
Akaa	year_diff	0.00537537867720517	0.0204093282085943	0.00231310384720172	2.32388125751814
Broggingen	(Intercept)	0.00309632283569263	0.0160620227676664	0.00128307915793212	2.41319704754836
Broggingen	year_diff	0.00211776548101453	0.0371687548276116	0.0010143631393391	2.08777842853629
Charlottesville	(Intercept)	0.00360142966066772	7.43191000722868e-67	0.000187226542295274	19.235678961522
Charlottesville	year_diff	0.000805006907862408	4.71484153519816e-12	0.000114465021352858	7.03277646173529
Cross Plains	(Intercept)	0.00301822743261128	0.0189244440795386	0.00128307915793212	2.3523314317377
Cross Plains	year_diff	0.0034140604988867	0.000803956738664267	0.0010143631393391	3.36571821912919
Linvilla	(Intercept)	0.00536147177165045	4.40308491898436e-21	0.000551355227570963	9.72416965242321
Linvilla	year_diff	0.00151917851234747	2.15413260282765e-15	0.000187286058550251	8.11154083815512
Munich	(Intercept)	0.00663864784695777	2.97420576037313e-07	0.00128307915793212	5.17399710369932
Munich	year_diff	0.00567254071674927	3.18466332373534e-08	0.0010143631393391	5.59221889750958
Odessa	(Intercept)	0.00156938570286817	0.00573042216106294	0.000566335048228477	2.77112586935469
Odessa	year_diff	0.00362834553097997	1.20772652770515e-18	0.000400459353025967	9.06045895435658
Yesiloz	(Intercept)	0.00422807109476869	1.04716532481789e-12	0.000582847384415475	7.25416499725556
Yesiloz	year_diff	0.00612205554752594	5.5586114906743e-14	0.000798096650068102	7.67081975222368
