"name.library.x","replicate","forward_FASTQ_file","forward_file_loc","reverse_FASTQ_file","reverse_file_loc"
"(Unknown)_?",1,"N708-N506_S45_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N708-N506_S45_L001_R1_001.fastq.gz","N708-N506_S45_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N708-N506_S45_L001_R2_001.fastq.gz"
"(Unknown)_?",2,"N708-N506_S45_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N708-N506_S45_L002_R1_001.fastq.gz","N708-N506_S45_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N708-N506_S45_L002_R2_001.fastq.gz"
"(Unknown)_?",3,"N708-N506_S45_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N708-N506_S45_L003_R1_001.fastq.gz","N708-N506_S45_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N708-N506_S45_L003_R2_001.fastq.gz"
"(Unknown)_?",4,"N708-N506_S45_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N708-N506_S45_L004_R1_001.fastq.gz","N708-N506_S45_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N708-N506_S45_L004_R2_001.fastq.gz"
"12BME10-101",1,"N706-N503_S25_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N503_S25_L001_R1_001.fastq.gz","N706-N503_S25_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N503_S25_L001_R2_001.fastq.gz"
"12BME10-101",2,"N706-N503_S25_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N503_S25_L002_R1_001.fastq.gz","N706-N503_S25_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N503_S25_L002_R2_001.fastq.gz"
"12BME10-101",3,"N706-N503_S25_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N503_S25_L003_R1_001.fastq.gz","N706-N503_S25_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N503_S25_L003_R2_001.fastq.gz"
"12BME10-101",4,"N706-N503_S25_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N503_S25_L004_R1_001.fastq.gz","N706-N503_S25_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N503_S25_L004_R2_001.fastq.gz"
"12BME10-104",1,"N707-N505_S39_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N707-N505_S39_L001_R1_001.fastq.gz","N707-N505_S39_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N707-N505_S39_L001_R2_001.fastq.gz"
"12BME10-104",2,"N707-N505_S39_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N707-N505_S39_L002_R1_001.fastq.gz","N707-N505_S39_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_3/FASTQ/N707-N505_S39_L002_R2_001.fastq.gz"
