"name.library","replicate","FASTQ_file","file_loc"
"21_36",1,"SRR1820252_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_36/SRR1820252_1.fastq.gz"
"21_39",1,"SRR1820253_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820253_1.fastq.gz"
"21_39",2,"SRR1820254_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820254_1.fastq.gz"
"21_39",3,"SRR1820255_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820255_1.fastq.gz"
"21_39",4,"SRR1820256_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820256_1.fastq.gz"
"21_39",5,"SRR1820257_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820257_1.fastq.gz"
"21_39",6,"SRR1820258_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820258_1.fastq.gz"
"21_39",7,"SRR1820259_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820259_1.fastq.gz"
"21_39",8,"SRR1820260_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820260_1.fastq.gz"
"21_39",9,"SRR1820261_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Birmingham_AL/21_39/SRR1820261_1.fastq.gz"
"40_10",1,"SRR1820282_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/BullocksHarbor_BerryIslands/40_10/SRR1820282_1.fastq.gz"
"40_10",2,"SRR1820283_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/BullocksHarbor_BerryIslands/40_10/SRR1820283_1.fastq.gz"
"40_10",3,"SRR1820284_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/BullocksHarbor_BerryIslands/40_10/SRR1820284_1.fastq.gz"
"40_10",4,"SRR1820285_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/BullocksHarbor_BerryIslands/40_10/SRR1820285_1.fastq.gz"
"40_10",5,"SRR1820286_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/BullocksHarbor_BerryIslands/40_10/SRR1820286_1.fastq.gz"
"40_10",6,"SRR1820287_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/BullocksHarbor_BerryIslands/40_10/SRR1820287_1.fastq.gz"
"42_20",1,"SRR1820318_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Cockburn_SanSalvador/42_20/SRR1820318_1.fastq.gz"
"42_20",2,"SRR1820319_1.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/Cockburn_SanSalvador/42_20/SRR1820319_1.fastq.gz"
