sampleId	country	city	locality	collectionDate	nFlies	SRA_accession	SRA_experiment	type	PCA.set	FST.set	GLM.set	IND.set
VA_ch_16_m06d24	USA	Charlottesville	VA_ch	6/24/16	37	NA	NA	pooled	FALSE	FALSE	TRUE	FALSE
VA_ch_16_m07d08	USA	Charlottesville	VA_ch	7/8/16	36	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
VA_ch_16_m07d22	USA	Charlottesville	VA_ch	7/22/16	22	NA	NA	pooled	FALSE	FALSE	TRUE	FALSE
VA_ch_16_m08d19	USA	Charlottesville	VA_ch	8/19/16	23	NA	NA	pooled	FALSE	FALSE	TRUE	FALSE
VA_ch_16_m09d02	USA	Charlottesville	VA_ch	9/2/16	146	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
VA_ch_16_m09d16	USA	Charlottesville	VA_ch	9/16/16	113	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
VA_ch_16_m10d03	USA	Charlottesville	VA_ch	10/3/16	40	NA	NA	pooled	FALSE	FALSE	TRUE	FALSE
VA_ch_16_m10d14	USA	Charlottesville	VA_ch	10/14/16	150	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
VA_ch_16_m10d28	USA	Charlottesville	VA_ch	10/28/16	118	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
VA_ch_16_m11d11	USA	Charlottesville	VA_ch	11/11/16	86	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
VA_ch_16_m12d03	USA	Charlottesville	VA_ch	12/3/16	70	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
VA_ch_17_m06d22	USA	Charlottesville	VA_ch	6/22/17	39	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
VA_ch_17_m07d07	USA	Charlottesville	VA_ch	7/7/17	45	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
VA_ch_17_m07d20	USA	Charlottesville	VA_ch	7/20/17	69	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
VA_ch_17_m08d03	USA	Charlottesville	VA_ch	8/3/17	29	NA	NA	pooled	FALSE	FALSE	TRUE	FALSE
VA_ch_17_m08d17	USA	Charlottesville	VA_ch	8/17/17	32	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
VA_ch_17_m08d31	USA	Charlottesville	VA_ch	8/31/17	87	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
VA_ch_17_m09d14	USA	Charlottesville	VA_ch	9/14/17	92	NA	NA	pooled	TRUE	TRUE	TRUE	FALSE
