mod	var	chr	inv	cluster	prop.real	totalN	prop.perm.mu	prop.perm.lci	prop.perm.uci	prop.perm.med	prop.rr	prop.sd	rr	en	p	sig	modRank	label	year	start	end	model.name
8	humidity.ave	2L	Inside Inversion	1.Europe_W	0.001936619	576262	0.000359212	0.000200777	0.001157251	0.000359212	2.430634354	0.523891129	5.391304348	4.391304348	1.75E-06	TRUE	69	J	1	15	45	humidity.ave_15_45
5	temp.max	2L	Inside Inversion	1.Europe_W	0.001650291	576262	0.000327108	0.0001664	0.002721904	0.000327108	2.334885893	0.83375223	5.045092838	4.045092838	0.002551528	FALSE	59	G	1	15	30	temp.max_15_30
8	temp.var	2L	Inside Inversion	1.Europe_W	0.008081394	576262	0.001726645	0.001005723	0.003953115	0.001726645	2.226843052	0.474308505	4.68040201	3.68040201	1.33E-06	TRUE	86	J	1	15	45	temp.var_15_45
3	humidity.ave	2L	Inside Inversion	1.Europe_W	0.000315829	576262	0.00010759	4.49E-05	0.000319872	0.00010759	1.55359833	0.614361043	2.935483871	1.935483871	0.005722605	FALSE	94	E	1	0	30	humidity.ave_0_30
10	humidity.ave	2L	Inside Inversion	1.Europe_W	0.000331446	576262	0.000118002	6.42E-05	0.000335039	0.000118002	1.489965987	0.527681665	2.808823529	1.808823529	0.002374324	FALSE	89	L	1	0	60	humidity.ave_0_60
3	temp.max	2L	Inside Inversion	1.Europe_W	0.000487625	576262	0.000190018	0.00010398	0.00121476	0.000190018	1.359654301	0.794035132	2.566210046	1.566210046	0.043417457	FALSE	103	E	1	0	30	temp.max_0_30
7	temp.max	2L	Inside Inversion	1.Europe_W	0.001815147	576262	0.000727967	0.000388382	0.002582055	0.000727967	1.318149359	0.598077769	2.493444577	1.493444577	0.013762998	FALSE	99	I	1	60	90	temp.max_60_90
5	humidity.ave	2L	Inside Inversion	1.Europe_W	0.000994339	576262	0.000407801	0.000273678	0.00108534	0.000407801	1.28599195	0.463744003	2.438297872	1.438297872	0.002776557	FALSE	79	G	1	15	30	humidity.ave_15_30
6	humidity.ave	2L	Inside Inversion	1.Europe_W	0.001384787	576262	0.00059348	0.000355168	0.001993225	0.00059348	1.222417091	0.537494714	2.333333333	1.333333333	0.011474376	FALSE	10	H	1	30	60	humidity.ave_30_60
5	temp.ave	2L	Inside Inversion	1.Europe_W	0.00024121	576262	0.000109325	5.03E-05	0.000348748	0.000109325	1.141661149	0.684423498	2.206349206	1.206349206	0.047651663	FALSE	83	G	1	15	30	temp.ave_15_30
2	temp.max	2L	Inside Inversion	2.North_America_I95	0.000309603	571699	0.000203779	0.000122302	0.000428862	0.000203779	0.603539	0.430563395	1.519313305	0.519313305	0.080496081	FALSE	112	D	1	0	15	temp.max_0_15
3	temp.max	2L	Inside Inversion	2.North_America_I95	0.000536996	571699	0.000376072	0.00017469	0.00106731	0.000376072	0.513901996	0.490015679	1.427906977	0.427906977	0.147147512	FALSE	103	E	1	0	30	temp.max_0_30
11	temp.propMax	2L	Inside Inversion	2.North_America_I95	0.00116145	571699	0.00081424	0.000393336	0.001431575	0.00081424	0.512402906	0.463869432	1.426423201	0.426423201	0.134660527	FALSE	26	M	1	0	90	temp.propMax_0_90
1	humidity.var	2L	Inside Inversion	2.North_America_I95	0.002412108	571699	0.001711565	0.001072138	0.002717496	0.001711565	0.49498341	0.304759788	1.409299949	0.409299949	0.052169169	FALSE	65	C	1	0	7	humidity.var_0_7
5	temp.max	2L	Inside Inversion	2.North_America_I95	0.000288613	571699	0.000207277	8.74E-05	0.00031144	0.000207277	0.477591808	0.390420456	1.392405063	0.392405063	0.110612814	FALSE	59	G	1	15	30	temp.max_15_30
4	precip.var	2L	Inside Inversion	2.North_America_I95	0.000587722	571699	0.000428547	0.000260277	0.000628635	0.000428547	0.455679484	0.326657048	1.371428571	0.371428571	0.081511196	FALSE	51	F	1	7	15	precip.var_7_15
2	humidity.ave	2L	Inside Inversion	2.North_America_I95	0.000204653	571699	0.000149554	7.16E-05	0.000271139	0.000149554	0.452536874	0.454961639	1.368421053	0.368421053	0.159948299	FALSE	68	D	1	0	15	humidity.ave_0_15
9	temp.propMax	2L	Inside Inversion	2.North_America_I95	0.000720659	571699	0.00053962	0.000234302	0.000852057	0.00053962	0.417375743	0.414292833	1.335494327	0.335494327	0.156861358	FALSE	32	K	1	45	75	temp.propMax_45_75
7	precip.ave	2L	Inside Inversion	2.North_America_I95	0.001871614	571699	0.00143607	0.000920939	0.002032538	0.00143607	0.38215774	0.2834088	1.303288672	0.303288672	0.0887596	FALSE	74	I	1	60	90	precip.ave_60_90
0	pop_year	2L	Inside Inversion	2.North_America_I95	0.009664176	571699	0.007461094	0.006236761	0.009473569	0.007461094	0.373262465	0.165896954	1.295276052	0.295276052	0.01222556	TRUE	96	B	1	NA	NA	pop_year_NA_NA
9	temp.ave	2L	Inside Inversion	3.Europe_E	0.000419948	576262	4.43E-05	1.39E-05	0.000165289	4.43E-05	3.246715283	0.710429595	9.490196078	8.490196078	2.44E-06	TRUE	45	K	1	45	75	temp.ave_45_75
9	temp.propMax	2L	Inside Inversion	3.Europe_E	0.00277825	576262	0.000521464	0.000305382	0.002132068	0.000521464	2.413634275	0.62639069	5.327787022	4.327787022	5.83E-05	TRUE	32	K	1	45	75	temp.propMax_45_75
6	temp.min	2L	Inside Inversion	3.Europe_E	0.001065488	576262	0.000203033	0.0001091	0.001206187	0.000203033	2.391730126	0.701857325	5.247863248	4.247863248	0.000327546	FALSE	72	H	1	30	60	temp.min_30_60
6	humidity.ave	2L	Inside Inversion	3.Europe_E	0.000553568	576262	0.000140561	7.45E-05	0.000397423	0.000140561	1.977562611	0.502499951	3.938271605	2.938271605	4.15E-05	TRUE	10	H	1	30	60	humidity.ave_30_60
9	humidity.ave	2L	Inside Inversion	3.Europe_E	0.000616039	576262	0.000162253	8.48E-05	0.00035411	0.000162253	1.924801383	0.552788514	3.796791444	2.796791444	0.000248856	TRUE	20	K	1	45	75	humidity.ave_45_75
7	humidity.ave	2L	Inside Inversion	3.Europe_E	0.001098459	576262	0.000305417	0.000168101	0.001092836	0.000305417	1.846653358	0.622630626	3.596590909	2.596590909	0.001509047	TRUE	101	I	1	60	90	humidity.ave_60_90
11	temp.ave	2L	Inside Inversion	3.Europe_E	0.000223857	576262	6.25E-05	2.95E-05	0.000291794	6.25E-05	1.841302254	0.670971074	3.583333333	2.583333333	0.003032606	FALSE	1	M	1	0	90	temp.ave_0_90
7	temp.propMax	2L	Inside Inversion	3.Europe_E	0.002124034	576262	0.000623848	0.000384721	0.001661796	0.000623848	1.767552441	0.505077534	3.40472879	2.40472879	0.000233008	TRUE	63	I	1	60	90	temp.propMax_60_90
9	temp.min	2L	Inside Inversion	3.Europe_E	0.000517126	576262	0.000155311	8.13E-05	0.000446012	0.000155311	1.735375257	0.546978584	3.329608939	2.329608939	0.000755255	TRUE	100	K	1	45	75	temp.min_45_75
6	temp.ave	2L	Inside Inversion	3.Europe_E	0.000187415	576262	6.07E-05	2.95E-05	0.00018771	6.07E-05	1.625604485	0.554725876	3.085714286	2.085714286	0.001692278	FALSE	3	H	1	30	60	temp.ave_30_60
2	temp.max	2L	Inside Inversion	5.Cville	0.001540966	576262	0.000137958	5.38E-05	0.001105053	0.000137958	3.481561445	0.867087314	11.16981132	10.16981132	2.97E-05	TRUE	112	D	1	0	15	temp.max_0_15
4	temp.max	2L	Inside Inversion	5.Cville	0.00245201	576262	0.000250754	0.000126678	0.000706623	0.000250754	3.289628705	0.702822088	9.778546713	8.778546713	1.43E-06	TRUE	111	F	1	7	15	temp.max_7_15
4	temp.ave	2L	Inside Inversion	5.Cville	0.000425154	576262	4.86E-05	1.91E-05	0.000225956	4.86E-05	3.129283017	0.844098858	8.75	7.75	0.000104762	TRUE	110	F	1	7	15	temp.ave_7_15
3	temp.min	2L	Inside Inversion	5.Cville	0.000796513	576262	0.000111928	4.86E-05	0.000585341	0.000111928	2.831166437	0.781492026	7.11627907	6.11627907	0.000145732	TRUE	109	E	1	0	30	temp.min_0_30
2	temp.ave	2L	Inside Inversion	5.Cville	4.34E-05	576262	6.94E-06	1.74E-06	5.22E-05	6.94E-06	2.64385619	1.097081946	6.25	5.25	0.007978479	FALSE	108	D	1	0	15	temp.ave_0_15
4	temp.propMax	2L	Inside Inversion	5.Cville	0.006011155	576262	0.001196504	0.000678285	0.00594228	0.001196504	2.328835061	0.70145838	5.023930384	4.023930384	0.000450103	TRUE	107	F	1	7	15	temp.propMax_7_15
3	temp.ave	2L	Inside Inversion	5.Cville	3.47E-05	576262	6.94E-06	1.74E-06	5.82E-05	6.94E-06	2.321928095	1.135593165	5	4	0.020443058	FALSE	106	E	1	0	30	temp.ave_0_30
2	temp.propMax	2L	Inside Inversion	5.Cville	0.002330537	576262	0.000492831	0.000294571	0.001521981	0.000492831	2.24149647	0.573991571	4.728873239	3.728873239	4.71E-05	TRUE	105	D	1	0	15	temp.propMax_0_15
2	temp.min	2L	Inside Inversion	5.Cville	0.000583068	576262	0.000136223	4.86E-05	0.001228174	0.000136223	2.097725939	0.909661975	4.280254777	3.280254777	0.010553921	FALSE	104	D	1	0	15	temp.min_0_15
3	temp.max	2L	Inside Inversion	5.Cville	0.000376565	576262	8.94E-05	3.64E-05	0.000425657	8.94E-05	2.075118702	0.858267485	4.213592233	3.213592233	0.007807339	FALSE	103	E	1	0	30	temp.max_0_30
