Collection_Date	Sample.Name	sex		Run
9/16/16	CM_002_0916	male		SRR14481713
7/22/16	CM_003_0722	male		SRR14481800
8/19/16	CM_004_0819	male		SRR14481595
8/19/16	CM_005_0819	male		SRR14481538
12/3/16	CM_005_1203	male		SRR14481681
7/22/16	CM_006_0722	male		SRR14481648
6/24/16	CM_008_0624	male		SRR14481766
6/24/16	CM_009_0624	male		SRR14481744
8/19/16	CM_009_0819	male		SRR14481727
9/16/16	CM_009_0916	male		SRR14481726
6/24/16	CM_010_0624	male		SRR14481725
10/3/16	CM_010_1003	male		SRR14481721
8/19/16	CM_011_0819	male		SRR14481718
6/24/16	CM_014_0624	male		SRR14481622
7/8/16	CM_014_0708	male		SRR14481621
6/24/16	CM_015_0624	male		SRR14481618
8/19/16	CM_015_0819	male		SRR14481615
6/24/16	CM_016_0624	male		SRR14481612
7/8/16	CM_017_0708	male		SRR14481609
8/19/16	CM_017_0819	male		SRR14481608
10/28/16	CM_017_1028	male		SRR14481607
12/3/16	CM_017_1203	male		SRR14481605
7/22/16	CM_018_0722	male		SRR14481602
9/2/16	CM_018_0902	male		SRR14481601
7/8/16	CM_019_0708	male		SRR14481598
8/19/16	CM_019_0819	male		SRR14481597
10/3/16	CM_019_1003	male		SRR14481596
7/22/16	CM_020_0722	male		SRR14481593
6/24/16	CM_021_0624	male		SRR14481592
7/22/16	CM_021_0722	male		SRR14481591
6/24/16	CM_022_0624	male		SRR14481589
10/3/16	CM_022_1003	male		SRR14481586
8/19/16	CM_024_0819	male		SRR14481583
9/16/16	CM_024_0916	male		SRR14481582
7/22/16	CM_025_0722	male		SRR14481576
10/3/16	CM_025_1003	male		SRR14481575
12/3/16	CM_026_1203	male		SRR14481569
6/24/16	CM_028_0624	male		SRR14481566
8/19/16	CM_028_0819	male		SRR14481564
9/16/16	CM_028_0916	male		SRR14481562
6/24/16	CM_029_0624	male		SRR14481558
8/19/16	CM_029_0819	male		SRR14481557
6/24/16	CM_030_0624	male		SRR14481555
7/8/16	CM_030_0708	male		SRR14481554
6/24/16	CM_031_0624	male		SRR14481552
8/19/16	CM_031_0819	male		SRR14481550
12/3/16	CM_031_1203	male		SRR14481548
6/24/16	CM_032_0624	male		SRR14481547
8/19/16	CM_032_0819	male		SRR14481546
9/16/16	CM_032_0916	male		SRR14481545
12/3/16	CM_032_1203	male		SRR14481544
6/24/16	CM_033_0624	male		SRR14481543
7/8/16	CM_033_0708	male		SRR14481542
10/3/16	CM_033_1003	male		SRR14481539
8/19/16	CM_035_0819	male		SRR14481711
11/11/16	CM_035_1111	male		SRR14481709
12/3/16	CM_035_1203	male		SRR14481708
7/8/16	CM_036_0708	male		SRR14481707
9/16/16	CM_036_0916	male		SRR14481706
6/24/16	CM_037_0624	male		SRR14481705
7/22/16	CM_037_0722	male		SRR14481704
6/24/16	CM_038_0624	male		SRR14481700
7/22/16	CM_038_0722	male		SRR14481699
10/28/16	CM_039_1028	male		SRR14481695
12/3/16	CM_039_1203	male		SRR14481694
6/24/16	CM_041_0624	male		SRR14481691
12/3/16	CM_044_1203	male		SRR14481685
9/16/16	CM_045_0916	male		SRR14481684
7/8/16	CM_046_0708	male		SRR14481683
9/16/16	CM_048_0916	male		SRR14481680
10/14/16	CM_048_1014	male		SRR14481679
11/11/16	CM_050_1111	male		SRR14481675
7/8/16	CM_051_0708	male		SRR14481674
10/14/16	CM_051_1014	male		SRR14481673
11/11/16	CM_051_1111	male		SRR14481672
12/3/16	CM_054_1203	male		SRR14481666
10/3/16	CM_055_1003	male		SRR14481665
9/16/16	CM_058_0916	male		SRR14481663
10/3/16	CM_058_1003	male		SRR14481662
10/28/16	CM_060_1028	male		SRR14481660
10/3/16	CM_064_1003	male		SRR14481655
12/3/16	CM_065_1203	male		SRR14481654
10/3/16	CM_066_1003	male		SRR14481652
11/11/16	CM_068_1111	male		SRR14481649
10/3/16	CM_070_1003	male		SRR14481646
9/2/16	CM_073_0902	male		SRR14481641
10/3/16	CM_073_1003	male		SRR14481640
11/11/16	CM_075_1111	male		SRR14481636
10/3/16	CM_076_1003	male		SRR14481635
9/2/16	CM_077_0902	male		SRR14481632
10/14/16	CM_077_1014	male		SRR14481630
10/28/16	CM_078_1028	male		SRR14481628
9/2/16	CM_079_0902	male		SRR14481627
10/14/16	CM_079_1014	male		SRR14481798
10/14/16	CM_084_1014	male		SRR14481792
10/28/16	CM_085_1028	male		SRR14481791
10/14/16	CM_086_1014	male		SRR14481789
11/11/16	CM_087_1111	male		SRR14481786
10/14/16	CM_091_1014	male		SRR14481784
9/16/16	CM_093_0916	male		SRR14481783
10/14/16	CM_100_1014	male		SRR14481778
11/11/16	CM_103_1111	male		SRR14481774
10/14/16	CM_118_1014	male		SRR14481769
11/11/16	CM_118_1111	male		SRR14481768
10/28/16	CM_121_1028	male		SRR14481765
9/2/16	CM_122_0902	male		SRR14481764
9/16/16	CM_126_0916	male		SRR14481762
10/28/16	CM_127_1028	male		SRR14481761
11/11/16	CM_127_1111	male		SRR14481760
11/11/16	CM_129_1111	male		SRR14481758
11/11/16	CM_137_1111	male		SRR14481753
10/28/16	CM_142_1028	male		SRR14481750
9/16/16	CM_149_0916	male		SRR14481745
9/2/16	CM_154_0902	male		SRR14481742
9/16/16	CM_157_0916	male		SRR14481740
9/16/16	CM_163_0916	male		SRR14481738
9/2/16	CM_165_0902	male		SRR14481736
9/2/16	CM_168_0902	male		SRR14481734
9/2/16	CM_179_0902	male		SRR14481731
