sampleId	Plate	Well	Date	Location	sample.ID	Cage	Population	Swarm	Season
OW1_F10_CMspring	OW1	F10	2019-06-14	Carter Moutain Isofemale	10	NA	CM	NA	spring
OW1_F11_CMspring	OW1	F11	2019-06-14	Carter Moutain Isofemale	11	NA	CM	NA	spring
OW1_F12_CMspring	OW1	F12	2019-06-14	Carter Moutain Isofemale	12	NA	CM	NA	spring
OW1_F1_CMspring	OW1	F1	2019-06-14	Carter Moutain Isofemale	1	NA	CM	NA	spring
OW1_F2_CMspring	OW1	F2	2019-06-14	Carter Moutain Isofemale	2	NA	CM	NA	spring
OW1_F3_CMspring	OW1	F3	2019-06-14	Carter Moutain Isofemale	3	NA	CM	NA	spring
OW1_F4_CMspring	OW1	F4	2019-06-14	Carter Moutain Isofemale	4	NA	CM	NA	spring
OW1_F5_CMspring	OW1	F5	2019-06-14	Carter Moutain Isofemale	5	NA	CM	NA	spring
OW1_F6_CMspring	OW1	F6	2019-06-14	Carter Moutain Isofemale	6	NA	CM	NA	spring
OW1_F7_CMspring	OW1	F7	2019-06-14	Carter Moutain Isofemale	7	NA	CM	NA	spring
OW1_F8_CMspring	OW1	F8	2019-06-14	Carter Moutain Isofemale	8	NA	CM	NA	spring
OW1_F9_CMspring	OW1	F9	2019-06-14	Carter Moutain Isofemale	9	NA	CM	NA	spring
OW1_G10_CMspring	OW1	G10	2019-06-14	Carter Moutain Isofemale	22	NA	CM	NA	spring
OW1_G11_CMspring	OW1	G11	2019-06-14	Carter Moutain Isofemale	23	NA	CM	NA	spring
OW1_G12_CMspring	OW1	G12	2019-06-14	Carter Moutain Isofemale	24	NA	CM	NA	spring
OW1_G1_CMspring	OW1	G1	2019-06-14	Carter Moutain Isofemale	13	NA	CM	NA	spring
OW1_G2_CMspring	OW1	G2	2019-06-14	Carter Moutain Isofemale	14	NA	CM	NA	spring
OW1_G3_CMspring	OW1	G3	2019-06-14	Carter Moutain Isofemale	15	NA	CM	NA	spring
OW1_G4_CMspring	OW1	G4	2019-06-14	Carter Moutain Isofemale	16	NA	CM	NA	spring
OW1_G5_CMspring	OW1	G5	2019-06-14	Carter Moutain Isofemale	17	NA	CM	NA	spring
OW1_G6_CMspring	OW1	G6	2019-06-14	Carter Moutain Isofemale	18	NA	CM	NA	spring
OW1_G7_CMspring	OW1	G7	2019-06-14	Carter Moutain Isofemale	19	NA	CM	NA	spring
OW1_G8_CMspring	OW1	G8	2019-06-14	Carter Moutain Isofemale	20	NA	CM	NA	spring
OW1_G9_CMspring	OW1	G9	2019-06-14	Carter Moutain Isofemale	21	NA	CM	NA	spring
OW1_H10_CMspring	OW1	H10	2019-06-14	Carter Moutain Isofemale	36	NA	CM	NA	spring
OW1_H1_CMspring	OW1	H1	2019-06-14	Carter Moutain Isofemale	25	NA	CM	NA	spring
OW1_H2_CMspring	OW1	H2	2019-06-14	Carter Moutain Isofemale	26	NA	CM	NA	spring
OW1_H3_CMspring	OW1	H3	2019-06-14	Carter Moutain Isofemale	28	NA	CM	NA	spring
OW1_H4_CMspring	OW1	H4	2019-06-14	Carter Moutain Isofemale	29	NA	CM	NA	spring
OW1_H5_CMspring	OW1	H5	2019-06-14	Carter Moutain Isofemale	30	NA	CM	NA	spring
OW1_H6_CMspring	OW1	H6	2019-06-14	Carter Moutain Isofemale	31	NA	CM	NA	spring
OW1_H7_CMspring	OW1	H7	2019-06-14	Carter Moutain Isofemale	32	NA	CM	NA	spring
OW1_H8_CMspring	OW1	H8	2019-06-14	Carter Moutain Isofemale	33	NA	CM	NA	spring
OW1_H9_CMspring	OW1	H9	2019-06-14	Carter Moutain Isofemale	34	NA	CM	NA	spring
OW2_A10_CMfall	OW2	A10	2018-11-29	Carter Mountain wild Male ASB	3	NA	CM	NA	fall
OW2_A11_CMfall	OW2	A11	2018-11-29	Carter Mountain wild Male ASB	4	NA	CM	NA	fall
OW2_A12_CMfall	OW2	A12	2018-11-29	Carter Mountain wild Male ASB	5	NA	CM	NA	fall
OW2_A1_CMspring	OW2	A1	2019-06-14	Carter Moutain Isofemale	37	NA	CM	NA	spring
OW2_A2_CMspring	OW2	A2	2019-06-14	Carter Moutain Isofemale	38	NA	CM	NA	spring
OW2_A3_CMspring	OW2	A3	2019-06-14	Carter Moutain Isofemale	39	NA	CM	NA	spring
OW2_A4_CMspring	OW2	A4	2019-06-14	Carter Moutain Isofemale	40	NA	CM	NA	spring
OW2_A5_CMspring	OW2	A5	2019-06-14	Carter Moutain Isofemale	42	NA	CM	NA	spring
OW2_A6_CMspring	OW2	A6	2019-06-14	Carter Moutain Isofemale	41	NA	CM	NA	spring
OW2_A7_CMspring	OW2	A7	2019-06-14	Carter Moutain Isofemale	43	NA	CM	NA	spring
OW2_A8_CMfall	OW2	A8	2018-11-29	Carter Mountain wild Male ASB	1	NA	CM	NA	fall
OW2_A9_CMfall	OW2	A9	2018-11-29	Carter Mountain wild Male ASB	2	NA	CM	NA	fall
OW2_B10_CMfall	OW2	B10	2018-11-29	Carter Mountain wild Male ASB	15	NA	CM	NA	fall
OW2_B11_CMfall	OW2	B11	2018-11-29	Carter Mountain wild Male ASB	16	NA	CM	NA	fall
OW2_B12_CMfall	OW2	B12	2018-11-29	Carter Mountain wild Male ASB	17	NA	CM	NA	fall
OW2_B1_CMfall	OW2	B1	2018-11-29	Carter Mountain wild Male ASB	6	NA	CM	NA	fall
OW2_B2_CMfall	OW2	B2	2018-11-29	Carter Mountain wild Male ASB	7	NA	CM	NA	fall
OW2_B3_CMfall	OW2	B3	2018-11-29	Carter Mountain wild Male ASB	8	NA	CM	NA	fall
OW2_B4_CMfall	OW2	B4	2018-11-29	Carter Mountain wild Male ASB	9	NA	CM	NA	fall
OW2_B5_CMfall	OW2	B5	2018-11-29	Carter Mountain wild Male ASB	10	NA	CM	NA	fall
OW2_B6_CMfall	OW2	B6	2018-11-29	Carter Mountain wild Male ASB	11	NA	CM	NA	fall
OW2_B7_CMfall	OW2	B7	2018-11-29	Carter Mountain wild Male ASB	12	NA	CM	NA	fall
OW2_B8_CMfall	OW2	B8	2018-11-29	Carter Mountain wild Male ASB	13	NA	CM	NA	fall
OW2_B9_CMfall	OW2	B9	2018-11-29	Carter Mountain wild Male ASB	14	NA	CM	NA	fall
OW2_C10_CMfall	OW2	C10	2018-11-29	Carter Mountain wild Male ASB	27	NA	CM	NA	fall
OW2_C11_CMfall	OW2	C11	2018-11-29	Carter Mountain wild Male ASB	28	NA	CM	NA	fall
OW2_C12_CMfall	OW2	C12	2018-11-29	Carter Moutain Isofemale	9	NA	CM	NA	fall
OW2_C1_CMfall	OW2	C1	2018-11-29	Carter Mountain wild Male ASB	18	NA	CM	NA	fall
OW2_C2_CMfall	OW2	C2	2018-11-29	Carter Mountain wild Male ASB	19	NA	CM	NA	fall
OW2_C3_CMfall	OW2	C3	2018-11-29	Carter Mountain wild Male ASB	20	NA	CM	NA	fall
OW2_C4_CMfall	OW2	C4	2018-11-29	Carter Mountain wild Male ASB	21	NA	CM	NA	fall
OW2_C5_CMfall	OW2	C5	2018-11-29	Carter Mountain wild Male ASB	22	NA	CM	NA	fall
OW2_C6_CMfall	OW2	C6	2018-11-29	Carter Mountain wild Male ASB	23	NA	CM	NA	fall
OW2_C7_CMfall	OW2	C7	2018-11-29	Carter Mountain wild Male ASB	24	NA	CM	NA	fall
OW2_C8_CMfall	OW2	C8	2018-11-29	Carter Mountain wild Male ASB	25	NA	CM	NA	fall
OW2_C9_CMfall	OW2	C9	2018-11-29	Carter Mountain wild Male ASB	26	NA	CM	NA	fall
OW2_D10_CMfall	OW2	D10	2018-11-29	Carter Moutain Isofemale	39	NA	CM	NA	fall
OW2_D11_CMfall	OW2	D11	2018-11-29	Carter Moutain Isofemale	40	NA	CM	NA	fall
OW2_D12_CMfall	OW2	D12	2018-11-29	Carter Moutain Isofemale	44	NA	CM	NA	fall
OW2_D1_CMfall	OW2	D1	2018-11-29	Carter Moutain Isofemale	12	NA	CM	NA	fall
OW2_D2_CMfall	OW2	D2	2018-11-29	Carter Moutain Isofemale	13	NA	CM	NA	fall
OW2_D3_CMfall	OW2	D3	2018-11-29	Carter Moutain Isofemale	18	NA	CM	NA	fall
OW2_D4_CMfall	OW2	D4	2018-11-29	Carter Moutain Isofemale	19	NA	CM	NA	fall
OW2_D5_CMfall	OW2	D5	2018-11-29	Carter Moutain Isofemale	21	NA	CM	NA	fall
OW2_D6_CMfall	OW2	D6	2018-11-29	Carter Moutain Isofemale	22	NA	CM	NA	fall
OW2_D7_CMfall	OW2	D7	2018-11-29	Carter Moutain Isofemale	29	NA	CM	NA	fall
OW2_D8_CMfall	OW2	D8	2018-11-29	Carter Moutain Isofemale	37	NA	CM	NA	fall
OW2_D9_CMfall	OW2	D9	2018-11-29	Carter Moutain Isofemale	38	NA	CM	NA	fall
OW2_E1_CMfall	OW2	E1	2018-11-29	Carter Moutain Isofemale	48	NA	CM	NA	fall
OW2_E2_CMfall	OW2	E2	2018-11-29	Carter Moutain Isofemale	51	NA	CM	NA	fall
