start	end	chr	Comeron_cm_mb
1	100001	2L	0.00
100001	200001	2L	0.00
200001	300001	2L	0.00
300001	400001	2L	0.23
400001	500001	2L	0.23
500001	600001	2L	1.99
600001	700001	2L	1.41
700001	800001	2L	1.06
800001	900001	2L	2.35
900001	1000001	2L	3.05
1000001	1100001	2L	3.40
1100001	1200001	2L	2.81
1200001	1300001	2L	3.64
1300001	1400001	2L	1.76
1400001	1500001	2L	0.70
1500001	1600001	2L	2.46
1600001	1700001	2L	2.93
1700001	1800001	2L	2.23
1800001	1900001	2L	1.76
1900001	2000001	2L	5.39
2000001	2100001	2L	2.46
2100001	2200001	2L	1.64
2200001	2300001	2L	3.64
2300001	2400001	2L	1.64
2400001	2500001	2L	4.69
2500001	2600001	2L	2.58
2600001	2700001	2L	2.58
2700001	2800001	2L	5.75
2800001	2900001	2L	2.23
2900001	3000001	2L	0.94
3000001	3100001	2L	1.06
3100001	3200001	2L	6.92
3200001	3300001	2L	2.35
3300001	3400001	2L	2.35
3400001	3500001	2L	5.04
3500001	3600001	2L	4.22
3600001	3700001	2L	1.88
3700001	3800001	2L	3.64
3800001	3900001	2L	7.51
3900001	4000001	2L	7.39
4000001	4100001	2L	6.68
4100001	4200001	2L	3.64
4200001	4300001	2L	7.27
4300001	4400001	2L	5.75
4400001	4500001	2L	4.10
4500001	4600001	2L	1.88
4600001	4700001	2L	1.76
4700001	4800001	2L	5.16
4800001	4900001	2L	9.50
4900001	5000001	2L	6.33
5000001	5100001	2L	5.51
5100001	5200001	2L	3.52
5200001	5300001	2L	7.04
5300001	5400001	2L	1.88
5400001	5500001	2L	3.17
5500001	5600001	2L	4.22
5600001	5700001	2L	2.11
5700001	5800001	2L	1.29
5800001	5900001	2L	1.52
5900001	6000001	2L	2.23
6000001	6100001	2L	2.35
6100001	6200001	2L	1.29
6200001	6300001	2L	4.57
6300001	6400001	2L	3.05
6400001	6500001	2L	3.99
6500001	6600001	2L	3.40
6600001	6700001	2L	3.75
6700001	6800001	2L	1.52
6800001	6900001	2L	3.52
6900001	7000001	2L	1.88
7000001	7100001	2L	10.20
7100001	7200001	2L	3.99
7200001	7300001	2L	2.70
7300001	7400001	2L	2.46
7400001	7500001	2L	1.64
7500001	7600001	2L	2.58
7600001	7700001	2L	2.11
7700001	7800001	2L	2.35
7800001	7900001	2L	1.52
7900001	8000001	2L	8.68
8000001	8100001	2L	3.99
8100001	8200001	2L	6.22
8200001	8300001	2L	3.28
8300001	8400001	2L	3.28
8400001	8500001	2L	2.35
8500001	8600001	2L	4.81
8600001	8700001	2L	3.40
8700001	8800001	2L	1.41
8800001	8900001	2L	2.81
8900001	9000001	2L	4.22
9000001	9100001	2L	1.52
9100001	9200001	2L	2.35
9200001	9300001	2L	2.46
9300001	9400001	2L	0.12
9400001	9500001	2L	2.35
9500001	9600001	2L	4.93
9600001	9700001	2L	3.17
9700001	9800001	2L	4.34
9800001	9900001	2L	5.39
9900001	10000001	2L	1.52
10000001	10100001	2L	8.09
10100001	10200001	2L	9.50
10200001	10300001	2L	6.57
10300001	10400001	2L	3.64
10400001	10500001	2L	3.28
10500001	10600001	2L	3.87
10600001	10700001	2L	2.81
10700001	10800001	2L	3.40
10800001	10900001	2L	2.70
10900001	11000001	2L	2.93
11000001	11100001	2L	3.99
11100001	11200001	2L	2.11
11200001	11300001	2L	1.88
11300001	11400001	2L	2.35
11400001	11500001	2L	1.17
11500001	11600001	2L	0.94
11600001	11700001	2L	1.41
