chromosome arm	start	stop	polytene_band	map_Comeron
2L	7529	9484	21A5-21A5	2-0.0
2L	9839	21376	21A5-21A5	2-0.0
2L	21823	25155	21A5-21B1	2-0.0
2L	21952	24237	21A5-21B1	2-0.0
2L	25402	65404	21B1-21B1	2-0.0
2L	54817	55767	21B1-21B1	2-0.0
2L	65999	66242	21B1-21B1	2-0.0
2L	66318	66524	21B1-21B1	2-0.0
2L	66482	71390	21B1-21B1	2-0.0
2L	71039	73836	21B1-21B1	2-0.0
2L	71757	76211	21B1-21B1	2-0.0
2L	76348	77783	21B1-21B1	2-0.0
2L	82421	87387	21B1-21B1	2-0.0
2L	94739	102086	21B1-21B2	2-0.0
2L	102380	104142	21B2-21B2	2-0.0
2L	103962	106732	21B2-21B2	2-0.0
2L	106903	114432	21B2-21B2	2-0.0
2L	114726	156030	21B2-21B3	2-0.0
2L	115365	116488	21B2-21B2	2-0.0
2L	116970	121754	21B2-21B2	2-0.0
2L	122624	130791	21B2-21B2	2-0.0
2L	122837	124031	21B2-21B2	2-0.0
2L	132077	134472	21B2-21B3	2-0.0
2L	135402	136128	21B3-21B3	2-0.0
2L	136144	136701	21B3-21B3	2-0.0
2L	138384	140992	21B3-21B3	2-0.0
2L	138384	140992	21B3-21B3	2-0.0
2L	141077	143091	21B3-21B3	2-0.0
2L	143323	144227	21B3-21B3	2-0.0
2L	144231	153300	21B3-21B3	2-0.0
2L	153539	155305	21B3-21B3	2-0.0
2L	156029	157666	21B3-21B3	2-0.0
2L	157836	158664	21B3-21B3	2-0.0
2L	159032	203397	21B3-21B4	2-0.0
2L	203779	204782	21B4-21B4	2-0.0
2L	204743	207297	21B4-21B4	2-0.0
2L	207179	210725	21B4-21B4	2-0.0
2L	210735	250823	21B4-21B5	2-0.0
2L	219651	220050	21B5-21B5	2-0.0
2L	223519	224708	21B5-21B5	2-0.0
2L	228037	228588	21B5-21B5	2-0.0
2L	232166	232253	21B5-21B5	2-0.0
2L	232487	234208	21B5-21B5	2-0.0
2L	243035	243141	21B5-21B5	2-0.0
