site_ix,chrom,pos,coef.div,p.div,sigLevel,FDR,afShift,comparison
105,2L,32476,0.551695378247926,1.15728623066857e-05,1,0.0203291670664064,0.00837297,2_1
49748,2L,2556800,0.30517322908065,0.000653898318005552,1,0.199486382433814,0.045579,2_1
77527,2L,3680308,-1.10315165451301,0.000569186643053055,1,0.18558343359392,-0.001442729,2_1
79082,2L,3741811,-1.10315165451301,0.000566133962415227,1,0.185030866862685,-0.001486249,2_1
117426,2L,5412339,0.0115622329456107,0.000219511952818996,1,0.111554393192445,0.003268753,2_1
154370,2L,6986022,0.276194030527196,3.31636717639805e-05,2,0.0382399733446014,0.0593683,2_1
156437,2L,7076906,0.227867824276016,0.000341812166723909,1,0.141531950622413,0.0571909,2_1
156438,2L,7076907,0.238380843462177,0.000130166997649894,1,0.082638171707238,0.0578511,2_1
163579,2L,7341749,0.468357227071207,0.000301409554597787,1,0.132246917912001,0.02592826,2_1
163793,2L,7357489,0.246074995124377,0.000292852537679744,1,0.130234419148584,0.0604608999999999,2_1
163794,2L,7357493,0.246074995124377,0.000289207494055477,1,0.129315563382617,0.0604608999999999,2_1
163861,2L,7359738,0.508323739317247,0.000284072106860545,1,0.128243521575352,0.02828465,2_1
164034,2L,7366567,0.536395693258646,0.000325555035336822,1,0.137788765525976,0.04542783,2_1
166146,2L,7444096,0.630503555245451,1.66799149022845e-05,2,0.025326546275463,0.02853319,2_1
166439,2L,7454228,0.655586195119737,5.04819220892294e-06,2,0.0121813207628947,0.02809827,2_1
167395,2L,7486536,0.630351453848356,5.30702135607131e-05,1,0.0500281699401744,0.02872823,2_1
167577,2L,7492708,0.2306702853275,0.000588946469295304,1,0.188994712532803,0.01791827,2_1
167578,2L,7492711,0.2306702853275,0.000598363849249162,1,0.190399285547506,0.01791827,2_1
167921,2L,7506010,0.416054479534733,0.000507615263730443,1,0.174478971792262,0.05043132,2_1
167930,2L,7506150,0.350198485991036,0.000296902878502592,1,0.131221526109505,0.0699857,2_1
168048,2L,7510032,0.372992493863504,0.000156099272557997,1,0.0914443764473564,0.0324893,2_1
168137,2L,7513881,-0.293912285396641,9.09676792344438e-05,1,0.0674742502986738,-0.0608544000000001,2_1
168339,2L,7521458,0.630222565960935,7.00818298404737e-06,2,0.0149070765954223,0.02861442,2_1
168983,2L,7545647,0.470185758551125,6.92288995535195e-05,1,0.0581280421780137,0.02525861,2_1
168984,2L,7545658,0.499656395889776,0.000118150006743534,1,0.0781854960136594,0.02929701,2_1
168994,2L,7546166,0.560483282267206,3.66265023886703e-05,2,0.0403791301779302,0.03029915,2_1
169000,2L,7546283,0.56113380148069,2.69456887690422e-05,2,0.0339018176132382,0.05268801,2_1
169462,2L,7566654,0.435374760047523,0.000343424510978907,1,0.141914313007791,0.02728624,2_1
170332,2L,7593604,0.354142977999236,0.00030868879811552,1,0.133798800031759,0.0484189,2_1
170334,2L,7593649,0.450091948809071,1.78150219219964e-05,2,0.0263407255554267,0.05070097,2_1
