#SUBMITTED ID	GENE_SNAPSHOT	LOCATION_ARM	LOCATION_MAX	LOCATION_MIN	LOCATION_STRAND	NAME	SYMBOL
CG33304	-	2L	10373900	10368025	-1	rhomboid-5	rho-5
CG33304	-	2L	10373900	10368025	-1	rhomboid-5	rho-5
CG10593	Angiotensin-converting enzyme-related (Acer) encodes an enzyme with peptidyl-dipeptidase activity that regulates heart rate and circadian sleep/wake cycle. [Date last reviewed: 2019-03-07]	2L	8525740	8521933	1	Angiotensin-converting enzyme-related	Acer
CG10593	Angiotensin-converting enzyme-related (Acer) encodes an enzyme with peptidyl-dipeptidase activity that regulates heart rate and circadian sleep/wake cycle. [Date last reviewed: 2019-03-07]	2L	8525740	8521933	1	Angiotensin-converting enzyme-related	Acer
CG11324	homer (homer) encodes a protein that acts as an adaptor protein binding to group I metabotropic glutamate receptors and other intracellular signaling proteins. It contributes to regulation of sleep, locomotor activity and ethanol tolerance. [Date last reviewed: 2019-03-07]	2L	6723359	6719394	-1	homer	homer
CG11324	homer (homer) encodes a protein that acts as an adaptor protein binding to group I metabotropic glutamate receptors and other intracellular signaling proteins. It contributes to regulation of sleep, locomotor activity and ethanol tolerance. [Date last reviewed: 2019-03-07]	2L	6723359	6719394	-1	homer	homer
CG13094	-	2L	8506845	8491868	-1	Diuretic hormone 31	Dh31
CG13094	-	2L	8506845	8491868	-1	Diuretic hormone 31	Dh31
CG3234	timeless (tim) encodes a key component of the tim-per complex, required for the production of circadian rhythms. It is involved in mating behavior, DNA replication and larval phototaxis. [Date last reviewed: 2019-03-14]	2L	3508119	3493986	-1	timeless	tim
CG3234	timeless (tim) encodes a key component of the tim-per complex, required for the production of circadian rhythms. It is involved in mating behavior, DNA replication and larval phototaxis. [Date last reviewed: 2019-03-14]	2L	3508119	3493986	-1	timeless	tim
CG4379	Protein kinase, cAMP-dependent, catalytic subunit 1 (Pka-C1) encodes a serine/threonine kinase that contributes to axis specification, rhythmic behavior and synaptic transmission. [Date last reviewed: 2019-03-14]	2L	9699297	9682315	-1	Protein kinase, cAMP-dependent, catalytic subunit 1	Pka-C1
CG4379	Protein kinase, cAMP-dependent, catalytic subunit 1 (Pka-C1) encodes a serine/threonine kinase that contributes to axis specification, rhythmic behavior and synaptic transmission. [Date last reviewed: 2019-03-14]	2L	9699297	9682315	-1	Protein kinase, cAMP-dependent, catalytic subunit 1	Pka-C1
CG5973	-	2L	7445882	7437492	1	-	CG5973
CG4180	Cytokine induced apoptosis inhibitor 1 (CIAPIN1) encodes a protein required for chamber development, follicle cell proliferation and survival. [Date last reviewed: 2019-03-07]	2L	15038861	15036293	-1	Cytokine induced apoptosis inhibitor 1	CIAPIN1
CG4180	Cytokine induced apoptosis inhibitor 1 (CIAPIN1) encodes a protein required for chamber development, follicle cell proliferation and survival. [Date last reviewed: 2019-03-07]	2L	15038861	15036293	-1	Cytokine induced apoptosis inhibitor 1	CIAPIN1
CG42281	-	2L	12546611	12455540	-1	bunched	bun
CG42281	-	2L	12546611	12455540	-1	bunched	bun
CG10679	Nedd8 (Nedd8) encodes a ubiquitin-like polypeptide involved in protein ubiquitination and degradation, via Cullin neddylation. Nedd8-mediated modification has been implicated in signal transduction, cell proliferation and differentiation. [Date last reviewed: 2018-10-11]	2L	18951837	18951006	-1	Nedd8 ubiquitin like modifier	Nedd8
CG10679	Nedd8 (Nedd8) encodes a ubiquitin-like polypeptide involved in protein ubiquitination and degradation, via Cullin neddylation. Nedd8-mediated modification has been implicated in signal transduction, cell proliferation and differentiation. [Date last reviewed: 2018-10-11]	2L	18951837	18951006	-1	Nedd8 ubiquitin like modifier	Nedd8
CG2822	Shaker cognate w (Shaw) encodes a voltage-gated potassium channel (Kv3.1) that mediates a non-inactivating potassium current open at resting membrane potential. It is important for controlling excitability of motor neurons and clock neurons. It regulates circadian rhythms and is in a pathway with the product of qsm and Na[+] K[+] Ca[2+] Co-transporter. [Date last reviewed: 2019-03-14]	2L	3729145	3718185	1	Shaker cognate w	Shaw
CG2822	Shaker cognate w (Shaw) encodes a voltage-gated potassium channel (Kv3.1) that mediates a non-inactivating potassium current open at resting membrane potential. It is important for controlling excitability of motor neurons and clock neurons. It regulates circadian rhythms and is in a pathway with the product of qsm and Na[+] K[+] Ca[2+] Co-transporter. [Date last reviewed: 2019-03-14]	2L	3729145	3718185	1	Shaker cognate w	Shaw
CG4501	-	2L	14019328	14013004	1	bubblegum	bgm
CG4501	-	2L	14019328	14013004	1	bubblegum	bgm
CG4500	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	14029368	14027001	1	heimdall	hll
CG4500	-	-	-	-	-	-	Dsec\CG4500
CG4500	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	14029368	14027001	1	heimdall	hll
CG15433	Elongator complex protein 3 (Elp3) encodes a Lysine (K) acetyltransferase (KAT) that resides primarily in the cytoplasm of neurons. It acetylates the product of brp in an opposite reaction to the product of HDAC6 to regulate T-bar morphology and function, and unlike most KATs it does not acetylate histones. [Date last reviewed: 2019-03-07]	2L	4446765	4444732	1	Elongator complex protein 3	Elp3
CG15433	Elongator complex protein 3 (Elp3) encodes a Lysine (K) acetyltransferase (KAT) that resides primarily in the cytoplasm of neurons. It acetylates the product of brp in an opposite reaction to the product of HDAC6 to regulate T-bar morphology and function, and unlike most KATs it does not acetylate histones. [Date last reviewed: 2019-03-07]	2L	4446765	4444732	1	Elongator complex protein 3	Elp3
CG11050	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	6617117	6611011	1	-	CG11050
CG11822	-	2L	547096	545129	1	nicotinic Acetylcholine Receptor beta3	nAChRbeta3
CG11822	-	2L	547096	545129	1	nicotinic Acetylcholine Receptor beta3	nAChRbeta3
CG4427	cabut (cbt) encodes a transcription factor that controls Dpp signaling and is involved in dorsal closure and wing disc morphogenesis. [Date last reviewed: 2019-03-07]	2L	479688	476446	-1	cabut	cbt
CG4427	cabut (cbt) encodes a transcription factor that controls Dpp signaling and is involved in dorsal closure and wing disc morphogenesis. [Date last reviewed: 2019-03-07]	2L	479688	476446	-1	cabut	cbt
CG18362	Mondo (Mondo) encodes a basic helix-loop-helix-leucine zipper transcription factor involved in lipid and carbohydrate metabolism. Together with its binding partner encoded by bigmax, it controls sugar-dependent gene expression, including activation of genes involved in lipogenesis. Mondo mutants are intolerant to dietary sugars and have impaired muscle function. [Date last reviewed: 2018-10-11]	2L	21310050	21286078	-1	Mondo	Mondo
CG18362	Mondo (Mondo) encodes a basic helix-loop-helix-leucine zipper transcription factor involved in lipid and carbohydrate metabolism. Together with its binding partner encoded by bigmax, it controls sugar-dependent gene expression, including activation of genes involved in lipogenesis. Mondo mutants are intolerant to dietary sugars and have impaired muscle function. [Date last reviewed: 2018-10-11]	2L	21310050	21286078	-1	Mondo	Mondo
CG4709	Insufficient genetic data for FlyBase to solicit a summary. [Date last reviewed: 2016-06-30]	2L	9956176	9954325	1	-	CG4709
CG4715	-	2L	1134098	1132332	-1	Iris	Iris
CG4715	-	2L	1134098	1132332	-1	Iris	Iris
CG3022	metabotropic GABA-B receptor subtype 3 (GABA-B-R3) encodes a G-protein coupled receptor for the GABA neurotransmitter that is coupled to the Go G protein and activation of phospholipase C. Activation of the product of GABA-B-R3 can inhibit neuronal activity. It functions in the olfactory system and in the regulation of sleep and circadian rhythms. [Date last reviewed: 2019-03-07]	2L	762399	749945	1	metabotropic GABA-B receptor subtype 3	GABA-B-R3
CG3022	metabotropic GABA-B receptor subtype 3 (GABA-B-R3) encodes a G-protein coupled receptor for the GABA neurotransmitter that is coupled to the Go G protein and activation of phospholipase C. Activation of the product of GABA-B-R3 can inhibit neuronal activity. It functions in the olfactory system and in the regulation of sleep and circadian rhythms. [Date last reviewed: 2019-03-07]	2L	762399	749945	1	metabotropic GABA-B receptor subtype 3	GABA-B-R3
CG33955	-	2L	2358944	2311680	1	eyes shut	eys
CG33955	-	2L	2358944	2311680	1	eyes shut	eys
CG15627	Ionotropic receptor 25a (Ir25a) encodes a member of the Ionotropic Receptor (IR) family of variant ionotropic glutamate receptors. It functions as co-receptor subunit in chemosensation and thermosensation. [Date last reviewed: 2019-03-07]	2L	4835300	4830846	-1	Ionotropic receptor 25a	Ir25a
CG15627	Ionotropic receptor 25a (Ir25a) encodes a member of the Ionotropic Receptor (IR) family of variant ionotropic glutamate receptors. It functions as co-receptor subunit in chemosensation and thermosensation. [Date last reviewed: 2019-03-07]	2L	4835300	4830846	-1	Ionotropic receptor 25a	Ir25a
CG9075	eukaryotic translation initiation factor 4A (eIF4A) encodes an essential DEAD-box RNA helicase protein and a canonical translation initiation factor. It is a component of the eIF4F cap-binding complex that is essential for cap-dependent translation of mRNA. [Date last reviewed: 2019-03-07]	2L	5985909	5981764	1	eukaryotic translation initiation factor 4A	eIF4A
CG9075	eukaryotic translation initiation factor 4A (eIF4A) encodes an essential DEAD-box RNA helicase protein and a canonical translation initiation factor. It is a component of the eIF4F cap-binding complex that is essential for cap-dependent translation of mRNA. [Date last reviewed: 2019-03-07]	2L	5985909	5981764	1	eukaryotic translation initiation factor 4A	eIF4A
CG3762	Vacuolar H[+] ATPase 68 kDa subunit 2 (Vha68-2) encodes a component of the V1 subunit of the vacuolar ATPase, which acidifies endosomal compartments including the lysosome and influences the activity of several signaling pathways. [Date last reviewed: 2019-09-26]	2L	12978607	12974322	1	Vacuolar H[+] ATPase 68 kDa subunit 2	Vha68-2
CG3762	Vacuolar H[+] ATPase 68 kDa subunit 2 (Vha68-2) encodes a component of the V1 subunit of the vacuolar ATPase, which acidifies endosomal compartments including the lysosome and influences the activity of several signaling pathways. [Date last reviewed: 2019-09-26]	2L	12978607	12974322	1	Vacuolar H[+] ATPase 68 kDa subunit 2	Vha68-2
CG4636	SCAR (SCAR) encodes a primary regulator of the Arp2/3 complex, which promotes actin polymerization and influences cell shape and motility. It is involved in myoblast fusion, eye morphogenesis and axogenesis. [Date last reviewed: 2019-09-26]	2L	10982395	10976772	1	SCAR	SCAR
CG4636	SCAR (SCAR) encodes a primary regulator of the Arp2/3 complex, which promotes actin polymerization and influences cell shape and motility. It is involved in myoblast fusion, eye morphogenesis and axogenesis. [Date last reviewed: 2019-09-26]	2L	10982395	10976772	1	SCAR	SCAR
CG11199	Liprin-α (Liprin-α) encodes a scaffolding protein that interacts with the receptor phosphatase Lar. It is involved in synapse morphogenesis and axon guidance. [Date last reviewed: 2019-09-19]	2L	6732766	6723903	1	Liprin-alpha	Liprin-alpha
CG11199	Liprin-α (Liprin-α) encodes a scaffolding protein that interacts with the receptor phosphatase Lar. It is involved in synapse morphogenesis and axon guidance. [Date last reviewed: 2019-09-19]	2L	6732766	6723903	1	Liprin-alpha	Liprin-alpha
CG16857	borderless (bdl) encodes a cell adhesion molecule that is required for glial extension and axon ensheathment. Its down-regulation by the products of tutl and Lar is required for photoreceptor axonal tiling and layer-specific target selection. [Date last reviewed: 2019-03-07]	2L	4331830	4324554	1	borderless	bdl
CG16857	borderless (bdl) encodes a cell adhesion molecule that is required for glial extension and axon ensheathment. Its down-regulation by the products of tutl and Lar is required for photoreceptor axonal tiling and layer-specific target selection. [Date last reviewed: 2019-03-07]	2L	4331830	4324554	1	borderless	bdl
CG11181	-	2L	6674780	6663664	1	cup	cup
CG11181	-	2L	6674780	6663664	1	cup	cup
CG13772	Neuroligin 2 (Nlg2) encodes a transmembrane protein that interacts with the product of Nrx-1, and recruits scaffolding proteins for organization of postsynaptic neurotransmitter receptors. The product of Nlg2 functions in synaptic growth and regulation, and is involved in the modulation of social and courtship behavior. [Date last reviewed: 2019-03-14]	2L	6906656	6874900	1	Neuroligin 2	Nlg2
CG13772	Neuroligin 2 (Nlg2) encodes a transmembrane protein that interacts with the product of Nrx-1, and recruits scaffolding proteins for organization of postsynaptic neurotransmitter receptors. The product of Nlg2 functions in synaptic growth and regulation, and is involved in the modulation of social and courtship behavior. [Date last reviewed: 2019-03-14]	2L	6906656	6874900	1	Neuroligin 2	Nlg2
CG3352	fat (ft) is a tumor suppressor gene that encodes a large cadherin family transmembrane protein. It functions in the Hippo signaling pathway (as a receptor) and the Dachsous-Fat planar cell polarity pathway (as a transmembrane component). [Date last reviewed: 2019-03-07]	2L	4221796	4198404	-1	fat	ft
CG3352	fat (ft) is a tumor suppressor gene that encodes a large cadherin family transmembrane protein. It functions in the Hippo signaling pathway (as a receptor) and the Dachsous-Fat planar cell polarity pathway (as a transmembrane component). [Date last reviewed: 2019-03-07]	2L	4221796	4198404	-1	fat	ft
CG12437	raw (raw) encodes a membrane protein involved in dendrite patterning and the subcellular localization of JNK signalling components. [Date last reviewed: 2019-09-26]	2L	8740660	8709880	-1	raw	raw
CG12437	raw (raw) encodes a membrane protein involved in dendrite patterning and the subcellular localization of JNK signalling components. [Date last reviewed: 2019-09-26]	2L	8740660	8709880	-1	raw	raw
CG9885	decapentaplegic (dpp) encodes a ligand of the transforming growth factor-β signaling pathway that signals through Smad transcription factors. It acts as a morphogen that contributes to growth regulation, patterning and stem cell fate. [Date last reviewed: 2019-08-01]	2L	2459823	2428372	1	decapentaplegic	dpp
CG9885	decapentaplegic (dpp) encodes a ligand of the transforming growth factor-β signaling pathway that signals through Smad transcription factors. It acts as a morphogen that contributes to growth regulation, patterning and stem cell fate. [Date last reviewed: 2019-08-01]	2L	2459823	2428372	1	decapentaplegic	dpp
CG5092	-	2L	13013197	13004480	1	Target of rapamycin	Tor
CG5092	-	2L	13013197	13004480	1	Target of rapamycin	Tor
CG3664	Rab5 (Rab5) encodes a monomeric GTPase that controls entry of endocytosed cargo into the early endosome and is required for vesicle re-uptake at the synapse. Altering the activity of the product of Rab5 affects many receptor-mediated signaling pathways as well as epithelial polarity. [Date last reviewed: 2019-03-14]	2L	2365273	2359142	-1	Rab5	Rab5
CG3664	Rab5 (Rab5) encodes a monomeric GTPase that controls entry of endocytosed cargo into the early endosome and is required for vesicle re-uptake at the synapse. Altering the activity of the product of Rab5 affects many receptor-mediated signaling pathways as well as epithelial polarity. [Date last reviewed: 2019-03-14]	2L	2365273	2359142	-1	Rab5	Rab5
CG15444	inebriated (ine) encodes a protein that belongs to the SLC6A family of neurotransmitter transporters. It is involved in the control of photoreceptor potential, perineurial glial growth and the osmotic stress response. It also acts in the peripheral glia to control motor neuron excitability in third instar larvae. [Date last reviewed: 2019-03-07]	2L	4477022	4468000	-1	inebriated	ine
CG15444	inebriated (ine) encodes a protein that belongs to the SLC6A family of neurotransmitter transporters. It is involved in the control of photoreceptor potential, perineurial glial growth and the osmotic stress response. It also acts in the peripheral glia to control motor neuron excitability in third instar larvae. [Date last reviewed: 2019-03-07]	2L	4477022	4468000	-1	inebriated	ine
CG4579	-	2L	11010921	11004820	1	Nucleoporin 154kD	Nup154
CG4579	-	2L	11010921	11004820	1	Nucleoporin 154kD	Nup154
CG1099	Dynamin associated protein 160 (Dap160) encodes an adaptor protein that contributes to endocytosis. It regulates the Notch pathway and mediates the asymmetric accumulation of a number or proteins, including the product of aPKC during neuroblast division. [Date last reviewed: 2019-09-12]	2L	21142347	21134439	-1	Dynamin associated protein 160	Dap160
CG1099	Dynamin associated protein 160 (Dap160) encodes an adaptor protein that contributes to endocytosis. It regulates the Notch pathway and mediates the asymmetric accumulation of a number or proteins, including the product of aPKC during neuroblast division. [Date last reviewed: 2019-09-12]	2L	21142347	21134439	-1	Dynamin associated protein 160	Dap160
CG7100	-	2L	17778340	17647053	-1	Cadherin-N	CadN
CG7100	-	2L	17778340	17647053	-1	Cadherin-N	CadN
CG10123	Topoisomerase 3α (Top3α) encodes a type IA topoisomerase that works with the helicase encoded by Blm to perform double Holliday junction dissolution during homologous recombination. It is also involved in DNA disentangling during chromosome segregation and mitochondrial DNA replication. [Date last reviewed: 2019-03-14]	2L	19502268	19498168	1	Topoisomerase 3alpha	Top3alpha
